Quarter,Time,Tm,Detail,CIN,KAN
1,7:17,Chiefs,Tyreek Hill 10 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
,0:36,Bengals,Evan McPherson 32 yard field goal,3,7
2,12:14,Chiefs,Travis Kelce 5 yard pass from Patrick Mahomes (Harrison Butker kick),3,14
,5:04,Chiefs,Mecole Hardman 3 yard pass from Patrick Mahomes (Harrison Butker kick),3,21
,1:05,Bengals,Samaje Perine 41 yard pass from Joe Burrow (Evan McPherson kick),10,21
3,2:58,Bengals,Evan McPherson 31 yard field goal,13,21
,0:14,Bengals,Ja'Marr Chase 2 yard pass from Joe Burrow (Trent Taylor pass from Joe Burrow),21,21
4,6:04,Bengals,Evan McPherson 52 yard field goal,24,21
,0:00,Chiefs,Harrison Butker 44 yard field goal,24,24
OT,9:22,Bengals,Evan McPherson 31 yard field goal,27,24
