Unnamed: 0,CIN,KAN
First Downs,21,24
Rush-Yds-TDs,27-116-0,24-139-0
Cmp-Att-Yd-TD-INT,23-38-250-2-1,26-39-275-3-2
Sacked-Yards,1-7,4-39
Net Pass Yards,243,236
Total Yards,359,375
Fumbles-Lost,0-0,2-0
Turnovers,1,2
Penalties-Yards,4-30,2-11
Third Down Conv.,8-14,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,35:56,29:42
