Unnamed: 0,WAS,NYG
First Downs,10,17
Rush-Yds-TDs,16-61-1,44-260-1
Cmp-Att-Yd-TD-INT,20-37-158-0-3,10-28-132-1-1
Sacked-Yards,3-22,2-11
Net Pass Yards,136,121
Total Yards,197,381
Fumbles-Lost,0-0,3-0
Turnovers,3,1
Penalties-Yards,4-35,3-25
Third Down Conv.,1-13,4-16
Fourth Down Conv.,1-1,0-0
Time of Possession,28:07,31:53
