Quarter,Time,Tm,Detail,PHI,GNB
1.0,5:57,Eagles,DeSean Jackson 55 yard pass from Nick Foles (Alex Henery kick),7,0
2.0,1:16,Eagles,Alex Henery 25 yard field goal,10,0
,0:02,Packers,Mason Crosby 26 yard field goal,10,3
3.0,11:21,Eagles,Riley Cooper 45 yard pass from Nick Foles (Alex Henery kick),17,3
,7:28,Eagles,Alex Henery 41 yard field goal,20,3
,3:22,Packers,Brandon Bostick 22 yard pass from Scott Tolzien (Mason Crosby kick),20,10
,0:10,Eagles,Riley Cooper 32 yard pass from Nick Foles (Alex Henery kick),27,10
4.0,12:19,Packers,Mason Crosby 35 yard field goal,27,13
