Quarter,Time,Down,ToGo,Location,PHI,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,14:59,1,10,PHI 20,0,0,Nick Foles pass complete short middle to Brent Celek for 7 yards (tackle by A.J. Hawk),0.280,0.680
1,14:34,2,3,PHI 27,0,0,Nick Foles pass complete short right to DeSean Jackson for 1 yard (tackle by Tramon Williams),0.680,0.100
1,14:21,3,2,PHI 28,0,0,Nick Foles left end for 4 yards (tackle by Sam Shields),0.100,1.070
1,14:00,1,10,PHI 32,0,0,LeSean McCoy left end for 3 yards (tackle by A.J. Hawk),1.070,0.930
1,13:33,2,7,PHI 35,0,0,LeSean McCoy right end for 8 yards (tackle by Brad Jones),0.930,1.800
1,13:08,1,10,PHI 43,0,0,LeSean McCoy left end for -3 yards (tackle by A.J. Hawk),1.800,0.850
1,12:48,2,13,PHI 40,0,0,Nick Foles pass incomplete short middle intended for Riley Cooper,0.850,0.170
1,12:43,3,13,PHI 40,0,0,Nick Foles sacked by Datone Jones for -2 yards,0.170,-0.850
1,12:13,4,15,PHI 38,0,0,"Donnie Jones punts 43 yards, returned by Micah Hyde for 2 yards (tackle by Colt Anderson)",-0.850,-0.340
1,12:03,1,10,GNB 21,0,0,Seneca Wallace pass complete short middle to John Kuhn for 6 yards (tackle by Mychal Kendricks),0.340,0.610
1,11:32,2,4,GNB 27,0,0,Eddie Lacy right guard for 11 yards (tackle by Mychal Kendricks and Cedric Thornton),0.610,1.470
1,11:00,1,10,GNB 38,0,0,Eddie Lacy right tackle for 6 yards (tackle by Fletcher Cox and Trent Cole),1.470,1.730
1,10:29,2,4,GNB 44,0,0,Eddie Lacy left end for -1 yards (tackle by DeMeco Ryans),1.730,0.890
1,9:49,3,5,GNB 43,0,0,Seneca Wallace pass complete short right to Jordy Nelson for 8 yards (tackle by Brandon Boykin),0.890,2.320
1,9:13,1,10,PHI 49,0,0,Eddie Lacy left end for 5 yards (tackle by Vinny Curry and Connor Barwin),2.320,2.460
1,8:34,2,5,PHI 44,0,0,Seneca Wallace pass complete short middle to James Jones for 13 yards (tackle by Cary Williams),2.460,3.510
1,7:59,1,10,PHI 31,0,0,Eddie Lacy left end for -2 yards (tackle by DeMeco Ryans),3.510,2.700
1,7:21,2,12,PHI 33,0,0,Seneca Wallace pass complete short right to Eddie Lacy for -2 yards (tackle by Earl Wolff),2.700,1.750
1,6:36,3,14,PHI 35,0,0,Seneca Wallace pass complete short right to Brandon Bostick for no gain,1.750,0.970
1,6:28,4,14,PHI 35,0,0,Mason Crosby 53 yard field goal no good,0.970,-1.800
1,6:22,1,10,PHI 43,0,0,LeSean McCoy left end for 2 yards (tackle by A.J. Hawk),1.800,1.520
1,6:07,2,8,PHI 45,6,0,"Nick Foles pass complete deep middle to DeSean Jackson for 55 yards, touchdown",1.520,7.000
1,6:07,,,GNB 2,7,0,Alex Henery kicks extra point good,0.000,0.000
1,6:07,,,PHI 35,7,0,"Alex Henery kicks off 67 yards, returned by Micah Hyde for 22 yards (tackle by Casey Matthews). Penalty on Jarrett Bush: Illegal Block Above the Waist, 6 yards",0.000,0.380
1,5:52,1,10,GNB 6,7,0,Eddie Lacy for 1 yard (tackle by Nate Allen and Cedric Thornton),-0.380,-0.710
1,5:11,2,9,GNB 7,7,0,Scott Tolzien pass incomplete deep right intended for Jordy Nelson,-0.710,-1.300
1,5:06,3,9,GNB 7,7,0,Scott Tolzien pass complete short left to Andrew Quarless for 8 yards (tackle by Roc Carmichael),-1.300,-2.440
1,5:00,4,1,GNB 15,7,0,"Tim Masthay punts 51 yards, fair catch by DeSean Jackson",-2.440,-1.200
1,4:52,1,10,PHI 34,7,0,LeSean McCoy for 9 yards (tackle by Tramon Williams),1.200,1.870
1,4:40,2,1,PHI 43,7,0,LeSean McCoy left end for 20 yards (tackle by Sam Shields),1.870,3.120
1,4:09,1,10,GNB 37,7,0,"Nick Foles pass complete short left to Riley Cooper for -3 yards (tackle by Casey Hayward). Penalty on Nick Perry: Defensive Offside, 5 yards (no play)",3.120,3.850
1,3:54,1,5,GNB 32,7,0,"Bryce Brown left end for 10 yards (tackle by Johnny Jolly). Penalty on Allen Barbre: Offensive Holding, 10 yards (no play)",3.850,2.790
1,3:26,1,15,GNB 42,7,0,LeSean McCoy right end for 4 yards (tackle by Tramon Williams),2.790,2.440
1,3:08,2,11,GNB 38,7,0,Nick Foles pass complete short left to LeSean McCoy for 6 yards (tackle by Sam Shields),2.440,2.440
1,2:21,2,11,GNB 38,7,0,Timeout #1 by Philadelphia Eagles,2.440,2.540
1,2:21,3,5,GNB 32,7,0,Nick Foles sacked by Datone Jones for -6 yards,2.540,0.720
1,2:06,4,11,GNB 38,7,0,Donnie Jones punts 34 yards,0.720,0.380
1,1:59,1,10,GNB 4,7,0,Eddie Lacy left end for 6 yards (tackle by DeMeco Ryans),-0.380,-0.340
1,1:26,2,4,GNB 10,7,0,Eddie Lacy left end for 1 yard (tackle by Trent Cole and Earl Wolff),-0.340,-0.600
1,0:46,3,3,GNB 11,7,0,Eddie Lacy left end for 4 yards (tackle by DeMeco Ryans),-0.600,-0.220
1,0:06,1,10,GNB 15,7,0,Eddie Lacy left end for 3 yards (tackle by Trent Cole),-0.220,-0.280
Quarter,Time,Down,ToGo,Location,PHI,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,GNB 18,7,0,Scott Tolzien pass complete short right to Jarrett Boykin for 10 yards (tackle by Cary Williams),-0.280,0.810
2,14:18,1,10,GNB 28,7,0,Eddie Lacy left end for 6 yards (tackle by Trent Cole),0.810,1.070
2,13:42,2,4,GNB 34,7,0,"Eddie Lacy left guard for 3 yards (tackle by Najee Goode). Penalty on GNB: Illegal Formation, 5 yards (no play)",1.070,1.070
2,13:12,2,4,GNB 34,7,0,Timeout #1 by Green Bay Packers,1.070,0.400
2,13:12,2,9,GNB 29,7,0,Scott Tolzien pass incomplete short right intended for Andrew Quarless (defended by Najee Goode),0.400,-0.300
2,13:09,3,9,GNB 29,7,0,Scott Tolzien pass complete deep right to Jarrett Boykin for 36 yards (tackle by Cary Williams). Penalty on Fletcher Cox: Defensive Offside (Declined),-0.300,3.250
2,12:45,1,10,PHI 35,7,0,Scott Tolzien pass complete short left to James Jones for 9 yards (tackle by Patrick Chung),3.250,3.920
2,12:05,2,1,PHI 26,7,0,Eddie Lacy right end for no gain (tackle by DeMeco Ryans),3.920,3.200
2,11:22,3,1,PHI 26,7,0,Scott Tolzien pass incomplete short left intended for Andrew Quarless (defended by Patrick Chung),3.200,1.890
2,11:17,4,1,PHI 26,7,0,John Kuhn for 2 yards (tackle by Vinny Curry),1.890,3.970
2,10:41,1,10,PHI 24,7,0,Eddie Lacy right tackle for 7 yards (tackle by DeMeco Ryans and Brandon Graham),3.970,4.460
2,10:06,2,3,PHI 17,7,0,Eddie Lacy left tackle for 5 yards (tackle by Vinny Curry),4.460,4.780
2,9:27,1,10,PHI 12,7,0,Scott Tolzien pass incomplete short right intended for Jarrett Boykin (defended by Cedric Thornton),4.780,4.100
2,9:23,2,10,PHI 12,7,0,Scott Tolzien pass complete short right to Jordy Nelson for 7 yards (tackle by Nate Allen),4.100,4.610
2,8:57,3,3,PHI 5,7,0,Scott Tolzien pass incomplete short left intended for Jordy Nelson is intercepted by Brandon Boykin at PHI--3 and returned for 76 yards (tackle by Brandon Bostick),4.610,-3.780
2,8:42,1,10,GNB 27,7,0,Nick Foles for 9 yards (tackle by Brad Jones),3.780,4.530
2,8:19,2,1,GNB 18,7,0,LeSean McCoy left tackle for -3 yards (tackle by Johnny Jolly),4.530,3.340
2,7:46,3,4,GNB 21,7,0,Nick Foles pass incomplete deep right intended for Jason Avant,3.340,2.130
2,7:40,4,4,GNB 21,7,0,Alex Henery 39 yard field goal no good,2.130,-0.870
2,7:36,1,10,GNB 29,7,0,Scott Tolzien pass complete short right to Jarrett Boykin for 11 yards (tackle by Connor Barwin),0.870,1.600
2,7:04,1,10,GNB 40,7,0,James Starks left guard for no gain (tackle by Cedric Thornton and Patrick Chung),1.600,1.050
2,6:30,2,10,GNB 40,7,0,James Starks right tackle for 2 yards (tackle by Trent Cole),1.050,0.630
2,5:47,3,8,GNB 42,7,0,Scott Tolzien pass complete short middle to James Jones for 13 yards (tackle by Cary Williams),0.630,2.590
2,5:12,1,10,PHI 45,7,0,Scott Tolzien pass complete short right to Myles White for 9 yards (tackle by Nate Allen),2.590,3.260
2,4:36,2,1,PHI 36,7,0,James Starks for 3 yards (tackle by Cedric Thornton and DeMeco Ryans),3.260,3.380
2,4:02,1,10,PHI 33,7,0,James Starks for no gain (tackle by Bennie Logan),3.380,2.840
2,3:34,2,10,PHI 33,7,0,Scott Tolzien pass complete short right to James Starks for 9 yards (tackle by DeMeco Ryans),2.840,3.340
2,3:01,3,1,PHI 24,7,0,Scott Tolzien pass incomplete short left intended for Andrew Quarless (defended by Vinny Curry),3.340,2.020
2,2:58,4,1,PHI 24,7,0,Mason Crosby 42 yard field goal no good,2.020,-1.140
