Quarter,Time,Tm,Detail,SEA,LAR
1.0,8:16,Rams,Matt Gay 55 yard field goal,0,3
2.0,0:10,Seahawks,Jason Myers 39 yard field goal,3,3
3.0,9:23,Seahawks,DeeJay Dallas 4 yard rush (Jason Myers kick),10,3
,6:31,Rams,Cooper Kupp 6 yard pass from Matthew Stafford (Matt Gay kick),10,10
4.0,10:48,Rams,Cooper Kupp 29 yard pass from Matthew Stafford (Matt Gay kick),10,17
,1:51,Rams,Matt Gay 35 yard field goal,10,20
