Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 63 yards, returned by Brandon Powell for 32 yards (tackle by Ugo Amadi)",,
1,14:54,1,10,LAR 34,0,0,Sony Michel right tackle for 5 yards (tackle by Al Woods and Rasheem Green),,
1,14:14,2,5,LAR 39,0,0,Sony Michel left tackle for 2 yards (tackle by Poona Ford),,
1,13:32,3,4,LAR 41,0,0,Matthew Stafford pass complete short right to Odell Beckham for 7 yards (tackle by Sidney Jones),,
1,12:51,1,10,LAR 48,0,0,Matthew Stafford pass complete short left to Cooper Kupp for no gain (tackle by Quandre Diggs),,
1,12:11,2,10,LAR 48,0,0,Sony Michel right end for 10 yards (tackle by Quandre Diggs),,
1,11:26,1,10,SEA 42,0,0,"Matthew Stafford pass complete to Sony Michel for no gain. Penalty on Austin Corbett: Offensive Holding, 10 yards (accepted) (no play)",,
1,10:48,1,20,LAR 48,0,0,Matthew Stafford pass complete short right to Darrell Henderson for 1 yard (tackle by Sidney Jones),,
1,10:21,2,20,LAR 49,0,0,Matthew Stafford pass complete short left to Ben Skowronek for 14 yards (tackle by Ugo Amadi),,
1,9:35,3,5,SEA 37,0,0,"Matthew Stafford pass complete to Odell Beckham for no gain. Penalty on Bobby Evans: Illegal Formation, 5 yards (accepted) (no play)",,
1,9:04,3,10,SEA 42,0,0,Sony Michel left guard for no gain (tackle by L.J. Collier and Rasheem Green),,
1,8:29,4,10,SEA 42,0,0,"Johnny Hekker punts, fair catch by Freddie Swain at SEA-12. Penalty on Alton Robinson: Running Into the Kicker, 5 yards (accepted) (no play)",,
1,8:21,4,5,SEA 37,0,3,Matt Gay 55 yard field goal good,,
1,8:16,,,LAR 35,0,3,"Matt Gay kicks off 65 yards, touchback.",,
1,8:16,1,10,SEA 25,0,3,Rashaad Penny up the middle for 10 yards (tackle by Darious Williams and Nick Scott),,
1,7:38,1,10,SEA 35,0,3,Russell Wilson pass complete short middle to Gerald Everett for 6 yards (tackle by Darious Williams),,
1,7:15,2,4,SEA 41,0,3,Rashaad Penny up the middle for 2 yards (tackle by Greg Gaines and A'Shawn Robinson),,
1,6:47,3,2,SEA 43,0,3,Russell Wilson pass complete short left to D.K. Metcalf for 7 yards (tackle by David Long),,
1,6:18,1,10,SEA 50,0,3,Rashaad Penny up the middle for 2 yards (tackle by Ernest Jones),,
1,5:36,2,8,LAR 48,0,3,Rashaad Penny left guard for 1 yard (tackle by Justin Hollins and Aaron Donald),,
1,4:53,3,7,LAR 47,0,3,Russell Wilson pass complete short right to DeeJay Dallas for -5 yards (tackle by Aaron Donald),,
1,4:11,4,12,SEA 48,0,3,"Michael Dickson punts 40 yards, fair catch by Cooper Kupp at LA-12",,
1,4:02,1,10,LAR 12,0,3,Sony Michel up the middle for -2 yards (tackle by Poona Ford),,
1,3:19,2,12,LAR 10,0,3,Matthew Stafford pass incomplete short middle intended for Kendall Blanton (defended by Bobby Wagner),,
1,3:14,3,12,LAR 10,0,3,Matthew Stafford pass complete deep middle to Van Jefferson for 18 yards (tackle by Jordyn Brooks),,
1,2:30,1,10,LAR 28,0,3,Sony Michel left guard for 1 yard (tackle by Bobby Wagner),,
1,1:48,2,9,LAR 29,0,3,Matthew Stafford pass complete short middle to Cooper Kupp for 5 yards (tackle by Jordyn Brooks),,
1,1:04,3,4,LAR 34,0,3,"Matthew Stafford pass incomplete intended for Odell Beckham. Penalty on Blessuan Austin: Defensive Pass Interference, 11 yards (accepted) (no play)",,
1,0:57,1,10,LAR 45,0,3,Matthew Stafford pass incomplete short right intended for Cooper Kupp,,
1,0:54,2,10,LAR 45,0,3,Matthew Stafford pass complete short middle to Ben Skowronek for 11 yards (tackle by Bobby Wagner),,
1,0:29,1,10,SEA 44,0,3,Matthew Stafford pass complete short middle to Ben Skowronek for 12 yards (tackle by Bobby Wagner),,
Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 32,0,3,Matthew Stafford pass deep left intended for Cooper Kupp is intercepted by Quandre Diggs at SEA-6 and returned for 25 yards (tackle by David Edwards),,
2,14:49,1,10,SEA 31,0,3,"Rashaad Penny for no gain. Penalty on Damien Lewis: Offensive Holding, 10 yards (accepted) (no play)",,
2,14:28,1,20,SEA 21,0,3,Russell Wilson pass complete short right to Gerald Everett for 9 yards (tackle by Donte Deayon),,
2,13:43,2,11,SEA 30,0,3,Russell Wilson pass incomplete short right,,
2,13:39,3,11,SEA 30,0,3,Russell Wilson sacked by Von Miller for -9 yards,,
2,13:02,4,20,SEA 21,0,3,"Michael Dickson punts 47 yards, fair catch by Brandon Powell at LA-32",,
2,12:53,1,10,LAR 32,0,3,Darrell Henderson right end for 4 yards (tackle by Ryan Neal),,
2,12:16,2,6,LAR 36,0,3,Cooper Kupp left end for 1 yard (tackle by Alton Robinson),,
2,11:30,3,5,LAR 37,0,3,Matthew Stafford pass complete short right to Brycen Hopkins for 9 yards (tackle by Ryan Neal),,
2,10:42,,,,,,Timeout #1 by Los Angeles Rams,,
2,10:42,1,10,LAR 46,0,3,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards (tackle by Blessuan Austin),,
2,9:58,2,1,SEA 45,0,3,Darrell Henderson left guard for 2 yards (tackle by Poona Ford and Bobby Wagner),,
2,9:15,1,10,SEA 43,0,3,Matthew Stafford pass complete short right to Darrell Henderson for 3 yards (tackle by Darrell Taylor),,
2,8:28,2,7,SEA 40,0,3,Darrell Henderson left end for 6 yards (tackle by Blessuan Austin),,
2,7:54,3,1,SEA 34,0,3,Sony Michel right tackle for 1 yard (tackle by Jordyn Brooks and Myles Adams),,
2,7:15,1,10,SEA 33,0,3,Matthew Stafford pass complete short right to Cooper Kupp for 2 yards (tackle by Sidney Jones),,
2,6:42,2,8,SEA 31,0,3,Matthew Stafford pass incomplete short right intended for Ben Skowronek,,
2,6:38,3,8,SEA 31,0,3,Matthew Stafford sacked by Rasheem Green for -10 yards,,
2,5:56,4,18,SEA 41,0,3,"Johnny Hekker punts 33 yards, returned by Freddie Swain for 9 yards (tackle by Christian Rozeboom)",,
2,5:46,1,10,SEA 17,0,3,Russell Wilson pass incomplete deep left intended for D'Wayne Eskridge (defended by Leonard Floyd),,
2,5:37,2,10,SEA 17,0,3,Russell Wilson pass complete short right to D.K. Metcalf for 4 yards (tackle by Jalen Ramsey),,
2,4:58,3,6,SEA 21,0,3,Russell Wilson pass incomplete deep left intended for D.K. Metcalf (defended by Jalen Ramsey),,
2,4:51,4,6,SEA 21,0,3,"Michael Dickson punts 54 yards, returned by Brandon Powell for no gain (tackle by Josh Jones)",,
2,4:42,1,10,LAR 25,0,3,Matthew Stafford sacked by Carlos Dunlap for -9 yards,,
2,4:03,2,19,LAR 16,0,3,Darrell Henderson right tackle for 2 yards (tackle by Jordyn Brooks),,
2,3:41,3,17,LAR 18,0,3,Matthew Stafford pass complete deep left to Cooper Kupp for 42 yards (tackle by Ugo Amadi),,
2,2:54,1,10,SEA 40,0,3,Darrell Henderson up the middle for 3 yards (tackle by Ryan Neal and Myles Adams),,
2,2:12,2,7,SEA 37,0,3,Matthew Stafford pass incomplete short right intended for Odell Beckham,,
2,2:04,,,,,,Timeout #2 by Los Angeles Rams,,
2,2:04,3,7,SEA 37,0,3,Matthew Stafford pass complete short middle to Ben Skowronek for 5 yards (tackle by Bobby Wagner),,
2,2:00,4,3,SEA 32,0,3,Matthew Stafford pass incomplete short middle intended for Cooper Kupp (defended by Jordyn Brooks),,
2,1:56,1,10,SEA 32,0,3,Russell Wilson pass complete short right to Gerald Everett for 11 yards (tackle by Ernest Jones and Troy Reeder),,
2,1:30,1,10,SEA 43,0,3,Russell Wilson pass complete short middle to DeeJay Dallas for 9 yards (tackle by Troy Reeder),,
2,1:04,2,1,LAR 48,0,3,"Russell Wilson pass complete deep middle to Gerald Everett for 34 yards (tackle by Taylor Rapp and Ernest Jones). Penalty on Jalen Ramsey: Defensive Holding, 5 yards (declined)",,
2,0:53,1,10,LAR 14,0,3,Russell Wilson sacked by Leonard Floyd for -2 yards,,
2,0:25,2,12,LAR 16,0,3,Russell Wilson pass incomplete deep left intended for D'Wayne Eskridge,,
2,0:20,3,12,LAR 16,0,3,"Penalty on Duane Brown: False Start, 5 yards (accepted) (no play)",,
2,0:20,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:20,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:20,3,17,LAR 21,0,3,Russell Wilson pass incomplete deep right,,
2,0:14,4,17,LAR 21,3,3,Jason Myers 39 yard field goal good,,
2,0:10,,,SEA 35,3,3,"Jason Myers kicks off 65 yards, touchback.",,
2,0:10,1,10,LAR 25,3,3,Matthew Stafford kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,3,3,"Matt Gay kicks off 65 yards, touchback.",,
3,15:00,1,10,SEA 25,3,3,Rashaad Penny up the middle for 7 yards (tackle by Ernest Jones),,
3,14:29,2,3,SEA 32,3,3,Rashaad Penny right tackle for 6 yards (tackle by Nick Scott and Von Miller),,
3,14:00,1,10,SEA 38,3,3,"Rashaad Penny for no gain. Penalty on Damien Lewis: Offensive Holding, 10 yards (accepted) (no play)",,
3,13:27,1,20,SEA 28,3,3,Russell Wilson pass complete short right to D.K. Metcalf for 9 yards (tackle by Darious Williams),,
3,12:42,2,11,SEA 37,3,3,Russell Wilson pass complete short left to Freddie Swain for 25 yards (tackle by Jalen Ramsey),,
