Unnamed: 0,SEA,LAR
First Downs,13,20
Rush-Yds-TDs,19-80-1,29-123-0
Cmp-Att-Yd-TD-INT,17-31-156-0-1,21-29-244-2-1
Sacked-Yards,3-22,4-35
Net Pass Yards,134,209
Total Yards,214,332
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,8-65,4-34
Third Down Conv.,3-11,6-12
Fourth Down Conv.,0-1,0-1
Time of Possession,24:54,35:06
