Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
1,6:28,3,11,PIT 48,0,0,"Michael Vick for 4 yards (tackle by Joey Porter). Michael Vick fumbles (forced by Joey Porter), recovered by Joey Porter at PIT-44 (tackle by Bob Christian)",1.090,-2.260
1,6:17,1,10,,0,0,Tommy Maddox pass incomplete intended for Plaxico Burress,2.260,1.710
1,6:11,2,10,,0,0,Amos Zereoue right guard for -6 yards (tackle by Ed Jasper),1.710,0.230
1,5:32,3,16,PIT 44,0,0,Tommy Maddox pass complete to Antwaan Randle El for 36 yards (tackle by Kevin Mathis and Allen Rossum),0.230,4.240
1,4:49,1,10,ATL 20,0,0,Amos Zereoue left tackle for -4 yards (tackle by Brady Smith),4.240,3.150
1,4:13,2,14,ATL 24,0,0,Tommy Maddox pass complete to Hines Ward for 20 yards (tackle by Ray Buchanan),3.150,6.280
1,3:45,1,4,ATL 4,0,0,"Tommy Maddox for no gain. Tommy Maddox fumbles, recovered by Keith Brooking at ATL-6 (tackle by Amos Zereoue)",6.280,0.380
1,3:39,1,10,ATL 6,0,0,Warrick Dunn right guard for 3 yards (tackle by Aaron Smith),-0.380,-0.560
1,3:05,2,7,ATL 9,0,0,Warrick Dunn right end for -2 yards (tackle by Joey Porter and Lee Flowers),-0.560,-1.300
1,2:26,3,9,ATL 7,0,0,Michael Vick pass incomplete intended for Quentin McCord,-1.300,-2.490
1,2:21,4,9,ATL 7,0,0,"Chris Mohr punts 49 yards, returned by Antwaan Randle El for 22 yards (tackle by Chris Draft)",-2.490,-3.310
1,2:08,1,10,ATL 34,0,0,Antwaan Randle El right end for 10 yards (tackle by Gerald McBurrows and Patrick Kerney),3.310,3.970
1,1:30,1,10,ATL 24,0,0,Amos Zereoue left tackle for 5 yards (tackle by Ashley Ambrose),3.970,4.120
1,0:55,2,5,ATL 19,0,0,Amos Zereoue right guard for 3 yards (tackle by John Holecek),4.120,3.950
1,0:16,3,2,ATL 16,0,0,Tommy Maddox pass incomplete intended for Terance Mathis,3.950,2.500
1,0:13,4,2,ATL 16,0,3,Todd Peterson 34 yard field goal good,2.500,3.000
1,0:13,,,PIT 30,0,3,"Todd Peterson kicks off 58 yards, returned by Allen Rossum for 11 yards (tackle by Hank Poteat)",0.000,0.480
1,0:09,1,10,ATL 23,0,3,Michael Vick pass complete to Bob Christian for 8 yards (tackle by Kendrell Bell),0.480,1.010
Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,ATL 31,0,3,Michael Vick pass complete to Bob Christian for 11 yards (tackle by Jason Gildon),1.010,1.730
2,14:25,1,10,ATL 42,0,3,Warrick Dunn middle for 15 yards (tackle by Brent Alexander and Dewayne Washington),1.730,2.720
2,13:50,1,10,PIT 43,6,3,"Michael Vick pass complete to Shawn Jefferson for 43 yards, touchdown. Penalty on Chad Scott: Defensive Pass Interference (Declined)",2.720,7.000
2,13:50,,,PIT 43,7,3,Jay Feely kicks extra point good,0.000,0.000
2,13:50,,,ATL 30,7,3,"Jay Feely kicks off 68 yards, returned by Lee Mays for 17 yards (tackle by Kevin Mathis). Penalty on Jerame Tuman: Offensive Holding, 9 yards",0.000,-0.380
2,13:42,1,10,PIT 10,7,3,Tommy Maddox pass complete to Plaxico Burress for 17 yards (tackle by Ashley Ambrose),-0.380,0.740
2,12:55,1,10,PIT 27,7,3,Tommy Maddox pass complete to Hines Ward for 10 yards (tackle by Gerald McBurrows),0.740,1.400
2,12:31,1,10,PIT 37,7,3,Amos Zereoue middle for 3 yards (tackle by Keith Brooking and Travis Hall),1.400,1.260
2,11:53,2,7,PIT 40,7,3,Amos Zereoue right guard for 13 yards (tackle by Ray Buchanan),1.260,2.460
2,11:14,1,10,ATL 47,7,3,Amos Zereoue left tackle for 4 yards (tackle by Travis Hall),2.460,2.450
2,10:38,2,6,ATL 43,7,3,Amos Zereoue left tackle for 3 yards (tackle by Ellis Johnson and Keith Brooking),2.450,2.150
2,9:57,3,3,ATL 40,7,3,Tommy Maddox pass complete to Antwaan Randle El for 7 yards (tackle by Kevin Mathis),2.150,3.380
2,9:16,1,10,ATL 33,7,9,"Tommy Maddox pass complete to Plaxico Burress for 33 yards, touchdown",3.380,7.000
2,9:16,,,ATL 33,7,10,Todd Peterson kicks extra point good,0.000,0.000
2,9:16,,,PIT 30,7,10,"Todd Peterson kicks off 69 yards, returned by Allen Rossum for 25 yards (tackle by Dewayne Washington)",0.000,0.670
2,9:08,1,10,ATL 26,7,10,Michael Vick pass incomplete intended for Brian Finneran,0.670,0.130
2,8:56,2,10,ATL 26,7,10,Michael Vick pass incomplete intended for Bob Christian (defended by Joey Porter),0.130,-0.560
2,8:51,3,10,ATL 26,7,10,Michael Vick pass incomplete intended for Shawn Jefferson,-0.560,-1.630
2,8:45,4,10,ATL 26,7,10,"Chris Mohr punts 40 yards, fair catch by Antwaan Randle El",-1.630,-1.200
2,8:37,1,10,PIT 34,7,10,Tommy Maddox pass complete to Plaxico Burress for 32 yards,1.200,3.310
2,8:09,1,10,ATL 34,7,10,Hines Ward right end for 29 yards (tackle by Patrick Kerney and John Holecek),3.310,6.060
2,7:23,1,5,ATL 5,7,10,Tommy Maddox pass incomplete intended for Hines Ward,6.060,5.150
2,7:19,2,5,ATL 5,7,16,"Tommy Maddox pass complete to Hines Ward for 5 yards, touchdown",5.150,7.000
2,7:19,,,ATL 5,7,17,Todd Peterson kicks extra point good,0.000,0.000
2,7:19,,,PIT 30,7,17,"Todd Peterson kicks off 57 yards, returned by Allen Rossum for 17 yards (tackle by John Fiala)",0.000,0.940
2,7:15,1,10,ATL 30,7,17,Michael Vick for 3 yards (tackle by Casey Hampton),0.940,0.800
2,6:35,2,7,ATL 33,7,17,Michael Vick pass incomplete intended for Alge Crumpler,0.800,0.100
2,6:31,3,7,ATL 33,7,17,Michael Vick pass complete to Warrick Dunn for no gain,0.100,-1.180
2,5:53,4,7,ATL 33,7,17,"Chris Mohr punts 41 yards, fair catch by Antwaan Randle El",-1.180,-0.670
2,5:46,1,10,PIT 26,7,17,Amos Zereoue left guard for 11 yards (tackle by John Holecek),0.670,1.400
2,5:04,1,10,PIT 37,7,17,Tommy Maddox pass complete to Amos Zereoue for -1 yards (tackle by Sam Rogers),1.400,0.720
2,4:20,2,11,PIT 36,7,17,Tommy Maddox pass incomplete intended for Hines Ward,0.720,0.040
2,4:17,3,11,PIT 36,7,17,Tommy Maddox pass incomplete intended for Plaxico Burress,0.040,-0.980
2,4:11,4,11,PIT 36,7,17,"Josh Miller punts 50 yards, returned by Allen Rossum for 4 yards (tackle by Chris Hope). Penalty on Chris Hope: Defensive Holding (Offsetting), Penalty on Artie Ulmer: Offensive Holding (Offsetting) (no play)",-0.980,-0.980
2,4:11,4,11,PIT 36,7,17,"Josh Miller punts 48 yards, out of bounds",-0.980,0.140
2,3:50,1,10,ATL 16,7,17,Michael Vick sacked by Joey Porter for -7 yards,-0.140,-1.290
2,3:17,2,17,ATL 9,7,17,Michael Vick pass complete to Brian Finneran for 12 yards,-1.290,-0.700
2,2:48,3,5,ATL 21,7,17,Michael Vick pass complete to Shawn Jefferson for 4 yards (tackle by Dewayne Washington),-0.700,-1.700
2,2:48,4,1,ATL 25,7,17,"Chris Mohr punts 41 yards, fair catch by Antwaan Randle El",-1.700,-1.200
2,2:26,1,10,PIT 34,7,17,Antwaan Randle El left end for 13 yards (tackle by Kevin Mathis),1.200,2.060
2,2:00,1,10,PIT 47,7,17,Tommy Maddox pass incomplete intended for Amos Zereoue,2.060,1.520
2,1:56,2,10,PIT 47,7,17,Tommy Maddox pass complete to Hines Ward for 11 yards (tackle by Allen Rossum and Keith Brooking),1.520,2.790
2,1:28,1,10,ATL 42,7,17,Tommy Maddox pass complete to Hines Ward for 7 yards (tackle by Ray Buchanan),2.790,3.190
2,1:04,2,3,ATL 35,7,17,Tommy Maddox pass complete to Terance Mathis for 5 yards (tackle by Fred Weary),3.190,3.580
2,0:56,2,3,ATL 35,,,Timeout #1 by Pittsburgh Steelers,3.190,3.580
2,0:56,1,10,ATL 30,7,17,Amos Zereoue middle for 6 yards (tackle by Travis Hall and Keith Brooking),3.580,3.840
2,0:35,2,4,ATL 24,7,17,Tommy Maddox sacked for -5 yards,3.840,2.480
2,0:27,2,4,ATL 24,,,Timeout #2 by Pittsburgh Steelers,3.840,2.480
2,0:27,3,9,ATL 29,7,17,Tommy Maddox pass complete to Antwaan Randle El for 8 yards (tackle by Kevin Mathis),2.480,2.210
2,0:03,3,9,ATL 29,,,Timeout #3 by Pittsburgh Steelers,2.480,2.210
2,0:03,4,1,ATL 21,7,17,Todd Peterson 40 yard field goal no good,2.210,0.810
Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,7,17,"Todd Peterson kicks off 69 yards, returned by Allen Rossum for 19 yards (tackle by Larry Foote)",0.000,0.280
3,15:00,1,10,ATL 20,7,17,Warrick Dunn left tackle for 7 yards (tackle by Brent Alexander and Kendrell Bell),0.280,0.680
3,14:19,2,3,ATL 27,7,17,Michael Vick pass incomplete intended for Bob Christian,0.680,-0.030
3,14:11,3,3,ATL 27,7,17,Michael Vick pass complete to Brian Finneran for 5 yards (tackle by Lee Flowers),-0.030,1.070
3,13:32,1,10,ATL 32,7,17,Michael Vick pass complete to Brian Finneran for 9 yards (tackle by Chad Scott and Lee Flowers),1.070,1.740
3,12:54,2,1,ATL 41,7,17,Warrick Dunn right guard for no gain (tackle by Aaron Smith and Kimo von Oelhoffen),1.740,1.030
3,12:28,3,1,ATL 41,13,17,"Warrick Dunn right guard for 59 yards, touchdown",1.030,7.000
3,12:28,,,PIT 41,14,17,Jay Feely kicks extra point good,0.000,0.000
3,12:28,,,ATL 30,14,17,"Jay Feely kicks off 57 yards, returned by Antwaan Randle El for 13 yards (tackle by Mark Simoneau)",0.000,0.670
3,12:17,1,10,PIT 26,14,17,Amos Zereoue right end for 2 yards (tackle by Matt Stewart),0.670,0.400
3,11:35,2,8,PIT 28,14,17,Tommy Maddox pass incomplete intended for Mark Bruener,0.400,-0.300
3,11:32,3,8,PIT 28,14,17,Tommy Maddox pass complete to Terance Mathis for 10 yards (tackle by Kevin Mathis),-0.300,1.470
3,10:52,1,10,PIT 38,14,23,"Tommy Maddox pass complete to Plaxico Burress for 62 yards, touchdown",1.470,7.000
3,10:52,,,ATL 38,14,23,"Todd Peterson kicks extra point no good, blocked by Matt Stewart",0.000,-1.000
3,10:52,,,PIT 30,14,23,"Todd Peterson kicks off 56 yards, returned by Allen Rossum for 30 yards (tackle by Chad Scott)",0.000,1.860
3,10:42,1,10,ATL 44,14,23,Warrick Dunn left guard for 1 yard (tackle by Joey Porter),1.860,1.450
3,10:08,2,9,ATL 45,14,23,Michael Vick pass complete to Shawn Jefferson for 9 yards (tackle by Dewayne Washington),1.450,2.520
3,9:23,1,10,PIT 46,14,23,Michael Vick pass incomplete,2.520,0.360
3,9:18,2,22,ATL 42,14,23,Michael Vick pass incomplete intended for Shawn Jefferson,0.360,-0.290
3,9:10,3,22,ATL 42,14,23,Michael Vick pass complete to Brian Finneran for 23 yards (tackle by Deshea Townsend),-0.290,3.250
3,8:25,1,10,PIT 35,14,23,Michael Vick pass incomplete,3.250,0.950
3,8:15,2,23,PIT 48,14,23,Michael Vick pass incomplete intended for Shawn Jefferson,0.950,0.300
3,8:10,3,23,PIT 48,14,23,Michael Vick pass complete to Trevor Gaylor for 27 yards,0.300,4.170
3,7:39,1,10,PIT 21,14,23,Warrick Dunn right tackle for no gain (tackle by James Farrior and Chad Scott),4.170,3.630
3,7:00,2,10,PIT 21,14,23,Warrick Dunn middle for 3 yards (tackle by James Farrior and Rodney Bailey),3.630,3.310
3,6:16,3,7,PIT 18,14,23,Michael Vick pass incomplete intended for Brian Finneran. Penalty on Bob Whitfield: Illegal Use of Hands (Declined),3.310,2.250
3,6:12,4,7,PIT 18,17,23,Jay Feely 36 yard field goal good,2.250,3.000
3,6:12,,,ATL 30,17,23,"Jay Feely kicks off 60 yards, returned by Antwaan Randle El for 23 yards (tackle by Gerald McBurrows)",0.000,1.140
3,6:07,1,10,PIT 33,17,23,Tommy Maddox pass incomplete intended for Hines Ward (defended by Sam Rogers),1.140,0.590
3,5:56,2,10,PIT 33,17,23,Amos Zereoue middle for 7 yards (tackle by John Holecek),0.590,0.830
3,5:14,3,3,PIT 40,17,23,Amos Zereoue right end for 13 yards (tackle by Fred Weary),0.830,2.460
3,4:34,1,10,ATL 47,17,23,Amos Zereoue middle for -1 yards (tackle by Sam Rogers and Ed Jasper),2.460,1.780
3,3:54,2,11,ATL 48,17,23,Tommy Maddox pass complete to Hines Ward for 10 yards (tackle by John Holecek and John Thierry),1.780,2.410
3,3:15,3,1,ATL 38,17,23,Tommy Maddox pass complete to Plaxico Burress for 20 yards (tackle by Ashley Ambrose),2.410,4.370
3,2:31,1,10,ATL 18,17,29,"Tommy Maddox pass complete to Jerame Tuman for 18 yards, touchdown",4.370,7.000
3,2:31,1,,ATL 18,17,31,"Two Point Attempt: Tommy Maddox pass complete to Hines Ward, conversion succeeds",1.000,1.000
3,2:31,,,PIT 30,17,31,--,0.000,1.140
3,2:25,1,10,ATL 33,17,31,Warrick Dunn middle for no gain (tackle by Aaron Smith),1.140,0.590
3,1:42,2,10,ATL 33,17,31,"Michael Vick pass complete to Brian Finneran for 8 yards (tackle by Dewayne Washington). Brian Finneran fumbles (forced by Dewayne Washington), recovered by James Farrior at ATL-41 and returned for 4 yards (tackle by Bob Christian)",0.590,-3.120
,,,,,,,"ATL challenged the ruling, and the play was upheld.",,
3,1:33,1,10,ATL 37,17,31,Amos Zereoue right end for 4 yards (tackle by Keith Brooking),3.120,3.110
3,0:55,2,6,ATL 33,17,31,Amos Zereoue right guard for 3 yards (tackle by Keith Brooking and Matt Stewart),3.110,2.810
3,0:14,3,3,ATL 30,17,31,Amos Zereoue right guard for 2 yards (tackle by Patrick Kerney),2.810,1.720
Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,ATL 28,17,31,Amos Zereoue middle for 5 yards (tackle by Keith Brooking and Chris Draft),1.720,4.040
4,14:21,1,10,ATL 23,17,31,Amos Zereoue left guard for 4 yards (tackle by John Holecek),4.040,4.050
4,13:41,2,6,ATL 19,17,31,Amos Zereoue left tackle for 3 yards (tackle by Keith Brooking),4.050,3.850
4,12:58,3,3,ATL 16,17,31,Amos Zereoue right end for no gain (tackle by Ray Buchanan and Fred Weary). Penalty on Antwaan Randle El: Illegal Motion (Declined),3.850,2.480
4,12:58,4,3,ATL 16,17,34,Todd Peterson 34 yard field goal good,2.480,3.000
4,12:58,,,PIT 30,17,34,"Todd Peterson kicks off 65 yards, returned by Allen Rossum for 20 yards (tackle by Clark Haggans)",0.000,0.610
4,12:34,1,10,ATL 25,17,34,Michael Vick pass complete to Shawn Jefferson for 6 yards (tackle by Chad Scott),0.610,0.870
4,11:50,2,4,ATL 31,17,34,"Warrick Dunn right guard for 4 yards (tackle by Aaron Smith). Penalty on Todd McClure: Offensive Holding, 10 yards (no play)",0.870,-0.480
4,11:25,2,14,ATL 21,17,34,Warrick Dunn middle for 4 yards (tackle by Kendrell Bell),-0.480,-0.620
4,10:56,3,10,ATL 25,17,34,Michael Vick sacked by Jason Gildon for -8 yards,-0.620,-2.320
4,10:29,4,18,ATL 17,17,34,"Chris Mohr punts 48 yards, returned by Antwaan Randle El for 2 yards (tackle by Mark Simoneau). Antwaan Randle El fumbles (forced by Mark Simoneau), recovered by Mark Simoneau at PIT-37",-2.320,3.120
,,,,,,,"PIT challenged the ruling, and the play was upheld.",,
4,10:18,1,10,PIT 37,17,34,Michael Vick pass complete to Brian Finneran for 15 yards (tackle by Brent Alexander and Lee Flowers),3.120,4.110
4,9:41,1,10,PIT 22,17,34,Warrick Dunn left guard for 6 yards (tackle by Aaron Smith and Kendrell Bell),4.110,4.460
4,9:06,2,4,PIT 16,17,34,Michael Vick for 12 yards,4.460,6.280
4,8:40,1,4,PIT 4,17,34,Warrick Dunn right guard for 2 yards (tackle by Lee Flowers and Kendrell Bell),6.280,5.720
4,8:05,2,2,PIT 2,17,34,"Penalty on Kimo von Oelhoffen: Encroachment, 1 yards (no play)",5.720,5.910
4,7:48,2,1,PIT 1,23,34,"Bob Christian left tackle for 1 yard, touchdown",5.910,7.000
4,7:48,,,PIT 1,24,34,Jay Feely kicks extra point good,0.000,0.000
4,7:48,,,ATL 30,24,34,"Jay Feely kicks off 61 yards, returned by Lee Mays for 16 yards (tackle by Johndale Carty)",0.000,0.610
4,7:44,1,10,PIT 25,24,34,Amos Zereoue right tackle for -1 yards (tackle by Sam Rogers and Travis Hall),0.610,-0.070
4,6:54,2,11,PIT 24,24,34,Amos Zereoue right guard for -4 yards (tackle by Travis Hall),-0.070,-1.290
4,6:09,3,15,PIT 20,24,34,Tommy Maddox pass complete to Hines Ward for 7 yards (tackle by Ray Buchanan),-1.290,-1.570
4,5:23,4,8,PIT 27,24,34,"Josh Miller punts 56 yards, returned by Allen Rossum for 18 yards (tackle by Hank Poteat)",-1.570,-1.270
4,5:10,1,10,ATL 35,24,34,"Penalty on Bob Whitfield: False Start, 5 yards (no play)",1.270,0.940
4,5:10,1,15,ATL 30,24,34,"Penalty on Quentin McCord: False Start, 5 yards (no play)",0.940,0.610
4,5:10,1,20,ATL 25,24,34,Michael Vick pass complete to Warrick Dunn for 16 yards (tackle by Clark Haggans),0.610,1.530
4,4:54,2,4,ATL 41,24,34,Michael Vick pass incomplete intended for Alge Crumpler (defended by Joey Porter),1.530,0.830
4,4:48,3,4,ATL 41,24,34,Michael Vick for no gain,0.830,0.170
4,4:39,3,9,ATL 36,24,34,Michael Vick pass complete to Alge Crumpler for 21 yards (tackle by Brent Alexander),0.170,2.720
4,4:32,1,10,PIT 43,24,34,Warrick Dunn left guard for 1 yard (tackle by Rodney Bailey and Jason Gildon),2.720,2.310
4,3:57,2,9,PIT 42,24,34,Michael Vick sacked by Jason Gildon for 0 yards,2.310,1.620
4,3:17,3,9,PIT 42,24,34,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Kynan Forney: Unnecessary Roughness, 15 yards (no play)",1.620,-0.360
4,3:07,3,24,ATL 43,24,34,Michael Vick pass complete to Shawn Jefferson for 35 yards (tackle by Dewayne Washington),-0.360,4.110
4,2:41,1,10,PIT 22,24,34,Michael Vick pass incomplete,4.110,3.560
4,2:39,2,10,PIT 22,24,34,Michael Vick pass incomplete intended for Trevor Gaylor (defended by Chad Scott),3.560,2.870
4,2:34,3,10,PIT 22,24,34,Michael Vick pass incomplete intended for Brian Finneran,2.870,1.990
4,2:34,4,10,PIT 22,27,34,Jay Feely 40 yard field goal good,1.990,3.000
4,2:34,,,ATL 30,27,34,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
4,2:26,1,10,PIT 20,27,34,Amos Zereoue left guard for 5 yards (tackle by Keith Brooking and John Holecek),0.280,0.410
4,2:20,1,10,PIT 20,,,Timeout #2 by Atlanta Falcons,0.280,0.410
4,2:16,2,5,PIT 25,27,34,Amos Zereoue left tackle for 2 yards (tackle by Patrick Kerney),0.410,-0.030
4,2:13,2,5,PIT 25,,,Timeout #3 by Atlanta Falcons,0.410,-0.030
4,2:13,3,3,PIT 27,27,34,Tommy Maddox pass incomplete intended for Hines Ward,-0.030,-1.570
4,2:04,4,3,PIT 27,27,34,"Josh Miller punts 57 yards, returned by Allen Rossum for 34 yards (tackle by Hank Poteat)",-1.570,-2.260
4,1:55,1,10,,27,34,Michael Vick pass complete to Shawn Jefferson for 20 yards (tackle by Chad Scott),2.260,3.580
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:33,1,10,PIT 30,27,34,Michael Vick pass complete to Shawn Jefferson for 7 yards (tackle by Chad Scott),3.580,3.980
4,1:15,2,3,PIT 23,27,34,Michael Vick pass incomplete intended for Alge Crumpler,3.980,3.270
4,1:09,3,3,PIT 23,27,34,"Michael Vick for 7 yards (tackle by Hank Poteat). Penalty on Dewayne Washington: Illegal Contact, 5 yards",3.270,4.840
4,0:56,1,10,PIT 11,27,34,Michael Vick pass incomplete intended for Brian Finneran,4.840,4.140
4,0:51,2,10,PIT 11,33,34,"Michael Vick for 11 yards, touchdown",4.140,7.000
4,0:51,,,PIT 11,34,34,Jay Feely kicks extra point good,0.000,0.000
4,0:51,,,ATL 30,34,34,"Jay Feely kicks off 62 yards, returned by Lee Mays for 23 yards (tackle by Artie Ulmer)",0.000,1.000
4,0:42,1,10,PIT 31,34,34,Tommy Maddox pass complete to Plaxico Burress for 4 yards (tackle by Kevin Mathis),1.000,1.000
4,0:30,1,10,PIT 31,,,Timeout #2 by Pittsburgh Steelers,1.000,1.000
4,0:30,2,6,PIT 35,34,34,Tommy Maddox right end for 7 yards (tackle by Keith Brooking),1.000,1.730
4,0:18,2,6,PIT 35,,,Timeout #3 by Pittsburgh Steelers,1.000,1.730
4,0:18,1,10,PIT 42,34,34,Tommy Maddox pass incomplete intended for Terance Mathis (defended by Keion Carpenter),1.730,1.190
4,0:18,2,10,PIT 42,34,34,Tommy Maddox pass complete to Hines Ward for 21 yards (tackle by Ashley Ambrose),1.190,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
,,,,,,,"Steelers won the coin toss, Steelers to receive the overtime kickoff.",,
OT,15:00,,,ATL 30,34,34,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
OT,15:00,1,10,PIT 20,34,34,Tommy Maddox pass complete to Plaxico Burress for 11 yards (tackle by Ashley Ambrose),0.280,1.000
OT,14:24,1,10,PIT 31,34,34,Amos Zereoue left end for 1 yard (tackle by Gerald McBurrows),1.000,0.600
OT,13:59,2,9,PIT 32,34,34,Tommy Maddox pass complete to Hines Ward for 30 yards (tackle by Ray Buchanan),0.600,3.050
OT,13:11,1,10,ATL 38,34,34,Amos Zereoue middle for 9 yards (tackle by Keion Carpenter and Matt Stewart),3.050,3.720
OT,12:30,2,1,ATL 29,34,34,Amos Zereoue right end for no gain (tackle by Ed Jasper),3.720,3.010
OT,11:48,3,1,ATL 29,34,34,Amos Zereoue right guard for -1 yards (tackle by Chris Draft and John Thierry),3.010,1.500
OT,11:08,3,1,ATL 29,,,Timeout #1 by Atlanta Falcons,3.010,1.500
OT,11:08,4,2,ATL 30,34,34,"Todd Peterson 48 yard field goal no good, blocked by Brian Finneran, recovered by Gerald McBurrows",1.500,-2.060
OT,10:58,1,10,ATL 47,34,34,Michael Vick pass incomplete intended for Brian Finneran,2.060,1.520
OT,10:51,2,10,ATL 47,34,34,Michael Vick for -14 yards (tackle by Deshea Townsend),1.520,-1.020
OT,10:17,3,24,ATL 33,34,34,Michael Vick pass incomplete intended for Shawn Jefferson,-1.020,-1.180
OT,10:01,4,24,ATL 33,34,34,"Chris Mohr punts 47 yards, returned by Antwaan Randle El for -2 yards (tackle by Derek Rackley)",-1.180,-0.040
OT,9:50,1,10,PIT 18,34,34,Amos Zereoue left tackle for 9 yards (tackle by John Holecek and Henry Jones),0.040,0.820
OT,9:08,2,1,PIT 27,34,34,Amos Zereoue middle for 9 yards (tackle by Henry Jones),0.820,1.330
OT,8:38,1,10,PIT 36,34,34,Amos Zereoue middle for no gain (tackle by Ed Jasper and Brady Smith),1.330,0.790
OT,8:03,2,10,PIT 36,34,34,"Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Keion Carpenter). Penalty on Ray Buchanan: Illegal Contact, 5 yards (no play)",0.790,1.660
OT,7:55,1,10,PIT 41,34,34,Amos Zereoue middle for 2 yards (tackle by Sam Rogers),1.660,1.390
OT,7:20,2,8,PIT 43,34,34,Amos Zereoue right guard for 2 yards (tackle by Patrick Kerney),1.390,0.960
OT,6:42,3,6,PIT 45,34,34,Tommy Maddox pass complete to Plaxico Burress for 24 yards (tackle by Allen Rossum),0.960,3.510
OT,6:00,1,10,ATL 31,34,34,Amos Zereoue left guard for 5 yards (tackle by Henry Jones),3.510,3.640
OT,5:24,2,5,ATL 26,34,34,"Amos Zereoue left end for 3 yards (tackle by Travis Hall). Penalty on Mark Bruener: Offensive Holding, 10 yards",3.640,2.700
OT,5:00,2,12,ATL 33,34,34,Tommy Maddox pass incomplete intended for Hines Ward,2.700,2.020
OT,4:58,3,12,ATL 33,34,34,Tommy Maddox pass incomplete intended for Plaxico Burress,2.020,1.150
OT,4:55,4,12,ATL 33,34,34,"Josh Miller punts 22 yards, out of bounds",1.150,0.350
OT,4:42,1,10,ATL 12,34,34,Warrick Dunn right end for 6 yards (tackle by James Farrior),-0.350,-0.070
OT,4:01,2,4,ATL 18,34,34,Michael Vick for 6 yards (tackle by Aaron Smith),-0.070,0.540
OT,3:55,1,10,ATL 24,34,34,Warrick Dunn left tackle for 4 yards (tackle by Casey Hampton and James Farrior),0.540,0.540
OT,3:12,2,6,ATL 28,34,34,Michael Vick pass incomplete intended for Quentin McCord,0.540,-0.160
