Unnamed: 0,ATL,PIT
First Downs,21,30
Rush-Yds-TDs,31-168-3,42-182-0
Cmp-Att-Yd-TD-INT,24-46-294-1-0,28-41-473-4-1
Sacked-Yards,3-15,2-10
Net Pass Yards,279,463
Total Yards,447,645
Fumbles-Lost,2-2,2-2
Turnovers,2,3
Penalties-Yards,11-95,4-25
Third Down Conv.,9-20,6-16
Fourth Down Conv.,0-0,1-1
Time of Possession,35:10,39:50
