Player,Pos
Tommy Maddox,QB
Amos Zereoue,HB
Hines Ward,FL
Plaxico Burress,SE
Dan Kreider,TE
Mark Bruener,TE
Wayne Gandy,LT
Alan Faneca,LG
Jeff Hartings,C
Kendall Simmons,RG
Marvel Smith,RT
Kimo von Oelhoffen,DE
Aaron Smith,DE
Casey Hampton,NT
Jason Gildon,LOLB
James Farrior,LILB
Kendrell Bell,RILB
Joey Porter,ROLB
Chad Scott,LCB
Dewayne Washington,RCB
Lee Flowers,SS
Brent Alexander,FS
