Quarter,Time,Tm,Detail,MIN,JAX
1.0,14:47,Vikings,Napoleon Harris 27 yard defensive fumble return (Ryan Longwell kick),7,0
,13:19,Vikings,Chester Taylor 3 yard rush (Ryan Longwell kick),14,0
,7:57,Jaguars,Reggie Williams 8 yard pass from David Garrard (Josh Scobee kick),14,7
,6:00,Vikings,Ryan Longwell 54 yard field goal,17,7
2.0,12:29,Jaguars,Josh Scobee 21 yard field goal,17,10
3.0,7:43,Vikings,Ryan Longwell 32 yard field goal,20,10
4.0,13:59,Vikings,Ryan Longwell 22 yard field goal,23,10
,6:55,Vikings,Adrian Peterson 16 yard rush (Ryan Longwell kick),30,10
,3:01,Jaguars,"Safety, Minnesota punter Chris Kluwe ran out of the end zone.",30,12
