Unnamed: 0,MIN,JAX
First Downs,15,17
Rush-Yds-TDs,34-122-2,14-35-0
Cmp-Att-Yd-TD-INT,12-20-120-0-1,27-45-317-1-2
Sacked-Yards,3-16,4-31
Net Pass Yards,104,286
Total Yards,226,321
Fumbles-Lost,0-0,5-3
Turnovers,1,5
Penalties-Yards,5-49,8-81
Third Down Conv.,4-13,6-14
Fourth Down Conv.,1-2,0-1
Time of Possession,30:29,29:31
