Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
1,6:05,4,12,JAX 36,17,7,Ryan Longwell 54 yard field goal good,0.880,3.000
1,6:00,,,MIN 30,17,7,"Ryan Longwell kicks off 65 yards, returned by Maurice Jones-Drew for 26 yards (tackle by Naufahu Tahi)",0.000,1.000
1,5:54,1,10,JAX 31,17,7,David Garrard right end for 5 yards (tackle by Ray Edwards and Pat Williams),1.000,1.140
1,5:12,2,5,JAX 36,17,7,Fred Taylor up the middle for -2 yards (tackle by Napoleon Harris),1.140,0.170
1,4:30,3,7,JAX 34,17,7,David Garrard pass complete short left to Matt Jones for 9 yards (tackle by Cedric Griffin),0.170,1.800
1,3:48,1,10,JAX 43,17,7,David Garrard pass complete short middle to Fred Taylor for 7 yards (tackle by Chad Greenway),1.800,2.200
1,3:03,2,3,,17,7,David Garrard pass incomplete short left intended for Reggie Williams (defended by Cedric Griffin),2.200,1.490
1,2:59,3,3,,17,7,"David Garrard pass complete short right to Jerry Porter for 5 yards (tackle by Antoine Winfield). Penalty on Tony Pashos: Offensive Holding, 10 yards (no play)",1.490,0.170
1,2:35,3,13,JAX 40,17,7,David Garrard pass complete short left to Maurice Jones-Drew for 13 yards (tackle by Ben Leber),0.170,2.460
1,1:50,1,10,MIN 47,17,7,Fred Taylor up the middle for 3 yards (tackle by Darren Sharper),2.460,2.320
1,1:07,2,7,MIN 44,17,7,David Garrard pass complete short middle to Dennis Northcutt for 6 yards (tackle by Antoine Winfield),2.320,2.410
1,0:29,3,1,MIN 38,17,7,David Garrard pass complete short right to Maurice Jones-Drew for 18 yards (tackle by Darren Sharper),2.410,4.240
Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 20,17,7,David Garrard pass complete short middle to Maurice Jones-Drew for 8 yards (tackle by Napoleon Harris),4.240,5.040
2,14:17,2,2,MIN 12,17,7,"Penalty on Kevin Williams: Encroachment, 5 yards (no play)",5.040,5.600
2,14:02,1,7,MIN 7,17,7,Fred Taylor right end for 1 yard (tackle by Ray Edwards),5.600,4.950
2,13:19,2,6,MIN 6,17,7,Fred Taylor up the middle for 3 yards (tackle by Antoine Winfield),4.950,4.720
2,12:37,3,3,MIN 3,17,7,David Garrard pass incomplete short middle intended for Marcedes Lewis,4.720,3.040
2,12:32,4,3,MIN 3,17,10,Josh Scobee 21 yard field goal good,3.040,3.000
2,12:29,,,JAX 30,17,10,"Josh Scobee kicks off 66 yards, returned by Darius Reynaud for 18 yards (tackle by Reggie Nelson)",0.000,0.410
2,12:23,1,10,MIN 22,17,10,Gus Frerotte pass complete short left to Bernard Berrian for 6 yards (tackle by Rashean Mathis),0.410,0.680
2,11:48,2,4,MIN 28,17,10,Adrian Peterson up the middle for no gain (tackle by Brian Williams),0.680,-0.030
2,11:09,3,4,MIN 28,17,10,Gus Frerotte pass complete short right to Sidney Rice for 8 yards (tackle by Reggie Nelson),-0.030,1.330
2,10:37,1,10,MIN 36,17,10,Adrian Peterson left end for 3 yards (tackle by Daryl Smith and Mike Peterson),1.330,1.200
2,9:59,2,7,MIN 39,17,10,Adrian Peterson right end for no gain (tackle by Mike Peterson),1.200,0.500
2,9:12,3,7,MIN 39,17,10,Gus Frerotte pass incomplete short middle intended for Chester Taylor (defended by Quentin Groves),0.500,-0.780
2,9:07,4,7,MIN 39,17,10,"Chris Kluwe punts 48 yards, muffed catch by Brian Witherspoon, recovered by Drayton Florence and returned for no gain",-0.780,-0.610
2,8:51,1,10,JAX 25,17,10,David Garrard left end for -5 yards (tackle by Jared Allen),0.610,-0.610
2,8:11,2,15,JAX 20,17,10,David Garrard pass complete short right to Greg Estandia for 5 yards (tackle by Chad Greenway),-0.610,-0.620
2,7:32,3,10,JAX 25,17,10,David Garrard pass complete short middle to Dennis Northcutt for 19 yards (tackle by Benny Sapp),-0.620,1.860
2,6:50,1,10,JAX 44,17,10,David Garrard pass incomplete deep middle intended for Reggie Williams (defended by Cedric Griffin),1.860,1.320
2,6:44,2,10,JAX 44,17,10,"Maurice Jones-Drew up the middle for 8 yards (tackle by Napoleon Harris). Penalty on Ellis Wyms: Defensive Offside, 5 yards (no play)",1.320,1.990
2,6:16,2,5,JAX 49,17,10,David Garrard pass incomplete deep right intended for Matt Jones,1.990,1.290
2,6:11,3,5,JAX 49,17,10,David Garrard pass complete deep right to Maurice Jones-Drew for 20 yards (tackle by Madieu Williams),1.290,3.510
2,5:25,1,10,MIN 31,17,10,Fred Taylor up the middle for 2 yards (tackle by Antoine Winfield and Jared Allen),3.510,3.240
2,4:43,2,8,MIN 29,17,10,David Garrard pass complete short middle to Matt Jones for 3 yards (tackle by Madieu Williams),3.240,2.940
2,4:01,3,5,MIN 26,17,10,"David Garrard pass complete short middle to Dennis Northcutt for 4 yards (tackle by Ben Leber). Penalty on Dennis Norman: Offensive Holding, 10 yards (no play)",2.940,1.620
2,3:26,3,15,MIN 36,17,10,David Garrard pass complete short middle to Maurice Jones-Drew for 8 yards (tackle by Darren Sharper),1.620,1.590
2,2:45,4,7,MIN 28,17,10,Josh Scobee 46 yard field goal no good,1.590,-1.330
2,2:40,1,10,MIN 36,17,10,Gus Frerotte pass incomplete short right intended for Bobby Wade,1.330,0.790
2,2:36,2,10,MIN 36,17,10,Gus Frerotte pass incomplete deep left intended for Jim Kleinsasser is intercepted by Gerald Sensabaugh at JAX-40 and returned for 2 yards (tackle by Visanthe Shiancoe),0.790,-1.730
2,2:26,1,10,JAX 42,17,10,David Garrard pass complete short right to Marcedes Lewis for 8 yards (tackle by Antoine Winfield),1.730,2.270
2,2:00,2,2,,17,10,David Garrard pass complete short middle to Matt Jones for 13 yards (tackle by Antoine Winfield),2.270,3.120
2,1:40,1,10,MIN 37,17,10,David Garrard pass complete short right to Marcedes Lewis for 21 yards (tackle by Madieu Williams),3.120,4.510
2,1:33,1,10,MIN 16,17,10,David Garrard sacked by Pat Williams for -4 yards,4.510,3.420
2,1:02,2,14,MIN 20,17,10,David Garrard pass incomplete short middle intended for Maurice Jones-Drew,3.420,2.740
2,0:57,3,14,MIN 20,17,10,David Garrard pass incomplete deep middle intended for Jerry Porter,2.740,2.120
2,0:52,4,14,MIN 20,17,10,Josh Scobee 38 yard field goal no good,2.120,-0.810
2,0:46,1,10,MIN 28,17,10,Chester Taylor right end for -1 yards (tackle by Reggie Hayward),0.810,0.130
2,0:38,,,,17,10,Timeout #2 by Jacksonville Jaguars,0.000,0.130
2,0:38,2,11,MIN 27,17,10,Adrian Peterson up the middle for 4 yards (tackle by Rob Meier),0.130,-0.030
Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,17,10,"Josh Scobee kicks off 66 yards, returned by Darius Reynaud for 18 yards (tackle by Chad Nkang)",0.000,0.410
3,14:53,1,10,MIN 22,17,10,Gus Frerotte pass complete short middle to Visanthe Shiancoe for 14 yards (tackle by Gerald Sensabaugh),0.410,1.330
3,14:16,1,10,MIN 36,17,10,Gus Frerotte pass incomplete deep left intended for Sidney Rice,1.330,0.790
3,14:09,2,10,MIN 36,17,10,Adrian Peterson left end for no gain (tackle by Rashean Mathis),0.790,0.100
3,13:25,3,10,MIN 36,17,10,Gus Frerotte pass complete short right to Naufahu Tahi for 6 yards (tackle by Daryl Smith),0.100,-0.590
3,12:45,4,4,MIN 42,17,10,"Chris Kluwe punts 49 yards, returned by Maurice Jones-Drew for 9 yards (tackle by Husain Abdullah)",-0.590,-0.040
3,12:34,1,10,JAX 18,17,10,David Garrard right end for 3 yards (tackle by Antoine Winfield),0.040,0.010
3,11:55,2,7,JAX 21,17,10,"David Garrard pass complete short right to Matt Jones for 12 yards (tackle by Antoine Winfield). Matt Jones fumbles (forced by Antoine Winfield), recovered by Darren Sharper at JAX-38 (tackle by Greg Jones)",0.010,-3.050
3,11:45,1,10,JAX 38,17,10,Gus Frerotte up the middle for 3 yards (tackle by Daryl Smith),3.050,2.910
3,11:10,2,7,JAX 35,17,10,Bernard Berrian left end for 8 yards (tackle by Rashean Mathis),2.910,3.780
3,10:34,1,10,JAX 27,17,10,Adrian Peterson up the middle for 11 yards (tackle by Reggie Nelson and Derek Landri),3.780,4.510
3,9:56,1,10,JAX 16,17,10,Adrian Peterson up the middle for 8 yards (tackle by Reggie Nelson),4.510,5.350
3,9:10,2,2,JAX 8,17,10,Gus Frerotte pass complete short left to Naufahu Tahi for no gain,5.350,4.620
3,8:26,3,2,JAX 8,17,10,Chester Taylor up the middle for -7 yards (tackle by Derrick Harvey),4.620,2.440
3,7:47,4,9,JAX 15,20,10,Ryan Longwell 32 yard field goal good,2.440,3.000
3,7:43,,,MIN 30,20,10,"Ryan Longwell kicks off 66 yards, returned by Maurice Jones-Drew for 33 yards (tackle by E.J. Henderson)",0.000,1.400
3,7:37,1,10,JAX 37,20,10,David Garrard sacked by Kevin Williams and Ray Edwards for -11 yards. Penalty on Tony Pashos: Offensive Holding (Declined),1.400,-0.630
3,7:16,2,21,JAX 26,20,10,David Garrard pass complete short left to Maurice Jones-Drew for 24 yards (tackle by Darren Sharper),-0.630,2.260
3,6:32,1,10,,20,10,Maurice Jones-Drew up the middle for -1 yards (tackle by Jared Allen),2.260,1.580
3,5:52,2,11,JAX 49,20,10,David Garrard pass incomplete short left intended for Matt Jones,1.580,0.890
3,5:47,3,11,JAX 49,20,10,David Garrard pass incomplete deep right intended for Matt Jones,0.890,-0.130
3,5:40,4,11,JAX 49,20,10,"Adam Podlesh punts 39 yards, returned by Bernard Berrian for 19 yards (tackle by Greg Jones). Penalty on Chad Nkang: Interference with Opportunity to Catch (Declined)",-0.130,-1.000
3,5:27,1,10,MIN 31,20,10,Gus Frerotte pass complete deep right to Visanthe Shiancoe for 40 yards (tackle by Daryl Smith),1.000,3.640
3,4:49,1,10,JAX 29,20,10,Adrian Peterson left end for 3 yards (tackle by Daryl Smith),3.640,3.510
3,4:15,2,7,JAX 26,20,10,Adrian Peterson up the middle for -3 yards (tackle by John Henderson and Brian Williams),3.510,2.410
3,3:31,3,10,JAX 29,20,10,Gus Frerotte pass complete short left to Bobby Wade for 9 yards (tackle by Brian Williams),2.410,2.270
3,3:00,4,1,JAX 20,20,10,Gus Frerotte up the middle for 2 yards (tackle by Daryl Smith),2.270,4.370
3,2:18,,,,20,10,Timeout #1 by Minnesota Vikings,0.000,4.370
3,2:17,1,10,JAX 18,20,10,Adrian Peterson up the middle for 1 yard (tackle by John Henderson),4.370,3.940
3,1:40,2,9,JAX 17,20,10,Gus Frerotte pass incomplete short left intended for Jim Kleinsasser,3.940,3.170
3,1:37,3,9,JAX 17,20,10,"Gus Frerotte pass incomplete short right intended for Bernard Berrian. Penalty on Rashean Mathis: Defensive Pass Interference, 15 yards (no play)",3.170,6.740
3,1:32,1,2,JAX 2,20,10,Gus Frerotte sacked by Reggie Hayward for -10 yards,6.740,3.860
3,0:56,2,12,JAX 12,20,10,Gus Frerotte pass complete short right to Chester Taylor for 2 yards (tackle by Brian Williams),3.860,3.130
3,0:08,3,10,JAX 10,20,10,"Penalty on Gus Frerotte: Delay of Game, 5 yards (no play)",3.130,2.930
Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,15,JAX 15,20,10,"Gus Frerotte sacked by Derrick Harvey for -1 yards. Penalty on Quentin Groves: Defensive Offside, 5 yards (no play)",2.930,3.130
4,14:39,3,10,JAX 10,20,10,Gus Frerotte pass complete short right to Visanthe Shiancoe for 6 yards (tackle by Reggie Nelson),3.130,3.030
4,14:02,4,4,JAX 4,23,10,Ryan Longwell 22 yard field goal good,3.030,3.000
4,13:59,,,MIN 30,23,10,"Ryan Longwell kicks off 65 yards, returned by Maurice Jones-Drew for 28 yards (tackle by E.J. Henderson)",0.000,1.140
4,13:52,1,10,JAX 33,23,10,David Garrard pass complete short right to Marcedes Lewis for 2 yards (tackle by Antoine Winfield),1.140,0.860
4,13:16,2,8,JAX 35,23,10,David Garrard pass complete short middle to Maurice Jones-Drew for 1 yard (tackle by Ben Leber),0.860,0.300
4,12:43,3,7,JAX 36,23,10,"David Garrard pass complete deep middle to Marcedes Lewis for 18 yards (tackle by Cedric Griffin). Penalty on Tony Pashos: Offensive Holding, 10 yards (no play)",0.300,-1.020
4,12:12,3,17,JAX 26,23,10,David Garrard pass incomplete deep middle intended for Reggie Williams,-1.020,-1.630
4,12:01,4,17,JAX 26,23,10,"Adam Podlesh punts 34 yards, out of bounds",-1.630,-1.600
4,11:53,1,10,MIN 40,23,10,Adrian Peterson left end for 3 yards (tackle by Tony McDaniel),1.600,1.460
4,11:08,2,7,MIN 43,23,10,Gus Frerotte pass incomplete short right intended for Sidney Rice,1.460,0.760
4,11:04,3,7,MIN 43,23,10,Gus Frerotte pass complete short right to Sidney Rice for 14 yards (tackle by Drayton Florence),0.760,2.720
4,10:42,1,10,JAX 43,23,10,Adrian Peterson up the middle for 6 yards (tackle by Daryl Smith and Gerald Sensabaugh),2.720,2.990
4,10:00,2,4,JAX 37,23,10,"Gus Frerotte pass incomplete deep left intended for Jim Kleinsasser. Penalty on Jim Kleinsasser: Offensive Pass Interference, 10 yards (no play)",2.990,1.640
4,9:54,2,14,JAX 47,23,10,Gus Frerotte pass incomplete short right intended for Adrian Peterson,1.640,0.960
4,9:48,3,14,JAX 47,23,10,Chester Taylor up the middle for 18 yards (tackle by Gerald Sensabaugh),0.960,3.640
4,9:08,1,10,JAX 29,23,10,Adrian Peterson up the middle for -1 yards (tackle by Justin Durant),3.640,2.970
4,8:27,2,11,JAX 30,23,10,Adrian Peterson up the middle for 4 yards (tackle by Rob Meier),2.970,2.810
4,7:45,3,7,JAX 26,23,10,Gus Frerotte pass complete short left to Chester Taylor for 10 yards (tackle by Gerald Sensabaugh),2.810,4.510
4,7:01,1,10,JAX 16,29,10,"Adrian Peterson left end for 16 yards, touchdown",4.510,7.000
4,7:01,,,JAX 2,30,10,Ryan Longwell kicks extra point good,0.000,0.000
4,6:55,,,MIN 30,30,10,"Ryan Longwell kicks off 70 yards, touchback",0.000,0.280
4,6:55,1,10,JAX 20,30,10,David Garrard sacked by Kevin Williams for -5 yards. Penalty on Khalif Barnes: Offensive Holding (Declined),0.280,-1.070
4,6:44,2,15,JAX 15,30,10,David Garrard pass complete short middle to Maurice Jones-Drew for 10 yards (tackle by Darren Sharper),-1.070,-0.300
4,6:21,3,5,JAX 25,30,10,David Garrard pass complete short middle to Maurice Jones-Drew for 11 yards (tackle by Antoine Winfield),-0.300,1.330
4,5:56,1,10,JAX 36,30,10,David Garrard pass incomplete short right intended for Marcedes Lewis,1.330,0.790
4,5:47,2,10,JAX 36,30,10,"David Garrard pass incomplete deep middle intended for Jerry Porter. Penalty on Darren Sharper: Defensive Pass Interference, 24 yards (no play)",0.790,2.920
4,5:41,1,10,MIN 40,30,10,David Garrard pass incomplete short right intended for Fred Taylor,2.920,2.370
4,5:36,2,10,MIN 40,30,10,David Garrard pass complete short middle to Marcedes Lewis for 10 yards (tackle by Ben Leber),2.370,3.580
4,5:07,1,10,MIN 30,30,10,David Garrard pass complete short left to Reggie Williams for 6 yards (tackle by Cedric Griffin),3.580,3.840
4,4:44,2,4,MIN 24,30,10,David Garrard left end for 8 yards (tackle by Benny Sapp). Penalty on Ray Edwards: Defensive Offside (Declined),3.840,4.510
4,4:37,1,10,MIN 16,30,10,"David Garrard pass incomplete short left intended for Marcedes Lewis. Penalty on David Garrard: Intentional Grounding, 16 yards",4.510,1.800
4,4:29,2,26,MIN 32,30,10,David Garrard pass incomplete deep left intended for Matt Jones. Penalty on Matt Jones: Offensive Pass Interference (Declined),1.800,1.160
4,4:23,3,26,MIN 32,30,10,David Garrard pass complete deep middle to Greg Estandia for 23 yards (tackle by Madieu Williams),1.160,2.930
4,4:05,,,,30,10,Timeout #1 by Jacksonville Jaguars,0.000,2.930
4,4:05,4,3,MIN 9,30,10,David Garrard pass incomplete short left intended for Mike Sims-Walker is intercepted by Benny Sapp at MIN-5 and returned for -1 yards (tackle by Mike Sims-Walker),2.930,0.380
4,3:58,1,10,MIN 4,30,10,Chester Taylor up the middle for no gain (tackle by John Henderson),-0.380,-0.780
4,3:16,2,10,MIN 4,30,10,Chester Taylor up the middle for 1 yard (tackle by Mike Peterson),-0.780,-1.300
4,3:10,,,,30,10,Timeout #2 by Jacksonville Jaguars,0.000,-1.300
4,3:10,3,9,MIN 5,30,10,Chester Taylor left end for 2 yards (tackle by Reggie Hayward),-1.300,-2.490
4,3:05,,,,30,10,Timeout #3 by Jacksonville Jaguars,0.000,0.000
4,3:05,,,,30,10,Timeout #2 by Minnesota Vikings,0.000,-2.490
4,3:05,4,7,MIN 7,30,12,"Chris Kluwe for -7 yards, safety",-2.490,-2.000
4,3:01,,,MIN 20,30,12,"Chris Kluwe kicks off 68 yards, returned by Brian Witherspoon for 18 yards (tackle by Naufahu Tahi)",0.000,0.940
4,2:52,1,10,JAX 30,30,12,David Garrard pass complete deep left to Reggie Williams for 30 yards (tackle by Darren Sharper),0.940,2.920
4,2:45,1,10,MIN 40,30,12,"David Garrard sacked by Ellis Wyms for -11 yards. David Garrard fumbles (forced by Ellis Wyms), recovered by David Garrard at JAX-49",2.920,0.890
4,2:37,2,21,JAX 49,30,12,David Garrard pass incomplete short middle intended for Greg Jones,0.890,0.230
4,2:18,3,21,JAX 49,30,12,"David Garrard pass complete deep right to Mike Sims-Walker for 15 yards (tackle by Benny Sapp). Penalty on Tony Pashos: Offensive Holding, 10 yards (no play)",0.230,-1.090
4,2:09,3,31,JAX 39,30,12,David Garrard pass incomplete deep right intended for Mike Sims-Walker is intercepted by Madieu Williams at MIN-25 and returned for -1 yards (tackle by Mike Sims-Walker),-1.090,-0.540
4,1:59,1,10,MIN 24,30,12,Gus Frerotte kneels for -1 yards,0.540,-0.140
4,1:18,2,11,MIN 23,30,12,Gus Frerotte kneels for -1 yards,-0.140,-0.960
4,0:37,3,12,MIN 22,30,12,Gus Frerotte kneels for -1 yards,-0.960,-1.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
