Unnamed: 0,NYJ,CHI
First Downs,12,22
Rush-Yds-TDs,24-57-0,34-179-1
Cmp-Att-Yd-TD-INT,14-29-153-1-0,16-29-220-2-0
Sacked-Yards,1-3,2-4
Net Pass Yards,150,216
Total Yards,207,395
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,8-45,2-25
Third Down Conv.,3-14,4-12
Fourth Down Conv.,1-1,1-1
Time of Possession,27:16,32:44
