Quarter,Time,Tm,Detail,DEN,NYG
2.0,13:18,Broncos,Brandon McManus 23 yard field goal,3,0
,8:56,Giants,Sterling Shepard 37 yard pass from Daniel Jones (Graham Gano kick),3,7
,0:08,Broncos,Tim Patrick 2 yard pass from Teddy Bridgewater (Brandon McManus kick),10,7
3.0,6:48,Broncos,Albert Okwuegbunam 4 yard pass from Teddy Bridgewater (Brandon McManus kick),17,7
4.0,12:44,Broncos,Brandon McManus 36 yard field goal,20,7
,4:37,Broncos,Melvin Gordon 70 yard rush (Brandon McManus kick),27,7
,0:00,Giants,Daniel Jones 4 yard rush,27,13
