Unnamed: 0,DEN,NYG
First Downs,24,19
Rush-Yds-TDs,28-165-1,20-60-1
Cmp-Att-Yd-TD-INT,28-36-264-2-0,22-37-267-1-0
Sacked-Yards,2-9,2-13
Net Pass Yards,255,254
Total Yards,420,314
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,5-51,4-48
Third Down Conv.,7-15,6-12
Fourth Down Conv.,3-3,1-3
Time of Possession,35:08,24:52
