Quarter,Time,Down,ToGo,Location,ARI,SDG,Detail,EPB,EPA
2,13:55,1,10,SDG 43,0,7,Philip Rivers pass incomplete,1.800,1.250
2,13:48,2,10,SDG 43,6,7,"Darren Sproles left end for -1 yards (tackle by Greg Toler). Darren Sproles fumbles (forced by Greg Toler), recovered by Kerry Rhodes at SDG-42 and returned for 42 yards, touchdown",1.250,-7.000
2,,,,SDG 2,7,7,Jay Feely kicks extra point good,0.000,0.000
2,,,,ARI 30,7,7,"Jay Feely kicks off 63 yards, returned by Darren Sproles for 30 yards (tackle by Jay Feely)",0.000,1.400
2,13:28,1,10,SDG 37,7,7,Mike Tolbert left end for 23 yards (tackle by Kerry Rhodes),1.400,2.920
2,12:55,1,10,ARI 40,7,7,Mike Tolbert middle for 12 yards (tackle by Paris Lenon and Daryl Washington),2.920,3.710
2,12:16,1,10,ARI 28,7,7,"Penalty on Brandyn Dombrowski: False Start, 5 yards (no play)",3.710,3.380
2,11:55,1,15,ARI 33,7,7,Philip Rivers pass complete short middle to Antonio Gates for 22 yards (tackle by Kerry Rhodes),3.380,4.840
2,11:11,1,10,ARI 11,7,7,Ryan Mathews left end for 6 yards (tackle by Kerry Rhodes),4.840,5.280
2,10:36,2,4,ARI 5,7,13,"Mike Tolbert left end for 5 yards, touchdown",5.280,7.000
2,,,,ARI 2,7,14,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,7,14,"Nate Kaeding kicks off 56 yards, returned by LaRod Stephens-Howling for 14 yards (tackle by Quinton Teal)",0.000,0.810
2,10:27,1,10,ARI 28,7,14,Beanie Wells middle for 7 yards (tackle by Antwan Applewhite and Kevin Burnett),0.810,1.210
2,9:51,2,3,ARI 35,7,14,Beanie Wells middle for 7 yards (tackle by Steve Gregory),1.210,1.730
2,9:09,1,10,ARI 42,7,14,Beanie Wells left end for -2 yards (tackle by Kevin Burnett),1.730,0.920
2,8:22,2,12,ARI 40,7,14,Derek Anderson pass incomplete short right intended for Stephen Williams,0.920,0.230
2,8:17,3,12,ARI 40,7,14,Derek Anderson sacked by Shaun Phillips for -8 yards,0.230,-1.240
2,7:51,4,20,ARI 32,7,14,Ben Graham punts 33 yards,-1.240,-1.270
2,7:44,1,10,SDG 35,7,14,Mike Tolbert left guard for 1 yard (tackle by Bryan Robinson),1.270,0.860
2,7:06,2,9,SDG 36,7,14,Philip Rivers pass complete short right to Jacob Hester for 11 yards (tackle by Daryl Washington and Clark Haggans),0.860,2.060
2,6:23,1,10,SDG 47,7,14,Mike Tolbert middle for 10 yards (tackle by Kerry Rhodes),2.060,2.720
2,5:42,1,10,ARI 43,7,14,"Ryan Mathews left end for 7 yards (tackle by Greg Toler and Kerry Rhodes). Penalty on Legedu Naanee: Offensive Holding, 10 yards",2.720,2.520
2,5:42,1,13,ARI 46,7,14,Philip Rivers pass incomplete short right intended for Legedu Naanee,2.520,1.770
2,5:42,2,13,ARI 46,7,14,Philip Rivers pass complete short right to Antonio Gates for 12 yards (tackle by Rashad Johnson),1.770,2.680
2,4:48,3,1,ARI 34,7,14,Jacob Hester right guard for 5 yards (tackle by Paris Lenon and Clark Haggans),2.680,3.640
2,4:14,1,10,ARI 29,7,14,Mike Tolbert middle for 3 yards (tackle by Adrian Wilson),3.640,3.510
2,3:35,2,7,ARI 26,7,20,"Philip Rivers pass complete deep middle to Antonio Gates for 26 yards, touchdown",3.510,7.000
2,,,,ARI 2,7,21,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,7,21,"Nate Kaeding kicks off 67 yards, returned by LaRod Stephens-Howling for 23 yards (tackle by Brandon Siler)",0.000,0.670
2,3:22,1,10,ARI 26,7,21,Derek Anderson pass incomplete short left intended for Larry Fitzgerald (defended by Antoine Cason),0.670,0.130
2,3:17,2,10,ARI 26,7,21,Derek Anderson sacked by Shaun Phillips for -3 yards,0.130,-0.960
2,2:39,3,13,ARI 23,7,27,"Derek Anderson pass incomplete short left intended for Max Komar is intercepted by Shaun Phillips at ARI-31 and returned for 31 yards, touchdown",-0.960,-7.000
2,,,,ARI 2,7,28,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,7,28,Nate Kaeding kicks off 65 yards,0.000,1.600
2,2:30,1,10,ARI 40,7,28,Max Hall pass complete short middle to Larry Fitzgerald for 5 yards (tackle by Steve Gregory and Stephen Cooper),1.600,1.730
2,2:00,2,5,ARI 45,7,28,Max Hall pass complete short left to Stephen Williams for 10 yards (tackle by Antoine Cason),1.730,2.590
2,1:35,1,10,SDG 45,7,28,Max Hall sacked by Antonio Garay for -9 yards,2.590,0.830
2,1:25,,,,7,28,Timeout #1 by Arizona Cardinals,0.000,0.830
2,1:25,2,19,ARI 46,7,28,Max Hall sacked by Travis Johnson for 0 yards,0.830,0.170
2,0:41,3,19,ARI 46,7,28,Max Hall pass complete deep right to Stephen Williams for 17 yards (tackle by Steve Gregory),0.170,0.790
2,0:29,,,,7,28,Timeout #2 by Arizona Cardinals,0.000,0.000
2,0:29,,,,7,28,Timeout #2 by San Diego Chargers,0.000,0.790
2,0:29,4,2,SDG 37,7,28,Max Hall pass incomplete short left intended for Max Komar,0.790,-1.400
2,0:25,1,10,SDG 37,7,28,Darren Sproles left guard for 3 yards (tackle by Clark Haggans and Calais Campbell),1.400,1.260
Quarter,Time,Down,ToGo,Location,ARI,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,7,28,"Jay Feely kicks off 75 yards, returned by Darren Sproles for 21 yards (tackle by Reggie Walker)",0.000,-0.140
3,14:56,1,10,SDG 16,7,28,Mike Tolbert middle for 3 yards (tackle by Bryan Robinson),-0.140,-0.180
3,14:16,2,7,SDG 19,7,28,Philip Rivers pass complete short right to Jacob Hester for 21 yards (tackle by Adrian Wilson),-0.180,1.600
3,13:32,1,10,SDG 40,7,28,Mike Tolbert middle for 3 yards (tackle by Calais Campbell and Paris Lenon),1.600,1.460
3,12:52,,,,7,28,Timeout #1 by San Diego Chargers,0.000,1.460
3,12:52,2,7,SDG 43,7,28,Mike Tolbert left end for no gain (tackle by Adrian Wilson and Paris Lenon),1.460,0.760
3,12:15,3,7,SDG 43,7,28,Philip Rivers pass complete deep left to Malcom Floyd for 31 yards (tackle by Matt Ware),0.760,3.840
3,11:32,1,10,ARI 26,7,28,Darren Sproles right end for no gain (tackle by Greg Toler),3.840,3.300
3,10:49,2,10,ARI 26,7,28,Philip Rivers pass complete short middle to Malcom Floyd for 14 yards (tackle by Dominique Rodgers-Cromartie),3.300,4.780
3,10:06,1,10,ARI 12,7,28,"Penalty on Adrian Wilson: Defensive Offside, 4 yards (no play)",4.780,5.700
3,9:42,1,6,ARI 8,7,28,Mike Tolbert right end for 2 yards (tackle by Clark Haggans),5.700,5.210
3,8:56,2,4,ARI 6,7,28,Philip Rivers pass incomplete short left intended for Malcom Floyd (defended by Paris Lenon),5.210,4.380
3,8:52,3,4,ARI 6,7,28,"Philip Rivers pass incomplete. Penalty on Philip Rivers: Intentional Grounding, 14 yards",4.380,2.120
3,8:43,4,18,ARI 20,7,28,Nate Kaeding 38 yard field goal no good,2.120,-0.810
3,8:41,1,10,ARI 28,7,28,Beanie Wells left guard for 4 yards (tackle by Shaun Phillips and Jacques Cesaire),0.810,0.800
3,8:03,2,6,ARI 32,7,28,Max Hall pass incomplete short right intended for Larry Fitzgerald (defended by Quentin Jammer),0.800,0.100
3,7:59,3,6,ARI 32,7,28,Max Hall sacked by Jyles Tucker for -6 yards,0.100,-1.630
3,7:46,4,12,ARI 26,7,28,"Ben Graham punts 39 yards, returned by Darren Sproles for 3 yards (tackle by Mike Leach)",-1.630,-1.470
3,7:36,1,10,SDG 38,7,28,Philip Rivers pass complete deep left to Antonio Gates for 28 yards (tackle by Greg Toler and Joey Porter),1.470,3.310
3,6:55,1,10,ARI 34,7,28,Mike Tolbert right tackle for 7 yards (tackle by Paris Lenon),3.310,3.720
3,6:16,2,3,ARI 27,7,28,"Penalty on Darnell Dockett: Defensive Offside, 5 yards (no play)",3.720,4.110
3,5:51,1,10,ARI 22,7,28,Philip Rivers pass complete short right to Mike Tolbert for -5 yards (tackle by Paris Lenon),4.110,2.890
3,5:09,2,15,ARI 27,7,28,Darren Sproles left end for 7 yards (tackle by Paris Lenon and Greg Toler),2.890,3.140
3,4:29,3,8,ARI 20,7,28,Philip Rivers sacked by Greg Toler for -10 yards,3.140,1.410
3,3:59,4,18,ARI 30,7,31,Nate Kaeding 48 yard field goal good,1.410,3.000
3,,,,SDG 30,7,31,"Nate Kaeding kicks off 62 yards, returned by LaRod Stephens-Howling for 26 yards (tackle by Paul Oliver). Penalty on Reggie Walker: Offensive Holding, 10 yards",0.000,0.540
3,3:48,1,10,ARI 24,7,31,Beanie Wells right end for 3 yards (tackle by Travis Johnson),0.540,0.400
3,3:10,2,7,ARI 27,7,31,LaRod Stephens-Howling middle for no gain (tackle by Travis Johnson),0.400,-0.300
3,2:25,3,7,ARI 27,7,31,Max Hall pass complete short right to Larry Fitzgerald for 8 yards (tackle by Kevin Burnett),-0.300,1.270
3,1:47,1,10,ARI 35,7,31,"Max Hall sacked by Kevin Burnett for -8 yards. Max Hall fumbles (forced by Kevin Burnett), recovered by Luis Castillo at ARI-25 and returned for 10 yards (tackle by Lyle Sendlein)",1.270,-4.580
3,1:38,1,10,ARI 15,7,37,"Ryan Mathews right end for 15 yards, touchdown",4.580,7.000
3,,,,ARI 2,7,38,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,7,38,"Nate Kaeding kicks off 64 yards, returned by LaRod Stephens-Howling for 15 yards (tackle by Quinton Teal)",0.000,0.340
3,1:26,1,10,ARI 21,7,38,Max Hall pass incomplete short right intended for Stephen Williams,0.340,-0.200
3,1:21,2,10,ARI 21,7,38,Max Hall pass complete short left to Stephen Williams for 5 yards (tackle by Antwan Applewhite and Paul Oliver),-0.200,-0.230
3,0:36,3,5,ARI 26,7,38,Max Hall sacked by Shaun Phillips for -6 yards,-0.230,-2.030
3,0:09,4,11,ARI 20,7,38,"Ben Graham punts 57 yards, returned by Darren Sproles for 13 yards (tackle by Jason Wright)",-2.030,-1.330
Quarter,Time,Down,ToGo,Location,ARI,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SDG 36,7,38,Ryan Mathews right tackle for 2 yards (tackle by Paris Lenon),1.330,1.060
4,14:26,2,8,SDG 38,7,38,Philip Rivers pass complete short left to Legedu Naanee for 4 yards (tackle by Dominique Rodgers-Cromartie),1.060,0.890
4,13:43,3,4,SDG 42,7,38,Philip Rivers pass complete short left to Antonio Gates for 10 yards (tackle by Kerry Rhodes),0.890,2.390
4,13:08,1,10,ARI 48,7,38,Ryan Mathews left end for 20 yards (tackle by Kerry Rhodes and Greg Toler),2.390,3.710
4,12:23,1,10,ARI 28,7,38,Ryan Mathews middle for 1 yard (tackle by Clark Haggans),3.710,3.300
4,11:41,2,9,ARI 27,7,38,Ryan Mathews right end for -2 yards (tackle by Alan Branch),3.300,2.340
4,10:58,3,11,ARI 29,7,38,Philip Rivers pass incomplete deep middle intended for Craig Davis,2.340,1.500
4,10:53,4,11,ARI 29,7,41,Nate Kaeding 47 yard field goal good,1.500,3.000
4,,,,SDG 30,7,41,"Nate Kaeding kicks off 69 yards, returned by LaRod Stephens-Howling for 11 yards",0.000,-0.350
4,10:43,1,10,ARI 12,7,41,Max Hall pass incomplete short right intended for Stephen Williams (defended by Quentin Jammer),-0.350,-0.780
4,10:39,2,10,ARI 12,7,41,Max Hall pass complete short left to Beanie Wells for 6 yards (tackle by Antoine Cason),-0.780,-0.720
4,10:00,3,4,ARI 18,7,41,Max Hall pass incomplete short left intended for Tim Hightower,-0.720,-2.240
4,9:55,4,4,ARI 18,7,41,"Ben Graham punts 55 yards, returned by Darren Sproles for 21 yards (tackle by Matt Ware). Penalty on Fred Bennett: Illegal Block Above the , 10 yards",-2.240,-0.280
4,9:43,1,10,SDG 20,7,41,Ryan Mathews left end for -1 yards (tackle by Calais Campbell),0.280,-0.460
4,9:07,2,11,SDG 19,7,41,Jacob Hester middle for 2 yards (tackle by Alan Branch and Adrian Wilson),-0.460,-0.820
4,8:27,3,9,SDG 21,7,41,"Penalty on Adam Terry: False Start, 5 yards (no play)",-0.820,-1.690
4,8:15,3,14,SDG 16,7,41,Darren Sproles middle for no gain (tackle by Alan Branch),-1.690,-2.390
4,7:37,4,14,SDG 16,7,41,"Mike Scifres punts 67 yards, returned by Andre Roberts for 19 yards",-2.390,-1.330
4,7:22,1,10,ARI 36,7,41,Tim Hightower left end for 1 yard (tackle by Kevin Burnett),1.330,0.930
4,6:40,2,9,ARI 37,7,41,Max Hall pass complete short middle to Jim Dray for 24 yards (tackle by Steve Gregory),0.930,2.980
4,5:57,1,10,SDG 39,7,41,Max Hall pass complete short right to Ben Patrick for 7 yards (tackle by Antoine Cason and Shaun Phillips),2.980,3.390
4,5:16,2,3,SDG 32,7,41,Tim Hightower left end for 4 yards (tackle by Quentin Jammer and Antwan Applewhite),3.390,3.710
4,4:38,1,10,SDG 28,7,41,Tim Hightower middle for 1 yard (tackle by Kevin Burnett),3.710,3.300
4,3:53,2,9,SDG 27,7,41,Max Hall pass incomplete short right intended for Larry Fitzgerald (defended by Shaun Phillips),3.300,2.610
4,3:50,3,9,SDG 27,7,41,Max Hall sacked by Shaun Phillips for -8 yards,2.610,0.970
4,3:22,4,17,SDG 35,10,41,Jay Feely 53 yard field goal good,0.970,3.000
4,,,,ARI 30,10,41,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
4,3:17,1,10,SDG 20,10,41,Jacob Hester middle for 4 yards (tackle by Calais Campbell),0.280,0.270
4,2:35,2,6,SDG 24,10,41,Jacob Hester left guard for -1 yards (tackle by Reggie Walker),0.270,-0.560
4,2:25,,,,10,41,Timeout #1 by Arizona Cardinals,0.000,-0.560
4,2:07,3,7,SDG 23,10,41,Billy Volek pass complete short middle to Jacob Hester for 8 yards (tackle by Paris Lenon),-0.560,1.000
4,2:00,1,10,SDG 31,10,41,Jacob Hester right end for no gain (tackle by Reggie Walker),1.000,0.460
4,1:19,2,10,SDG 31,10,41,Billy Volek kneels for -1 yards,0.460,-0.360
4,0:38,3,11,SDG 30,10,41,Billy Volek kneels for -1 yards,-0.360,-1.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
