Unnamed: 0,ARI,SDG
First Downs,10,23
Rush-Yds-TDs,14-47-0,38-180-2
Cmp-Att-Yd-TD-INT,15-28-146-0-2,16-21-249-2-0
Sacked-Yards,9-59,1-10
Net Pass Yards,87,239
Total Yards,134,419
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,5-34,5-44
Third Down Conv.,4-12,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,25:02,34:58
