Unnamed: 0,WAS,MIA
First Downs,16,20
Rush-Yds-TDs,16-61-0,33-103-2
Cmp-Att-Yd-TD-INT,21-32-215-0-2,20-29-209-0-1
Sacked-Yards,3-30,2-9
Net Pass Yards,185,200
Total Yards,246,303
Fumbles-Lost,0-0,3-1
Turnovers,2,2
Penalties-Yards,6-51,6-55
Third Down Conv.,5-13,8-14
Fourth Down Conv.,0-0,0-1
Time of Possession,26:27,33:33
