Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Dan Carpenter kicks off 65 yards, touchback",0.000,0.280
1,14:59,1,10,WAS 20,0,0,Ryan Torain left tackle for 5 yards (tackle by Koa Misi),0.280,0.410
1,14:24,2,5,WAS 25,0,0,Ryan Torain right tackle for 1 yard (tackle by Koa Misi),0.410,-0.160
1,13:44,3,4,WAS 26,0,0,Rex Grossman sacked by Karlos Dansby for -11 yards,-0.160,-2.440
1,13:17,4,15,WAS 15,0,0,"Saverio Rocca punts 49 yards, returned by Davone Bess for 19 yards (tackle by Nick Sundberg)",-2.440,-2.590
1,13:08,1,10,WAS 45,0,0,Matt Moore pass incomplete deep left intended for Brandon Marshall,2.590,2.040
1,12:31,2,10,WAS 45,0,0,Reggie Bush up the middle for 2 yards (tackle by Reed Doughty),2.040,1.620
1,12:20,3,8,WAS 43,0,0,Matt Moore pass complete deep middle to Brandon Marshall for 26 yards (tackle by DeAngelo Hall),1.620,4.440
1,11:31,1,10,WAS 17,0,0,Matt Moore pass complete short left to Brandon Marshall for -4 yards (tackle by Perry Riley),4.440,3.350
1,10:46,2,14,WAS 21,0,0,Reggie Bush right tackle for 12 yards (tackle by LaRon Landry),3.350,4.570
1,10:02,3,2,WAS 9,0,0,Matt Moore pass complete short middle to Reggie Bush for 4 yards (tackle by LaRon Landry),4.570,6.060
1,9:18,1,5,WAS 5,0,0,"Matt Moore pass incomplete short right intended for Lex Hilliard. Penalty on Perry Riley: Horse Collar Tackle, 3 yards (no play)",6.060,6.740
1,9:10,1,2,WAS 2,0,0,Reggie Bush up the middle for 1 yard (tackle by London Fletcher),6.740,5.910
1,8:25,,,,0,0,Timeout #1 by Miami Dolphins,0.000,5.910
1,8:20,2,1,WAS 1,0,6,"Reggie Bush left end for 1 yard, touchdown",5.910,7.000
1,,,,WAS 2,0,7,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 35,0,7,"Dan Carpenter kicks off 65 yards, touchback",0.000,0.280
1,8:20,1,10,WAS 20,0,7,"Rex Grossman pass complete deep middle to Leonard Hankerson for 17 yards (tackle by Tyrone Culver). Penalty on Paul Soliai: Roughing the Passer, 15 yards",0.280,2.390
1,7:50,1,10,MIA 48,0,7,Rex Grossman pass complete deep right to Jabar Gaffney for 20 yards (tackle by Yeremiah Bell),2.390,3.710
1,7:11,1,10,MIA 28,0,7,Ryan Torain right end for -1 yards (tackle by Karlos Dansby),3.710,3.030
1,6:32,2,11,MIA 29,0,7,Rex Grossman pass complete short left to Leonard Hankerson for 9 yards (tackle by Kevin Burnett),3.030,3.530
1,5:51,3,2,MIA 20,0,7,Rex Grossman sacked by Jared Odrick for -12 yards,3.530,1.240
1,5:28,4,14,MIA 32,0,7,Graham Gano 50 yard field goal no good,1.240,-1.600
1,5:10,1,10,MIA 40,0,7,"Reggie Bush left tackle for no gain (tackle by Adam Carriker). Penalty on Richie Incognito: Offensive Holding, 10 yards, Penalty on Brandon Marshall: Illegal Formation (Declined) (no play)",1.600,0.940
1,4:45,1,20,MIA 30,0,7,Matt Moore pass complete short right to Reggie Bush for -7 yards (tackle by Perry Riley),0.940,-1.240
1,3:59,2,27,MIA 23,0,7,"Matt Moore sacked by Ryan Kerrigan for -7 yards. Marlon Moore fumbles (forced by Ryan Kerrigan), recovered by Richie Incognito at MIA-19",-1.240,-2.590
1,3:11,3,31,MIA 19,0,7,Matt Moore pass incomplete deep right intended for Davone Bess is intercepted by Kevin Barnes at MIA-35 and returned for 30 yards,-2.590,-6.060
1,2:58,1,5,MIA 5,0,7,Ryan Torain up the middle for 2 yards (tackle by Karlos Dansby),6.060,5.530
1,2:22,2,3,MIA 3,0,7,Ryan Torain up the middle for 2 yards (tackle by Kevin Burnett and Paul Soliai),5.530,5.170
1,1:40,3,1,MIA 1,0,7,"Ryan Torain left end for 1 yard. Penalty on Logan Paulsen: Offensive Holding, 9 yards (no play)",5.170,3.130
1,1:34,,,,0,7,Timeout #1 by Washington Redskins,0.000,3.130
1,1:34,3,10,MIA 10,0,7,Rex Grossman pass complete short left to Roy Helu for 2 yards (tackle by Vontae Davis),3.130,2.950
1,0:55,4,8,MIA 8,3,7,Graham Gano 26 yard field goal good,2.950,3.000
1,,,,WAS 35,3,7,"Graham Gano kicks off 62 yards, returned by Edmond Gates for 12 yards (tackle by Lorenzo Alexander)",0.000,-0.220
1,0:43,1,10,MIA 15,3,7,Daniel Thomas right guard for 3 yards (tackle by DeAngelo Hall),-0.220,-0.280
1,0:09,2,7,MIA 18,3,7,Matt Moore pass incomplete short left intended for Davone Bess (defended by Josh Wilson),-0.280,-1.000
1,0:05,3,7,MIA 18,3,7,Matt Moore pass complete short right to Davone Bess for 13 yards (tackle by Kevin Barnes),-1.000,1.000
Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 31,3,7,Daniel Thomas left guard for 5 yards (tackle by Perry Riley),1.000,1.140
2,14:25,2,5,MIA 36,3,7,Daniel Thomas right guard for 6 yards (tackle by London Fletcher),1.140,1.730
2,13:48,1,10,MIA 42,3,7,Matt Moore pass incomplete short left intended for Charles Clay,1.730,1.190
2,13:39,2,10,MIA 42,3,7,Matt Moore pass complete short middle to Brandon Marshall for 11 yards (tackle by Reed Doughty),1.190,2.460
2,13:11,1,10,WAS 47,3,7,Matt Moore pass complete deep right to Anthony Fasano for 28 yards (tackle by Ryan Kerrigan),2.460,4.310
2,12:30,1,10,WAS 19,3,7,Daniel Thomas up the middle for no gain (tackle by LaRon Landry),4.310,3.750
2,11:53,2,10,WAS 19,3,7,"Matt Moore pass incomplete short right intended for Daniel Thomas. Penalty on Ryan Kerrigan: Personal Foul, 9 yards (no play)",3.750,4.910
2,11:46,1,10,WAS 10,3,7,Matt Moore pass complete short left to Reggie Bush for 1 yard (tackle by LaRon Landry),4.910,4.380
2,11:14,2,9,WAS 9,3,7,Matt Moore pass complete short right to Reggie Bush for 6 yards (tackle by Reed Doughty),4.380,4.720
2,10:36,3,3,WAS 3,3,7,Matt Moore pass incomplete short left intended for Brandon Marshall,4.720,3.040
2,10:31,4,3,WAS 3,3,10,Dan Carpenter 21 yard field goal good,3.040,3.000
2,,,,MIA 35,3,10,"Dan Carpenter kicks off 65 yards, touchback",0.000,0.280
2,10:27,1,10,WAS 20,3,10,Rex Grossman pass incomplete deep left intended for Fred Davis (defended by Kevin Burnett),0.280,-0.270
2,10:18,2,10,WAS 20,3,10,Ryan Torain right guard for 4 yards (tackle by Karlos Dansby),-0.270,-0.430
2,9:35,3,6,WAS 24,3,10,Rex Grossman pass complete short left to David Anderson for 14 yards (tackle by Reshad Jones),-0.430,1.470
2,8:56,1,10,WAS 38,3,10,Ryan Torain left tackle for 1 yard (tackle by Vontae Davis and Randy Starks),1.470,1.060
2,8:18,2,9,WAS 39,3,10,Rex Grossman pass complete short middle to Logan Paulsen for 16 yards (tackle by Sean Smith and Karlos Dansby),1.060,2.590
2,7:52,1,10,MIA 45,3,10,Ryan Torain left tackle for 4 yards (tackle by Karlos Dansby),2.590,2.580
2,7:10,2,6,MIA 41,3,10,Ryan Torain right guard for no gain (tackle by Kevin Burnett),2.580,1.880
2,6:30,3,6,MIA 41,3,10,Rex Grossman pass incomplete deep left intended for Leonard Hankerson is intercepted by Vontae Davis at MIA-25 and returned for 28 yards (tackle by Maurice Hurt),1.880,-2.460
2,6:17,1,10,WAS 47,3,10,Reggie Bush right guard for 3 yards (tackle by Chris Neild),2.460,2.320
2,5:37,2,7,WAS 44,3,10,Reggie Bush left end for 1 yard (tackle by Perry Riley),2.320,1.750
2,5:00,3,6,WAS 43,3,10,Matt Moore pass complete short right to Brandon Marshall for 15 yards (tackle by London Fletcher),1.750,3.710
2,4:18,1,10,WAS 28,3,10,Reggie Bush left guard for -3 yards (tackle by London Fletcher),3.710,2.760
2,3:42,2,13,WAS 31,3,10,Matt Moore pass incomplete short right intended for Reggie Bush (defended by Barry Cofield),2.760,2.080
2,3:35,3,13,WAS 31,3,10,Matt Moore pass incomplete deep middle intended for Anthony Fasano,2.080,1.320
2,3:29,4,13,WAS 31,3,10,Dan Carpenter 49 yard field goal no good,1.320,-1.530
