Unnamed: 0,CLE,BAL
First Downs,24,18
Rush-Yds-TDs,36-178-1,24-106-2
Cmp-Att-Yd-TD-INT,20-35-213-1-1,13-23-223-1-2
Sacked-Yards,4-18,3-23
Net Pass Yards,195,200
Total Yards,373,306
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,10-55,7-64
Third Down Conv.,8-16,2-8
Fourth Down Conv.,1-2,0-0
Time of Possession,34:15,25:45
