Quarter,Time,Tm,Detail,CLE,BAL
1.0,14:20,Ravens,Kyle Hamilton 18 yard interception return (Justin Tucker kick),0,7
,10:13,Ravens,Keaton Mitchell 39 yard rush (Justin Tucker kick),0,14
,7:27,Browns,Dustin Hopkins 36 yard field goal,3,14
,3:29,Ravens,Justin Tucker 37 yard field goal,3,17
2.0,7:30,Browns,Dustin Hopkins 28 yard field goal,6,17
,1:02,Browns,Dustin Hopkins 23 yard field goal,9,17
3.0,12:29,Ravens,Odell Beckham Jr. 40 yard pass from Lamar Jackson (Justin Tucker kick),9,24
,2:20,Browns,Kareem Hunt 3 yard rush (Deshaun Watson run),17,24
4.0,11:34,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),17,31
,8:57,Browns,Elijah Moore 10 yard pass from Deshaun Watson (Dustin Hopkins kick),24,31
,8:16,Browns,Greg Newsome II 34 yard interception return (Dustin Hopkins kick failed),30,31
,0:00,Browns,Dustin Hopkins 40 yard field goal,33,31
