Quarter,Time,Tm,Detail,SEA,ARI
1.0,0:20,Seahawks,Justin Forsett 11 yard rush (Olindo Mare kick),7,0
2.0,8:29,Seahawks,John Carlson 31 yard pass from Matt Hasselbeck (Olindo Mare kick),14,0
,5:30,Cardinals,Steve Breaston 28 yard pass from Kurt Warner (Neil Rackers kick),14,7
,1:09,Seahawks,Olindo Mare 32 yard field goal,17,7
,0:00,Cardinals,Neil Rackers 27 yard field goal,17,10
3.0,8:13,Cardinals,Beanie Wells 10 yard rush (Neil Rackers kick),17,17
4.0,13:02,Seahawks,Olindo Mare 20 yard field goal,20,17
,11:20,Cardinals,Beanie Wells 13 yard rush (Neil Rackers kick),20,24
,6:11,Cardinals,Larry Fitzgerald 18 yard pass from Kurt Warner (Neil Rackers kick),20,31
