Unnamed: 0,SEA,ARI
First Downs,29,22
Rush-Yds-TDs,24-164-1,30-122-2
Cmp-Att-Yd-TD-INT,27-53-331-1-2,29-38-340-2-0
Sacked-Yards,4-23,0-0
Net Pass Yards,308,340
Total Yards,472,462
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,9-113,11-136
Third Down Conv.,6-15,2-12
Fourth Down Conv.,0-0,1-2
Time of Possession,28:30,31:30
