Unnamed: 0,ARI,STL
First Downs,16,12
Rush-Yds-TDs,38-268-1,22-86-0
Cmp-Att-Yd-TD-INT,12-23-114-0-2,17-32-203-1-0
Sacked-Yards,3-8,2-17
Net Pass Yards,106,186
Total Yards,374,272
Fumbles-Lost,2-1,2-2
Turnovers,3,2
Penalties-Yards,4-30,8-49
Third Down Conv.,4-12,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,33:59,26:01
