Quarter,Time,Tm,Detail,ARI,STL
1.0,9:15,Rams,Nick Miller 88 yard punt return (Josh Brown kick),0,7
,0:36,Cardinals,Jay Feely 29 yard field goal,3,7
2.0,0:03,Rams,Josh Brown 35 yard field goal,3,10
3.0,9:38,Cardinals,Jay Feely 37 yard field goal,6,10
,5:54,Cardinals,Beanie Wells 7 yard rush (Jay Feely kick),13,10
,2:56,Cardinals,Patrick Peterson 80 yard punt return (Jay Feely kick),20,10
4.0,14:49,Rams,Josh Brown 48 yard field goal,20,13
,7:46,Rams,Brandon Lloyd 16 yard pass from Sam Bradford (Josh Brown kick),20,20
,4:09,Cardinals,Jay Feely 22 yard field goal,23,20
