Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 71 yards, touchback",0.000,0.280
1,15:00,1,10,STL 20,0,0,Steven Jackson up the middle for 1 yard (tackle by Richard Marshall),0.280,-0.130
1,14:26,2,9,STL 21,0,0,Steven Jackson right tackle for 19 yards (tackle by Rashad Johnson),-0.130,1.600
1,13:52,1,10,STL 40,0,0,Steven Jackson left tackle for 1 yard (tackle by Paris Lenon),1.600,1.190
1,13:11,2,9,STL 41,0,0,Steven Jackson right end for no gain (tackle by Daryl Washington),1.190,0.500
1,12:38,3,9,STL 41,0,0,Steven Jackson up the middle for -1 yards (tackle by Calais Campbell),0.500,-0.720
1,12:01,4,10,STL 40,0,0,Donnie Jones punts 33 yards,-0.720,-0.740
1,11:52,1,10,ARI 27,0,0,Chris Wells right end for 6 yards (tackle by Justin King),0.740,1.010
1,11:19,2,4,ARI 33,0,0,Chris Wells right end for 6 yards (tackle by James Laurinaitis),1.010,1.530
1,10:56,1,10,ARI 39,0,0,Chester Taylor left end for 1 yard (tackle by Fred Robbins),1.530,1.120
1,10:09,2,9,ARI 40,0,0,John Skelton pass incomplete short right intended for Larry Fitzgerald,1.120,0.430
1,10:03,3,9,ARI 40,0,0,John Skelton sacked by Darian Stewart for -7 yards,0.430,-1.180
1,9:27,4,16,ARI 33,0,6,"Dave Zastudil punts 55 yards, returned by Nick Miller for 88 yards, touchdown",-1.180,-7.000
1,,,,ARI 2,0,7,Josh Brown kicks extra point good,0.000,0.000
1,,,,STL 35,0,7,"Josh Brown kicks off 70 yards, returned by LaRod Stephens-Howling for 26 yards (tackle by Dominique Curry)",0.000,0.340
1,9:10,1,10,ARI 21,0,7,John Skelton pass complete short left to Andre Roberts for 9 yards (tackle by Justin King),0.340,1.020
1,8:33,2,1,ARI 30,0,7,Chris Wells right tackle for 4 yards (tackle by James Hall),1.020,1.200
1,7:57,1,10,ARI 34,0,7,John Skelton pass incomplete deep left intended for Larry Fitzgerald is intercepted by Roderick Hood at STL-42 and returned for 27 yards (tackle by Anthony Sherman),1.200,-3.510
1,7:42,1,10,ARI 31,0,7,Brandon Lloyd pass incomplete deep right intended for Brandon Gibson,3.510,2.970
1,7:39,2,10,ARI 31,0,7,Steven Jackson left guard for 3 yards (tackle by Paris Lenon),2.970,2.680
1,7:00,3,7,ARI 28,0,7,Sam Bradford pass complete short right to Brandon Lloyd for 12 yards (tackle by Patrick Peterson),2.680,4.510
1,6:29,1,10,ARI 16,0,7,"Sam Bradford sacked by Sam Acho for -8 yards. Sam Bradford fumbles (forced by Sam Acho), recovered by Paris Lenon at ARI-24 (tackle by Harvey Dahl)",4.510,-0.540
1,6:13,1,10,ARI 24,0,7,Chris Wells right tackle for 2 yards (tackle by James Hall),0.540,0.270
1,5:41,2,8,ARI 26,0,7,"Patrick Peterson for no gain. Patrick Peterson fumbles, recovered by Patrick Peterson at ARI-25",0.270,-0.560
1,5:06,3,9,ARI 25,0,7,John Skelton pass complete short left to Chester Taylor for -1 yards (tackle by Darian Stewart),-0.560,-1.770
1,4:24,4,10,ARI 24,0,7,Dave Zastudil punts 51 yards,-1.770,-0.610
1,4:20,1,10,STL 25,0,7,"Penalty on Jason Brown: False Start, 5 yards (no play)",0.610,0.280
1,4:20,1,15,STL 20,0,7,Steven Jackson left tackle for 5 yards (tackle by Calais Campbell),0.280,0.060
1,3:47,2,10,STL 25,0,7,Sam Bradford pass complete short middle to Steven Jackson for 6 yards (tackle by Paris Lenon),0.060,0.170
1,3:12,3,4,STL 31,0,7,Sam Bradford pass incomplete short right intended for Stephen Spach,0.170,-1.310
1,3:06,4,4,STL 31,0,7,"Donnie Jones punts 49 yards, returned by Patrick Peterson for -1 yards (tackle by Dominique Curry)",-1.310,-0.150
1,2:55,1,10,ARI 19,0,7,John Skelton sacked by Chris Long for -1 yards,0.150,-0.560
1,2:20,2,11,ARI 18,0,7,Chris Wells left tackle for 71 yards (tackle by Josh Gordy),-0.560,4.840
1,1:30,1,10,STL 11,0,7,John Skelton pass incomplete short right intended for Larry Fitzgerald,4.840,4.140
1,1:25,2,10,STL 11,0,7,Chester Taylor left tackle for no gain (tackle by Fred Robbins and Chris Chamberlain),4.140,3.130
1,0:45,3,10,STL 11,0,7,John Skelton pass incomplete short right intended for Andre Roberts,3.130,2.700
1,0:39,4,10,STL 11,3,7,Jay Feely 29 yard field goal good,2.700,3.000
1,,,,ARI 35,3,7,"Jay Feely kicks off 70 yards, returned by Quinn Porter for 29 yards (tackle by Stewart Bradley)",0.000,0.540
1,0:30,1,10,STL 24,3,7,Steven Jackson up the middle for 2 yards (tackle by Calais Campbell),0.540,0.270
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,STL 26,3,7,"Sam Bradford pass complete short left to Brandon Lloyd for 10 yards (tackle by Patrick Peterson). Penalty on Harvey Dahl: Illegal Formation, 5 yards (no play)",0.270,-0.410
2,14:56,2,13,STL 21,3,7,Steven Jackson left tackle for 4 yards (tackle by Paris Lenon),-0.410,-0.560
2,14:13,3,9,STL 25,3,7,Sam Bradford pass incomplete short left intended for Brandon Gibson,-0.560,-1.700
2,14:09,4,9,STL 25,3,7,"Donnie Jones punts 53 yards, returned by Patrick Peterson for no gain. Penalty on Michael Adams: Offensive Holding, 10 yards",-1.700,0.350
2,13:59,1,10,ARI 12,3,7,Chris Wells left tackle for 6 yards (tackle by Gary Gibson),-0.350,-0.070
2,13:23,2,4,ARI 18,3,7,John Skelton pass complete short middle to Jeff King for 10 yards (tackle by Darian Stewart),-0.070,0.810
2,12:43,1,10,ARI 28,3,7,John Skelton pass complete short right to Andre Roberts for 5 yards (tackle by Justin King),0.810,0.940
2,12:11,2,5,ARI 33,3,7,Chris Wells right tackle for 12 yards (tackle by Darian Stewart),0.940,1.930
2,11:31,1,10,ARI 45,3,7,Alfonso Smith right tackle for 8 yards (tackle by James Laurinaitis and Darian Stewart),1.930,2.460
2,10:49,2,2,STL 47,3,7,John Skelton pass incomplete short middle intended for Anthony Sherman,2.460,1.750
2,10:43,3,2,STL 47,3,7,John Skelton pass incomplete short left intended for Jeff King,1.750,0.130
2,10:40,4,2,STL 47,3,7,"Dave Zastudil punts 37 yards, fair catch by Nick Miller",0.130,0.380
2,10:32,1,10,STL 10,3,7,Steven Jackson left tackle for 7 yards (tackle by O'Brien Schofield),-0.380,-0.090
2,9:58,2,3,STL 17,3,7,Steven Jackson left tackle for 4 yards (tackle by Paris Lenon and Vonnie Holliday),-0.090,0.340
2,9:24,1,10,STL 21,3,7,Sam Bradford pass incomplete short right intended for Brandon Lloyd,0.340,-0.200
2,9:16,2,10,STL 21,3,7,"Penalty on Brandon Lloyd: False Start, 5 yards (no play)",-0.200,-1.010
2,9:16,2,15,STL 16,3,7,Sam Bradford pass complete short right to Steven Jackson for 1 yard (tackle by Daryl Washington),-1.010,-1.590
2,8:35,3,14,STL 17,3,7,Sam Bradford pass complete short left to Steven Jackson for 7 yards (tackle by Daryl Washington),-1.590,-1.770
2,8:00,4,7,STL 24,3,7,"Donnie Jones punts 57 yards, returned by Patrick Peterson for 16 yards (tackle by James Butler)",-1.770,-1.270
2,7:50,1,10,ARI 35,3,7,John Skelton pass complete short left to Anthony Sherman for 4 yards (tackle by Chris Chamberlain),1.270,1.260
2,7:17,2,6,ARI 39,3,7,Chris Wells left tackle for 10 yards (tackle by James Laurinaitis),1.260,2.190
