Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
1,6:36,1,10,GNB 41,0,7,Jarious Jackson pass incomplete intended for Nate Jackson (defended by Al Harris),2.850,2.310
1,6:30,2,10,GNB 41,0,7,Quentin Griffin right guard for 2 yards (tackle by Hannibal Navies and Darren Sharper),2.310,1.880
1,5:50,3,8,GNB 39,0,7,Jarious Jackson pass incomplete intended for Dwayne Carswell,1.880,0.660
1,5:45,4,8,GNB 39,0,7,"Micah Knorr punts 39 yards, touchback",0.660,-0.280
1,5:37,1,10,GNB 20,0,7,Ahman Green left end for 3 yards (tackle by Al Wilson),0.280,0.140
1,5:04,2,7,GNB 23,0,7,Ahman Green left end for 3 yards (tackle by Monsanto Pope),0.140,-0.160
1,4:25,3,4,GNB 26,0,7,Brett Favre pass incomplete intended for Antonio Freeman,-0.160,-1.630
1,4:21,4,4,GNB 26,0,7,"Josh Bidwell punts 33 yards, returned by Deltha O'Neal for 9 yards (tackle by Najeh Davenport). Penalty on Willie Middlebrooks: Offensive Holding, 10 yards",-1.630,-1.070
1,4:13,1,10,DEN 32,0,7,"Penalty on Patrick Hape: False Start, 5 yards (no play)",1.070,0.740
1,4:13,1,15,DEN 27,0,7,Quentin Griffin right tackle for 2 yards (tackle by Cletidus Hunt and Grady Jackson),0.740,0.120
1,3:35,2,13,DEN 29,0,7,Jarious Jackson right end for 9 yards (tackle by Michael Hawthorne),0.120,0.630
1,2:46,3,4,DEN 38,0,7,Jarious Jackson pass incomplete intended for Ed McCaffrey,0.630,-0.850
1,2:43,4,4,DEN 38,0,7,"Micah Knorr punts 38 yards, returned by Antonio Chatman for 15 yards (tackle by Mike Anderson)",-0.850,-1.530
1,2:30,1,10,GNB 39,0,7,Ahman Green right guard for 6 yards (tackle by Donnie Spragan),1.530,1.800
1,1:55,2,4,GNB 45,0,7,Brett Favre pass incomplete intended for Wesley Walls,1.800,1.090
1,1:50,3,4,GNB 45,0,7,Brett Favre pass complete to Wesley Walls for 3 yards (tackle by Lenny Walls),1.090,-0.190
1,1:10,4,1,GNB 48,0,7,Josh Bidwell punts 48 yards,-0.190,0.380
1,0:59,1,10,DEN 4,0,7,Quentin Griffin left tackle for 2 yards (tackle by Grady Jackson and Nick Barnett),-0.380,-0.630
1,0:19,2,8,DEN 6,0,7,Jarious Jackson pass complete to Ed McCaffrey for 16 yards (tackle by Darren Sharper),-0.630,0.410
Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 22,0,7,Jarious Jackson pass incomplete intended for Charlie Adams,0.410,-0.130
2,14:51,2,10,DEN 22,0,7,Quentin Griffin left end for 4 yards (tackle by Nick Barnett and Larry Smith),-0.130,-0.290
2,14:10,3,6,DEN 26,0,7,Jarious Jackson pass complete to Ed McCaffrey for 11 yards (tackle by Darren Sharper),-0.290,1.400
2,13:27,1,10,DEN 37,0,7,Quentin Griffin up the middle for no gain (tackle by Hannibal Navies),1.400,0.860
2,12:46,2,10,DEN 37,0,7,Jarious Jackson pass complete to Ed McCaffrey for 2 yards (tackle by Michael Hawthorne),0.860,0.430
2,12:03,3,8,DEN 39,0,7,Jarious Jackson pass incomplete intended for Nate Jackson is intercepted by Al Harris at GNB-40 and returned for 33 yards (tackle by Jarious Jackson),0.430,-3.780
2,11:49,1,10,DEN 27,0,7,Brett Favre pass incomplete intended for Wesley Walls is intercepted by Sam Brandon,3.780,-0.280
2,11:42,1,10,DEN 20,0,7,Quentin Griffin right tackle for -1 yards (tackle by Grady Jackson),0.280,-0.460
2,11:04,2,11,DEN 19,0,7,Quentin Griffin right tackle for 5 yards (tackle by Nick Barnett and Hannibal Navies),-0.460,-0.430
2,10:21,3,6,DEN 24,0,7,Danny Kanell pass incomplete intended for Ashley Lelie,-0.430,-1.770
2,10:17,4,6,DEN 24,0,7,"Micah Knorr punts 35 yards, returned by Antonio Chatman for 12 yards (tackle by Keith Burns)",-1.770,-2.460
2,10:08,1,10,DEN 47,0,7,Ahman Green right tackle for 5 yards (tackle by Jashon Sykes and Sam Brandon),2.460,2.590
2,9:25,2,5,DEN 42,0,7,Ahman Green left end for 2 yards (tackle by Trevor Pryce and Sam Brandon),2.590,2.150
2,8:40,3,3,DEN 40,0,7,Tony Fisher left end for 6 yards (tackle by Mario Fatafehi),2.150,3.310
2,7:59,1,10,DEN 34,0,7,Brett Favre pass incomplete intended for Donald Driver (defended by Reggie Hayward),3.310,2.770
2,7:53,2,10,DEN 34,0,7,Ahman Green left end for 9 yards (tackle by Jashon Sykes),2.770,3.270
2,7:17,3,1,DEN 25,0,7,Najeh Davenport up the middle for 5 yards (tackle by Jashon Sykes and Willie Middlebrooks),3.270,4.240
2,6:41,1,10,DEN 20,0,7,Najeh Davenport left end for 2 yards (tackle by Donnie Spragan),4.240,3.960
2,6:07,2,8,DEN 18,0,7,Ahman Green left end for 3 yards (tackle by Mario Fatafehi and Bertrand Berry),3.960,3.700
2,5:24,3,5,DEN 15,0,7,Brett Favre sacked by Reggie Hayward for 0 yards,3.700,2.490
2,4:47,4,5,DEN 15,0,10,Ryan Longwell 33 yard field goal good,2.490,3.000
2,,,,GNB 30,0,10,"Ryan Longwell kicks off 64 yards, returned by Adrian Madise for 18 yards (tackle by Najeh Davenport)",0.000,0.540
2,4:38,1,10,DEN 24,0,10,Danny Kanell pass incomplete intended for Ed McCaffrey (defended by Marques Anderson),0.540,0.000
2,4:30,2,10,DEN 24,0,10,Quentin Griffin left tackle for 3 yards (tackle by Na'il Diggs and Marques Anderson),0.000,-0.300
2,3:48,3,7,DEN 27,0,10,Danny Kanell pass complete to Quentin Griffin for 4 yards (tackle by Larry Smith),-0.300,-1.310
2,3:06,4,3,DEN 31,0,10,"Micah Knorr punts 39 yards, fair catch by Antonio Chatman",-1.310,-0.940
2,3:00,1,10,GNB 30,0,10,Ahman Green right end for 2 yards (tackle by Donnie Spragan and Kenoy Kennedy),0.940,0.660
2,2:28,2,8,GNB 32,0,10,Ahman Green left tackle for 2 yards (tackle by Bertrand Berry),0.660,0.230
2,2:00,3,6,GNB 34,0,10,Brett Favre pass complete to Javon Walker for 15 yards (tackle by Kenoy Kennedy),0.230,2.190
2,1:40,1,10,GNB 49,0,10,Brett Favre pass complete to Tony Fisher for 4 yards (tackle by Lenny Walls),2.190,2.190
2,1:36,2,6,DEN 47,0,10,Brett Favre pass incomplete intended for Antonio Freeman,2.190,1.490
2,1:32,3,6,DEN 47,0,10,"Brett Favre pass incomplete intended for Antonio Freeman. Penalty on Jimmy Spencer: Defensive Holding, 5 yards (no play)",1.490,2.790
2,1:27,1,10,DEN 42,0,10,Brett Favre pass incomplete intended for Javon Walker,2.790,2.240
2,1:22,2,10,DEN 42,0,10,Brett Favre pass incomplete intended for Ahman Green,2.240,1.550
2,1:17,3,10,DEN 42,0,10,Brett Favre pass complete to Antonio Freeman for 13 yards (tackle by Willie Middlebrooks),1.550,3.640
2,1:11,,,,0,10,Timeout #1 by Green Bay Packers,0.000,3.640
2,1:11,1,10,DEN 29,0,10,Brett Favre pass incomplete intended for Tony Fisher,3.640,3.100
2,1:08,2,10,DEN 29,0,10,Tony Fisher left tackle for 7 yards (tackle by Kenoy Kennedy),3.100,3.340
2,0:42,3,3,DEN 22,0,10,Brett Favre pass incomplete intended for Bubba Franks,3.340,2.090
2,0:37,4,3,DEN 22,0,10,Ryan Longwell 40 yard field goal no good,2.090,-1.000
2,0:32,1,10,DEN 31,0,10,Danny Kanell pass complete to Jeb Putzier for 11 yards (tackle by Na'il Diggs),1.000,1.730
2,0:27,1,10,DEN 42,0,10,Danny Kanell pass complete to Jeb Putzier for 6 yards (tackle by Bhawoh Jue),1.730,2.000
2,0:21,2,4,DEN 48,0,10,Danny Kanell pass complete to Ashley Lelie for 7 yards (tackle by Marques Anderson),2.000,2.590
2,0:17,,,,0,10,Timeout #1 by Denver Broncos,0.000,2.590
2,0:17,1,10,GNB 45,0,10,Danny Kanell pass complete to Quentin Griffin for 5 yards (tackle by Al Harris),2.590,2.720
2,0:10,2,5,GNB 40,0,10,Danny Kanell pass incomplete intended for Charlie Adams,2.720,2.010
2,0:04,,,,0,10,Timeout #2 by Denver Broncos,0.000,2.010
2,0:04,3,5,GNB 40,0,10,Danny Kanell pass incomplete intended for Jeb Putzier is intercepted by Darren Sharper,2.010,0.000
Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,0,10,"Ryan Longwell kicks off 64 yards, returned by Adrian Madise for 25 yards (tackle by Michael Hawthorne)",0.000,1.000
3,14:54,1,10,DEN 31,0,10,Quentin Griffin right end for 4 yards (tackle by Hannibal Navies and Nick Barnett),1.000,1.000
3,14:18,2,6,DEN 35,0,10,Quentin Griffin left end for -1 yards (tackle by Cletidus Hunt and Aaron Kampman),1.000,0.170
3,13:36,3,7,DEN 34,0,10,Quentin Griffin right end for 11 yards (tackle by Marques Anderson). Penalty on Cletidus Hunt: Defensive Offside (Declined),0.170,1.930
3,13:20,1,10,DEN 45,0,10,Cecil Sapp right guard for 4 yards (tackle by Nick Barnett and Grady Jackson),1.930,1.920
3,12:39,2,6,DEN 49,0,10,Cecil Sapp left guard for 1 yard (tackle by Grady Jackson),1.920,1.360
3,12:01,3,5,GNB 50,0,10,Danny Kanell pass incomplete intended for Ashley Lelie (defended by Michael Hawthorne),1.360,-0.060
3,11:56,4,5,GNB 50,0,10,"Micah Knorr punts 40 yards, fair catch by Antonio Chatman",-0.060,0.380
3,11:49,1,10,GNB 10,0,10,Ahman Green left tackle for 4 yards (tackle by Jashon Sykes),-0.380,-0.460
3,11:17,2,6,GNB 14,0,10,Ahman Green up the middle for 4 yards (tackle by Bertrand Berry),-0.460,-0.480
3,10:35,3,2,GNB 18,0,10,Ahman Green left tackle for 11 yards (tackle by Mario Fatafehi and Sam Brandon),-0.480,0.870
3,9:58,1,10,GNB 29,0,10,Brett Favre sacked by Monsanto Pope for -14 yards,0.870,-1.710
3,9:32,2,24,GNB 15,0,10,Brett Favre for 4 yards (tackle by Mario Fatafehi),-1.710,-1.790
3,8:54,3,20,GNB 19,0,10,Brett Favre pass complete to Tony Fisher for 10 yards (tackle by Donnie Spragan),-1.790,-1.440
3,8:24,4,10,GNB 29,0,10,Josh Bidwell punts 46 yards (tackle by Marcus Wilkins),-1.440,-2.390
3,8:06,1,10,GNB 48,0,10,Danny Kanell pass complete to Jeb Putzier for 13 yards (tackle by Darren Sharper),2.390,3.250
3,7:35,1,10,GNB 35,0,10,"Danny Kanell pass incomplete intended for Jeb Putzier. Penalty on Michael Hawthorne: Illegal Use of Hands, 5 yards (no play)",3.250,3.580
3,7:32,1,10,GNB 30,0,10,Quentin Griffin right end for 1 yard (tackle by Hannibal Navies and Darren Sharper),3.580,3.170
3,6:53,2,9,GNB 29,0,10,Danny Kanell pass complete to Ashley Lelie for 6 yards (tackle by Na'il Diggs),3.170,3.270
3,6:05,3,3,GNB 23,0,10,Danny Kanell pass complete to Jeb Putzier for 4 yards (tackle by Nick Barnett),3.270,4.310
3,5:26,1,10,GNB 19,0,10,Quentin Griffin right end for 1 yard (tackle by Hannibal Navies and Larry Smith),4.310,3.880
3,4:46,2,9,GNB 18,0,10,Danny Kanell pass incomplete intended for Quentin Griffin,3.880,3.140
3,4:41,3,9,GNB 18,0,10,Danny Kanell pass complete to Adrian Madise for 5 yards (tackle by Nick Barnett),3.140,2.640
3,4:03,4,4,GNB 13,3,10,Jason Elam 31 yard field goal good,2.640,3.000
3,,,,DEN 30,3,10,"Micah Knorr kicks off 59 yards, returned by Najeh Davenport for 20 yards (tackle by Johnny Rutledge)",0.000,1.000
3,3:55,1,10,GNB 31,3,10,Brett Favre pass complete to Javon Walker for 15 yards (tackle by Lenny Walls),1.000,1.990
3,3:15,1,10,GNB 46,3,10,Ahman Green right end for 47 yards (tackle by Lenny Walls),1.990,5.600
3,2:23,1,7,DEN 7,3,10,Najeh Davenport up the middle for 5 yards (tackle by Reggie Hayward and Jashon Sykes),5.600,5.720
3,1:40,2,2,DEN 2,3,16,"Ahman Green left end for 2 yards, touchdown",5.720,7.000
3,,,,DEN 2,3,17,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,GNB 30,3,17,"Ryan Longwell kicks off 65 yards, returned by Adrian Madise for 83 yards (tackle by Michael Hawthorne)",0.000,4.780
3,1:24,1,10,GNB 12,3,17,Quentin Griffin left tackle for 4 yards (tackle by Na'il Diggs and Marques Anderson),4.780,4.830
3,0:48,2,6,GNB 8,3,17,"Quentin Griffin right end for 2 yards (tackle by Marques Anderson). Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",4.830,3.310
3,0:21,2,16,GNB 18,3,17,"Quentin Griffin left end for 11 yards (tackle by Darren Sharper). Penalty on Darren Sharper: Face Mask (15 Yards), 4 yards",3.310,6.510
Quarter,Time,Down,ToGo,Location,DEN,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,3,GNB 3,3,17,Quentin Griffin left guard for 2 yards (tackle by Paris Lenon),6.510,5.910
4,14:19,2,1,GNB 1,3,17,Quentin Griffin right guard for no gain (tackle by Grady Jackson and Cletidus Hunt),5.910,5.170
4,13:39,3,1,GNB 1,3,17,Danny Kanell pass incomplete intended for Patrick Hape,5.170,3.550
4,13:35,,,,3,17,Timeout #1 by Denver Broncos,0.000,3.550
4,13:35,4,1,GNB 1,3,17,Danny Kanell pass incomplete intended for Charlie Adams,3.550,0.380
4,13:31,1,10,GNB 2,3,23,"Ahman Green right guard for 98 yards, touchdown",-0.380,7.000
4,,,,DEN 2,3,24,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,GNB 30,3,30,"Ryan Longwell kicks off 65 yards, returned by Adrian Madise for -5 yards (tackle by James Whitley). Adrian Madise fumbles (forced by James Whitley), recovered by Marcus Wilkins at DEN-0, touchdown",0.000,-7.000
4,,,,DEN 2,3,31,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,GNB 30,3,31,Ryan Longwell kicks off 42 yards,0.000,0.810
4,13:08,1,10,DEN 28,3,31,Quentin Griffin left end for 2 yards (tackle by Aaron Kampman),0.810,0.530
4,12:32,2,8,DEN 30,3,31,Danny Kanell pass incomplete (defended by Kenny Peterson),0.530,-0.160
4,12:27,3,8,DEN 30,3,31,Quentin Griffin left guard for 6 yards (tackle by Larry Smith),-0.160,-0.980
4,11:43,4,2,DEN 36,3,31,"Micah Knorr punts 44 yards, returned by Antonio Chatman for 15 yards (tackle by Kenoy Kennedy)",-0.980,-1.270
4,11:31,1,10,GNB 35,3,31,Najeh Davenport up the middle for 2 yards (tackle by Jashon Sykes and Dorsett Davis),1.270,0.990
4,10:47,2,8,GNB 37,3,31,Najeh Davenport right tackle for 1 yard (tackle by Reggie Hayward and Mario Fatafehi),0.990,0.430
4,10:09,3,7,GNB 38,3,31,Doug Pederson pass complete to Tony Fisher for 2 yards (tackle by Mario Fatafehi),0.430,-0.720
4,9:27,4,5,GNB 40,3,31,"Josh Bidwell punts 39 yards, fair catch by Deltha O'Neal",-0.720,-0.340
4,9:20,1,10,DEN 21,3,31,Cecil Sapp left tackle for 1 yard (tackle by Aaron Kampman and Hannibal Navies),0.340,-0.070
4,8:35,2,9,DEN 22,3,31,Cecil Sapp left end for 4 yards (tackle by Paris Lenon and Curtis Fuller),-0.070,-0.230
4,7:53,3,5,DEN 26,3,31,Cecil Sapp left tackle for 2 yards (tackle by Paris Lenon),-0.230,-1.500
4,7:15,4,3,DEN 28,3,31,Micah Knorr punts 62 yards,-1.500,0.380
4,7:03,1,10,GNB 10,3,31,Nick Luchey up the middle for 3 yards (tackle by Jashon Sykes and Keith Burns),-0.380,-0.560
4,6:21,2,7,GNB 13,3,31,Najeh Davenport right tackle for -1 yards (tackle by Reggie Hayward),-0.560,-1.190
4,5:40,3,8,GNB 12,3,31,Tony Fisher left end for 4 yards (tackle by Sam Brandon),-1.190,-2.390
4,4:56,4,4,GNB 16,3,31,"Josh Bidwell punts 37 yards, returned by Deltha O'Neal for 9 yards (tackle by James Whitley)",-2.390,-2.650
4,4:44,1,10,GNB 44,3,31,Cecil Sapp up the middle for 3 yards (tackle by Marques Anderson),2.650,2.520
4,4:03,2,7,GNB 41,3,31,Cecil Sapp right guard for 5 yards (tackle by Torrance Marshall and Marques Anderson),2.520,2.480
4,3:28,3,2,GNB 36,3,31,"Cecil Sapp up the middle for 4 yards (tackle by Hannibal Navies). Penalty on Chukie Nwokorie: Unnecessary Roughness, 15 yards",2.480,4.440
4,3:20,1,10,GNB 17,3,31,Cecil Sapp right tackle for 1 yard (tackle by Kenny Peterson and Larry Smith),4.440,4.000
4,2:39,2,9,GNB 16,3,31,Cecil Sapp right tackle for no gain (tackle by Torrance Marshall),4.000,3.190
4,2:00,3,9,GNB 16,3,31,Cecil Sapp left guard for 5 yards (tackle by Chukie Nwokorie and Paris Lenon),3.190,2.770
4,1:15,4,4,GNB 11,3,31,Cecil Sapp right guard for 1 yard (tackle by Kenny Peterson and Chukie Nwokorie),2.770,0.370
4,1:15,1,10,GNB 11,3,31,Doug Pederson up the middle for -1 yards,-0.370,-0.850
4,0:36,2,11,GNB 10,3,31,Doug Pederson up the middle for no gain,-0.850,-1.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
