Quarter,Time,Tm,Detail,DEN,GNB
1.0,8:49,Packers,Bubba Franks 2 yard pass from Brett Favre (Ryan Longwell kick),0,7
2.0,4:43,Packers,Ryan Longwell 33 yard field goal,0,10
3.0,4:00,Broncos,Jason Elam 31 yard field goal,3,10
,1:35,Packers,Ahman Green 2 yard rush (Ryan Longwell kick),3,17
4.0,13:18,Packers,Ahman Green 98 yard rush (Ryan Longwell kick),3,24
,13:10,Packers,Marcus Wilkins fumble recovery in end zone (Ryan Longwell kick),3,31
