Unnamed: 0,MIA,PIT
First Downs,9,13
Rush-Yds-TDs,23-49-0,29-84-0
Cmp-Att-Yd-TD-INT,14-24-132-0-0,18-21-165-0-1
Sacked-Yards,4-22,5-33
Net Pass Yards,110,132
Total Yards,159,216
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,4-19,3-30
Third Down Conv.,3-12,4-12
Fourth Down Conv.,0-2,0-1
Time of Possession,25:46,34:14
