Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",,
1,15:00,1,10,NYJ 25,0,0,Mike White pass complete short right to Michael Carter for 9 yards (tackle by Logan Wilson),,
1,14:19,2,1,NYJ 34,0,0,"Mike White pass complete short right to Denzel Mims for 17 yards (tackle by Jessie Bates). Penalty on Elijah Moore: Offensive Holding, 10 yards (accepted)",,
1,13:51,1,10,NYJ 41,0,0,Mike White pass complete short middle to Jamison Crowder for 8 yards (tackle by Germaine Pratt),,
1,13:14,2,2,NYJ 49,0,0,Mike White pass complete short middle to Tyler Kroft for 7 yards (tackle by Logan Wilson and Trey Hendrickson),,
1,12:28,1,10,CIN 44,0,0,Mike White pass complete short right to Michael Carter for 6 yards (tackle by Eli Apple),,
1,11:51,2,4,CIN 38,0,0,Ty Johnson left tackle for no gain (tackle by Trey Hendrickson and Vonn Bell),,
1,11:11,3,4,CIN 38,0,0,Michael Carter right guard for 6 yards (tackle by Akeem Davis-Gaither and Sam Hubbard),,
1,10:36,1,10,CIN 32,0,0,Mike White pass complete short right to Michael Carter for 3 yards (tackle by Logan Wilson),,
1,9:53,2,7,CIN 29,0,0,Mike White pass complete short left to Ty Johnson for 15 yards (tackle by Logan Wilson),,
1,9:06,1,10,CIN 14,0,0,"Penalty on Denzel Mims: False Start, 5 yards (accepted) (no play)",,
1,8:51,1,15,CIN 19,0,0,"Jamison Crowder pass incomplete short right intended for Jeff Smith (defended by Chidobe Awuzie). Penalty on Eli Apple: Defensive Pass Interference, 11 yards (accepted) (no play)",,
1,8:44,1,8,CIN 8,0,6,"Michael Carter left end for 8 yards, touchdown",,
1,8:38,,,CIN 15,0,7,Matt Ammendola kicks extra point good,,
1,8:38,,,NYJ 35,0,7,"Matt Ammendola kicks off 65 yards, touchback.",,
1,8:38,1,10,CIN 25,0,7,Joe Burrow pass incomplete short left intended for Ja'Marr Chase (defended by Shaq Lawson),,
1,8:35,2,10,CIN 25,0,7,Joe Burrow pass complete short left to C.J. Uzomah for 6 yards (tackle by Jarrad Davis and Brandin Echols),,
1,8:01,3,4,CIN 31,0,7,Joe Burrow pass complete short left to Tyler Boyd for 3 yards (tackle by C.J. Mosley),,
1,7:25,4,1,CIN 34,0,7,Kevin Huber punts 47 yards downed by Akeem Davis-Gaither,,
1,7:13,1,10,NYJ 19,0,7,Mike White pass complete short left to Jamison Crowder for 3 yards (tackle by Vonn Bell),,
1,6:31,2,7,NYJ 22,0,7,Michael Carter right guard for 6 yards (tackle by Trey Hendrickson),,
1,6:10,3,1,NYJ 28,0,7,Mike White up the middle for 2 yards (tackle by Sam Hubbard),,
1,5:40,1,10,NYJ 30,0,7,Mike White pass complete short left to Jamison Crowder for 6 yards (tackle by Germaine Pratt),,
1,5:03,,,,,,Timeout #1 by New York Jets,,
1,5:03,2,4,NYJ 36,0,7,Mike White pass complete short middle to Ryan Griffin for 7 yards (tackle by Logan Wilson),,
1,4:28,1,10,NYJ 43,0,7,Mike White pass complete short left to Jamison Crowder for 12 yards (tackle by Germaine Pratt),,
1,3:44,1,10,CIN 45,0,7,Mike White pass short right intended for Jamison Crowder is intercepted by Jessie Bates at CIN-34 and returned for 65 yards (tackle by Elijah Moore),,
1,3:37,1,1,NYJ 1,0,7,Joe Mixon up the middle for -1 yards (tackle by Folorunso Fatukasi and C.J. Mosley),,
1,2:58,2,2,NYJ 2,0,7,Joe Mixon left guard for -1 yards (tackle by Michael Carter and Folorunso Fatukasi),,
1,2:15,3,3,NYJ 3,0,7,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,,
1,2:09,4,3,NYJ 3,0,7,Joe Burrow sacked by Quinnen Williams for -12 yards,,
1,2:04,1,10,NYJ 15,0,7,Mike White pass complete short left to Elijah Moore for 6 yards (tackle by Chidobe Awuzie),,
1,1:23,2,4,NYJ 21,0,7,Mike White pass short middle intended for Michael Carter is intercepted by Germaine Pratt at NYJ-19 and returned for 4 yards (tackle by Connor McGovern),,
1,1:28,1,10,NYJ 15,0,7,Joe Mixon left tackle for -1 yards (tackle by C.J. Mosley and Michael Carter),,
1,0:52,2,11,NYJ 16,0,7,Joe Burrow pass complete short left to Samaje Perine for 13 yards (tackle by Jarrad Davis),,
1,0:19,1,3,NYJ 3,0,7,"Joe Burrow pass incomplete short left intended for Tee Higgins. Penalty on Brandin Echols: Defensive Holding, 2 yards (accepted) (no play)",,
