Unnamed: 0,CIN,NYJ
First Downs,18,32
Rush-Yds-TDs,16-41-1,27-97-1
Cmp-Att-Yd-TD-INT,22-35-305-3-1,39-49-422-3-2
Sacked-Yards,3-28,2-8
Net Pass Yards,277,414
Total Yards,318,511
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,5-51,8-46
Third Down Conv.,4-10,6-11
Fourth Down Conv.,0-1,0-0
Time of Possession,23:39,36:21
