Quarter,Time,Tm,Detail,CIN,NYJ
1.0,8:38,Jets,Michael Carter 8 yard rush (Matt Ammendola kick),0,7
2.0,14:57,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),7,7
,3:21,Bengals,Ja'Marr Chase 2 yard pass from Joe Burrow (Evan McPherson kick),14,7
,1:51,Bengals,Evan McPherson 21 yard field goal,17,7
,0:15,Jets,Braxton Berrios 8 yard pass from Mike White (Matt Ammendola kick),17,14
3.0,5:17,Jets,Matt Ammendola 24 yard field goal,17,17
,3:11,Bengals,Joe Mixon 8 yard pass from Joe Burrow (Evan McPherson kick),24,17
4.0,12:28,Jets,Matt Ammendola 24 yard field goal,24,20
,7:29,Bengals,Tyler Boyd 10 yard pass from Joe Burrow (Evan McPherson kick),31,20
,4:36,Jets,Ty Johnson 19 yard pass from Mike White (pass failed),31,26
,3:45,Jets,Tyler Kroft 13 yard pass from Mike White (Mike White pass from Jamison Crowder),31,34
