Quarter,Time,Tm,Detail,WAS,MIN
1.0,5:20,Vikings,Dan Bailey 50 yard field goal,0,3
2.0,14:00,Redskins,Dustin Hopkins 21 yard field goal,3,3
,7:26,Vikings,Dan Bailey 29 yard field goal,3,6
,1:57,Redskins,Dustin Hopkins 30 yard field goal,6,6
,0:07,Vikings,Dalvin Cook 4 yard rush (Dan Bailey kick),6,13
3.0,8:33,Vikings,Dan Bailey 27 yard field goal,6,16
,5:11,Redskins,Dustin Hopkins 43 yard field goal,9,16
4.0,10:36,Vikings,Dan Bailey 40 yard field goal,9,19
