Unnamed: 0,WAS,MIN
First Downs,14,22
Rush-Yds-TDs,16-85-0,38-161-1
Cmp-Att-Yd-TD-INT,15-21-163-0-1,23-26-285-0-0
Sacked-Yards,4-32,3-12
Net Pass Yards,131,273
Total Yards,216,434
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,4-46,7-74
Third Down Conv.,2-7,8-15
Fourth Down Conv.,0-0,1-3
Time of Possession,23:24,36:36
