Quarter,Time,Down,ToGo,Location,WAS,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,Dalvin Cook left tackle for 5 yards (tackle by Jeremy Reaves and Montez Sweat),0.610,0.740
1,14:22,2,5,MIN 30,0,0,Kirk Cousins pass complete short left to Stefon Diggs for 4 yards (tackle by Quinton Dunbar),0.740,0.560
1,13:51,3,1,MIN 34,0,0,Kirk Cousins right end for 2 yards (tackle by Landon Collins),0.560,1.330
1,13:15,1,10,MIN 36,0,0,Kirk Cousins pass complete short middle to Kyle Rudolph for 7 yards (tackle by Jeremy Reaves),1.330,1.740
1,12:38,2,3,MIN 43,0,0,"Kirk Cousins pass complete short right to Stefon Diggs for 32 yards (tackle by Cole Holcomb). Stefon Diggs fumbles (forced by Cole Holcomb), recovered by Ryan Anderson at WAS-25 (tackle by Garrett Bradbury)",1.740,-0.610
1,12:24,1,10,WAS 25,0,0,Case Keenum pass complete deep middle to Paul Richardson for 18 yards (tackle by Eric Kendricks),0.610,1.800
1,11:42,1,10,WAS 43,0,0,Adrian Peterson left end for 5 yards (tackle by Linval Joseph),1.800,1.930
1,11:04,2,5,WAS 48,0,0,Adrian Peterson up the middle for 4 yards (tackle by Danielle Hunter and Ben Gedeon),1.930,1.750
1,10:24,3,1,MIN 48,0,0,"Adrian Peterson right guard for 1 yard (tackle by Eric Kendricks). Penalty on Jeremy Sprinkle: Offensive Holding, 10 yards (no play)",1.750,0.430
1,9:52,3,11,WAS 42,0,0,Case Keenum pass complete short left to Wendell Smallwood for 11 yards (tackle by Xavier Rhodes),0.430,2.460
1,9:04,1,10,MIN 47,0,0,"Case Keenum sacked by Danielle Hunter for -7 yards. Case Keenum fumbles (forced by Danielle Hunter), recovered by Shamar Stephen at WAS-46 (tackle by Adrian Peterson)",2.460,-2.520
1,8:57,1,10,WAS 46,0,0,Dalvin Cook left end for -1 yards (tackle by Ryan Kerrigan),2.520,1.840
