Unnamed: 0,NOR,CAR
First Downs,27,15
Rush-Yds-TDs,37-105-3,22-109-1
Cmp-Att-Yd-TD-INT,24-34-297-1-1,10-28-151-0-1
Sacked-Yards,4-27,4-29
Net Pass Yards,270,122
Total Yards,375,231
Fumbles-Lost,3-1,1-1
Turnovers,2,2
Penalties-Yards,4-36,6-67
Third Down Conv.,7-13,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,35:18,24:42
