Quarter,Time,Tm,Detail,WAS,DAL
2,10:22,Redskins,Shaun Suisham 45 yard field goal,3,0
3,0:41,Redskins,Shaun Suisham 31 yard field goal,6,0
4,2:41,Cowboys,Patrick Crayton 10 yard pass from Tony Romo (Nick Folk kick),6,7
