Quarter,Time,Tm,Detail,CAR,NOR
1.0,6:34,Saints,Jared Cook 4 yard pass from Drew Brees (Wil Lutz kick),0,7
,1:54,Panthers,Joey Slye 43 yard field goal,3,7
2.0,12:13,Saints,Drew Brees 1 yard rush (Wil Lutz kick),3,14
,10:56,Panthers,D.J. Moore 74 yard pass from Teddy Bridgewater (Joey Slye kick),10,14
,1:37,Panthers,D.J. Moore 7 yard pass from Teddy Bridgewater (Joey Slye kick),17,14
,0:02,Saints,Deonte Harty 4 yard pass from Drew Brees (Wil Lutz kick),17,21
3.0,4:24,Saints,Wil Lutz 41 yard field goal,17,24
,0:08,Panthers,Curtis Samuel 5 yard rush (Joey Slye kick),24,24
4.0,7:55,Saints,Wil Lutz 43 yard field goal,24,27
