Unnamed: 0,CAR,NOR
First Downs,18,26
Rush-Yds-TDs,14-37-1,29-138-1
Cmp-Att-Yd-TD-INT,23-28-254-2-0,30-37-287-2-0
Sacked-Yards,1-8,1-10
Net Pass Yards,246,277
Total Yards,283,415
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,1-5,6-50
Third Down Conv.,6-9,12-14
Fourth Down Conv.,0-0,0-0
Time of Possession,25:19,34:41
