Unnamed: 0,CHI,GNB
First Downs,18,14
Rush-Yds-TDs,36-109-0,23-103-0
Cmp-Att-Yd-TD-INT,19-27-258-1-1,16-30-186-0-2
Sacked-Yards,1-6,3-22
Net Pass Yards,252,164
Total Yards,361,267
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,4-25,5-45
Third Down Conv.,4-14,1-11
Fourth Down Conv.,1-1,2-3
Time of Possession,34:05,25:55
