Quarter,Time,Tm,Detail,LAR,SFO
1.0,11:39,49ers,Deebo Samuel 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,7
2.0,14:14,49ers,George Kittle 44 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,14
,9:03,Rams,Robert Woods 10 yard pass from Jared Goff (Sam Sloman kick failed),6,14
,1:47,49ers,Brandon Aiyuk 2 yard pass from Jimmy Garoppolo (Robbie Gould kick),6,21
3.0,12:06,Rams,Sam Sloman 42 yard field goal,9,21
4.0,5:26,49ers,Robbie Gould 49 yard field goal,9,24
,3:24,Rams,Josh Reynolds 40 yard pass from Jared Goff (Sam Sloman kick),16,24
