Unnamed: 0,LAR,SFO
First Downs,17,24
Rush-Yds-TDs,19-113-0,37-122-0
Cmp-Att-Yd-TD-INT,19-38-198-2-1,23-33-268-3-0
Sacked-Yards,0-0,0-0
Net Pass Yards,198,268
Total Yards,311,390
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-34,7-63
Third Down Conv.,4-12,5-13
Fourth Down Conv.,0-1,1-1
Time of Possession,22:05,37:55
