Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"John Carney kicks off 64 yards, returned by Josh Cribbs for 20 yards (tackle by Keith Joseph)",0.000,0.670
1,14:52,1,10,CLE 26,0,0,"Charlie Frye pass complete to Braylon Edwards for 74 yards. Penalty on Kevin Shaffer: Offensive Holding, 10 yards (no play)",0.670,-0.300
1,14:40,1,20,CLE 16,0,0,Reuben Droughns right guard for no gain (tackle by Scott Shanle and Charles Grant),-0.300,-1.370
1,14:05,2,20,CLE 16,0,0,Charlie Frye sacked by Will Smith for -1 yards,-1.370,-2.450
1,13:31,3,21,CLE 15,0,0,Charlie Frye sacked by Brian Young for -8 yards,-2.450,-2.490
1,13:04,4,29,CLE 7,0,0,Dave Zastudil punts 55 yards,-2.490,-2.130
1,12:51,1,10,NOR 48,0,0,Drew Brees pass incomplete short right intended for Marques Colston (defended by Orpheus Roye),2.130,1.580
1,12:48,2,10,NOR 48,0,0,Drew Brees pass incomplete short right intended for Joe Horn,1.580,0.890
1,12:43,3,10,NOR 48,0,0,Drew Brees pass complete to Reggie Bush for 11 yards (tackle by Ralph Brown),0.890,2.850
1,12:21,1,10,CLE 41,0,0,Deuce McAllister right tackle for 5 yards (tackle by D'Qwell Jackson),2.850,2.980
1,11:47,2,5,CLE 36,0,0,Reggie Bush left end for 1 yard (tackle by Matt Stewart),2.980,2.410
1,11:20,3,4,CLE 35,0,0,Deuce McAllister right guard for 5 yards (tackle by Andra Davis and Gary Baxter),2.410,3.580
1,10:42,1,10,CLE 30,0,0,Drew Brees pass incomplete short right intended for Reggie Bush,3.580,3.030
1,10:37,2,10,CLE 30,0,0,Reggie Bush right tackle for 3 yards (tackle by Willie McGinest),3.030,2.740
1,9:56,3,7,CLE 27,0,0,Drew Brees pass complete short right to Reggie Bush for 2 yards. Penalty on NOR: Illegal Formation (Declined),2.740,1.850
1,9:42,4,5,CLE 25,3,0,John Carney 43 yard field goal good,1.850,3.000
1,,,,NOR 30,3,0,"John Carney kicks off 63 yards, returned by Josh Cribbs for 17 yards (tackle by Alfred Fincher)",0.000,0.540
1,9:30,1,10,CLE 24,3,0,Jerome Harrison left tackle for no gain (tackle by Charles Grant and Brian Young),0.540,0.000
1,8:51,2,10,CLE 24,3,0,Charlie Frye pass complete short right to Kellen Winslow for 2 yards (tackle by Scott Fujita),0.000,-0.430
1,8:09,3,8,CLE 26,3,0,Charlie Frye pass incomplete intended for Dennis Northcutt,-0.430,-1.630
1,7:59,4,8,CLE 26,3,0,"Dave Zastudil punts 54 yards, returned by Reggie Bush for -5 yards (tackle by Josh Cribbs). Penalty on D'Qwell Jackson: Ineligible Downfield Kic, 5 yards (no play)",-1.630,-1.960
1,7:45,,,,3,0,Timeout #1 by Cleveland Browns,0.000,-1.960
1,7:45,4,13,CLE 21,3,0,"Dave Zastudil punts 37 yards, returned by Reggie Bush for 13 yards (tackle by Mason Unck)",-1.960,-2.590
1,7:31,1,10,CLE 45,3,0,Mike Karney left guard for 1 yard (tackle by D'Qwell Jackson and Kamerion Wimbley),2.590,2.180
1,6:55,2,9,CLE 44,3,0,Reggie Bush right guard for 4 yards (tackle by D'Qwell Jackson and Willie McGinest),2.180,2.010
1,6:17,3,5,CLE 40,3,0,Drew Brees pass incomplete short right intended for Terrance Copper is intercepted by Sean Jones at CLE-36 and returned for 10 yards,2.010,-1.990
1,6:08,1,10,CLE 46,3,0,Charlie Frye pass complete short left to Dennis Northcutt for 8 yards (tackle by Fred Thomas),1.990,2.530
1,5:34,2,2,NOR 46,3,0,Reuben Droughns left guard for 1 yard (tackle by Hollis Thomas and Scott Fujita),2.530,1.950
1,5:01,3,1,NOR 45,3,0,Lawrence Vickers left end for no gain (tackle by Mike McKenzie and Scott Shanle),1.950,0.270
1,4:38,,,,3,0,Timeout #2 by Cleveland Browns,0.000,0.270
1,4:38,4,1,NOR 45,3,0,"Charlie Frye pass complete to Joe Jurevicius for 20 yards (tackle by Josh Bullocks). Penalty on Cosey Coleman: Offensive Holding, 10 yards (no play)",0.270,-0.390
1,4:03,4,11,CLE 45,3,0,"Dave Zastudil punts 55 yards, touchback",-0.390,-0.280
1,3:53,1,10,NOR 20,3,0,Drew Brees pass complete deep right to Marques Colston for 20 yards (tackle by Brian Russell),0.280,1.600
1,3:20,1,10,NOR 40,3,0,Reggie Bush right tackle for 4 yards (tackle by Leigh Bodden),1.600,1.590
1,2:50,2,6,NOR 44,3,0,Drew Brees pass complete short right to Marques Colston for 8 yards (tackle by Leigh Bodden),1.590,2.390
1,2:18,1,10,CLE 48,3,0,Deuce McAllister right guard for 3 yards (tackle by D'Qwell Jackson),2.390,2.250
1,1:39,2,7,CLE 45,3,0,Reggie Bush left guard for 18 yards (tackle by Leigh Bodden and Andra Davis),2.250,3.780
1,0:59,1,10,CLE 27,3,0,Deuce McAllister left guard for 6 yards (tackle by Andra Davis and D'Qwell Jackson),3.780,4.040
1,0:25,2,4,CLE 21,3,0,Drew Brees pass incomplete short right intended for Marques Colston,4.040,3.340
1,0:20,3,4,CLE 21,3,0,Drew Brees pass complete short right to Devery Henderson for 9 yards (tackle by Andra Davis and Ralph Brown),3.340,4.780
Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 12,3,0,Drew Brees pass incomplete intended for Deuce McAllister,4.780,4.100
2,14:56,2,10,CLE 12,3,0,Deuce McAllister left guard for 5 yards (tackle by Andra Davis),4.100,4.160
2,14:36,,,,3,0,Timeout #1 by New Orleans Saints,0.000,4.160
2,14:36,3,5,CLE 7,3,0,Drew Brees pass incomplete short right intended for Reggie Bush,4.160,2.980
2,14:31,4,5,CLE 7,6,0,John Carney 25 yard field goal good,2.980,3.000
2,,,,NOR 30,6,0,"John Carney kicks off 70 yards, returned by Josh Cribbs for 40 yards (tackle by Keith Joseph)",0.000,1.600
2,14:19,1,10,CLE 40,6,0,Charlie Frye pass complete short right to Kellen Winslow for 6 yards (tackle by Mike McKenzie),1.600,1.860
2,13:46,2,4,CLE 46,6,0,Reuben Droughns right guard for 1 yard (tackle by Charles Grant),1.860,1.290
2,13:04,3,3,CLE 47,6,0,Charlie Frye pass incomplete short middle intended for Dennis Northcutt is intercepted by Scott Fujita at NOR-48 and returned for 19 yards,1.290,-3.380
2,12:54,1,10,CLE 33,6,0,Deuce McAllister left guard for 5 yards (tackle by Orpheus Roye),3.380,3.510
2,12:18,2,5,CLE 28,6,0,Drew Brees pass incomplete deep right intended for Joe Horn,3.510,2.810
2,12:14,,,,6,0,Timeout #2 by New Orleans Saints,0.000,2.810
2,12:14,3,5,CLE 28,6,0,Drew Brees pass complete short left to Marques Colston for 9 yards (tackle by Leigh Bodden),2.810,4.310
2,11:36,1,10,CLE 19,6,0,Reggie Bush left end for 8 yards (tackle by Gary Baxter),4.310,5.140
2,11:07,2,2,CLE 11,6,0,Deuce McAllister left guard for 2 yards (tackle by Sean Jones),5.140,5.140
2,10:34,1,9,CLE 9,6,0,Drew Brees pass complete short right to Joe Horn for 5 yards (tackle by Gary Baxter),5.140,5.340
2,9:57,2,4,CLE 4,6,0,Reggie Bush right tackle for 2 yards (tackle by Andra Davis),5.340,4.950
2,9:13,3,2,CLE 2,6,0,Deuce McAllister right guard for -1 yards (tackle by Ted Washington),4.950,3.040
2,8:29,4,3,CLE 3,9,0,John Carney 21 yard field goal good,3.040,3.000
2,,,,NOR 30,9,0,"John Carney kicks off 70 yards, touchback",0.000,0.280
2,8:25,1,10,CLE 20,9,0,Reuben Droughns left guard for 9 yards (tackle by Josh Bullocks and Fred Thomas),0.280,0.950
2,7:49,2,1,CLE 29,9,0,Charlie Frye pass incomplete short left intended for Josh Cribbs,0.950,0.230
2,7:45,3,1,CLE 29,9,0,Lawrence Vickers right tackle for no gain (tackle by Scott Fujita),0.230,-1.440
2,7:15,4,1,CLE 29,9,0,"Dave Zastudil punts 46 yards, returned by Reggie Bush for -1 yards (tackle by Brodney Pool)",-1.440,-0.540
2,7:04,1,10,NOR 24,9,0,Deuce McAllister right tackle for 6 yards (tackle by Andra Davis and D'Qwell Jackson),0.540,0.810
2,7:04,2,4,NOR 30,9,0,"Penalty on Ernie Conwell: False Start, 5 yards (no play)",0.810,0.130
2,7:04,2,9,NOR 25,9,0,Reggie Bush right guard for 6 yards (tackle by Andra Davis),0.130,0.230
2,5:31,3,3,NOR 31,9,0,Drew Brees pass complete short right to Reggie Bush for 4 yards (tackle by Justin Hamilton),0.230,1.270
2,5:16,1,10,NOR 35,9,0,Reggie Bush right guard for no gain (tackle by Willie McGinest),1.270,0.720
2,4:42,2,10,NOR 35,9,0,Reggie Bush for 5 yards,0.720,0.700
2,4:08,3,5,NOR 40,9,0,Drew Brees pass incomplete deep right intended for Devery Henderson (defended by Ralph Brown),0.700,-0.720
2,4:03,4,5,NOR 40,9,0,"Steve Weatherford punts 49 yards, returned by Dennis Northcutt for 31 yards (tackle by Terrance Copper)",-0.720,-1.730
2,3:48,1,10,CLE 42,9,0,Reuben Droughns right tackle for 3 yards (tackle by Scott Shanle),1.730,1.590
2,3:15,2,7,CLE 45,9,0,Charlie Frye pass complete short left to Dennis Northcutt for 6 yards (tackle by Fred Thomas),1.590,1.690
2,2:33,3,1,NOR 49,9,0,Jerome Harrison right end for 14 yards (tackle by Jason Craft),1.690,3.250
2,2:00,1,10,NOR 35,9,0,Charlie Frye right end for 9 yards (tackle by Mark Simoneau),3.250,3.920
2,1:53,2,1,NOR 26,9,0,Reuben Droughns right tackle for 2 yards (tackle by Roman Harper and Will Smith),3.920,3.970
2,1:21,1,10,NOR 24,9,0,"Charlie Frye sacked by Hollis Thomas for -6 yards. Penalty on Mike McKenzie: Illegal Contact, 5 yards (no play)",3.970,4.310
2,1:14,1,10,NOR 19,9,0,Charlie Frye pass complete short middle to Kellen Winslow for 4 yards (tackle by Scott Shanle),4.310,4.350
2,0:42,2,6,NOR 15,9,0,"Charlie Frye for no gain. Charlie Frye fumbles, recovered by Brian Young at NOR-21",4.350,-0.340
2,0:36,1,10,NOR 21,9,0,Drew Brees kneels for -1 yards,0.340,-0.340
Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,9,0,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,NOR 20,9,0,Drew Brees pass incomplete short left intended for Joe Horn (defended by Leigh Bodden),0.280,-0.270
3,14:56,2,10,NOR 20,9,0,Drew Brees pass incomplete deep right intended for Joe Horn (defended by Leigh Bodden),-0.270,-0.960
3,14:56,3,10,NOR 20,9,0,Drew Brees pass complete short middle to Reggie Bush for 5 yards (tackle by Brodney Pool),-0.960,-1.700
3,14:18,4,5,NOR 25,9,0,"Steve Weatherford punts 42 yards, fair catch by Dennis Northcutt",-1.700,-1.140
3,14:09,1,10,CLE 33,9,0,Charlie Frye left end for 15 yards (tackle by Mike McKenzie),1.140,2.130
3,13:44,1,10,CLE 48,9,0,Charlie Frye pass complete short right to Kellen Winslow for 3 yards (tackle by Roman Harper),2.130,1.990
3,13:05,2,7,NOR 49,9,0,Reuben Droughns left guard for 5 yards (tackle by Mark Simoneau and Josh Bullocks),1.990,1.950
3,12:24,3,2,NOR 44,9,0,Charlie Frye pass complete short right to Braylon Edwards for 5 yards (tackle by Mike McKenzie),1.950,2.980
3,11:51,1,10,NOR 39,9,0,Reuben Droughns right guard for 2 yards (tackle by Will Smith and Hollis Thomas),2.980,2.710
3,11:12,2,8,NOR 37,9,0,Charlie Frye pass incomplete deep middle intended for Kellen Winslow,2.710,2.020
3,11:06,3,8,NOR 37,9,0,Charlie Frye right guard for 10 yards (tackle by Scott Fujita),2.020,3.780
3,10:19,1,10,NOR 27,9,0,Charlie Frye right end for 9 yards (tackle by Josh Bullocks),3.780,4.530
3,9:51,2,1,NOR 18,9,0,Terrelle Smith right guard for no gain (tackle by Rob Ninkovich and Scott Fujita),4.530,3.840
3,9:12,3,1,NOR 18,9,6,"Charlie Frye pass complete short right to Kellen Winslow for 18 yards, touchdown",3.840,7.000
3,,,,NOR 2,9,7,Phil Dawson kicks extra point good,0.000,0.000
3,,,,CLE 30,9,7,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,9:05,1,10,NOR 20,9,7,Deuce McAllister left end for 8 yards (tackle by Alvin McKinley),0.280,0.810
3,8:28,2,2,NOR 28,9,7,"Deuce McAllister left guard for 7 yards (tackle by Brian Russell). Deuce McAllister fumbles (forced by Brian Russell), recovered by Sean Jones at NOR-35 (tackle by Joe Horn)",0.810,-3.050
,,,,,,,"NOR challenged the ruling, and the play was upheld.",,
3,8:18,1,10,NOR 38,9,7,Charlie Frye sacked by Brian Young for -3 yards,3.050,2.100
3,7:45,2,13,NOR 41,9,7,Reuben Droughns left guard for -2 yards (tackle by Brian Young and Will Smith),2.100,1.160
3,7:02,3,15,NOR 43,9,7,Charlie Frye pass incomplete deep right intended for Dennis Northcutt,1.160,0.400
3,6:54,4,15,NOR 43,9,7,Dave Zastudil punts 16 yards,0.400,-0.740
3,6:46,1,10,NOR 27,9,7,Reggie Bush left tackle for 5 yards (tackle by D'Qwell Jackson and Alvin McKinley),0.740,0.870
3,6:14,2,5,NOR 32,9,7,Reggie Bush for 6 yards,0.870,1.470
3,5:48,1,10,NOR 38,9,7,Reggie Bush left guard for 6 yards (tackle by Brian Russell),1.470,1.730
3,5:06,2,4,NOR 44,9,7,Drew Brees pass incomplete short right intended for Joe Horn (defended by Leigh Bodden),1.730,1.020
3,5:00,3,4,NOR 44,9,7,Drew Brees pass complete short left to Devery Henderson for 16 yards (tackle by Brian Russell),1.020,2.920
3,4:19,1,10,CLE 40,9,7,Drew Brees pass incomplete deep left intended for Marques Colston (defended by Gary Baxter),2.920,2.370
3,4:12,2,10,CLE 40,9,7,Reggie Bush right guard for 6 yards (tackle by Alvin McKinley),2.370,2.480
3,3:34,3,4,CLE 34,9,7,Drew Brees pass complete short left to Reggie Bush for 14 yards (tackle by Brian Russell),2.480,4.240
3,2:59,1,10,CLE 20,9,7,Deuce McAllister left tackle for 7 yards (tackle by Gary Baxter and Andra Davis),4.240,4.830
3,2:40,2,3,CLE 13,9,7,Deuce McAllister right tackle for 1 yard (tackle by Willie McGinest and Ethan Kelley),4.830,4.340
3,2:06,,,,9,7,Timeout #2 by New Orleans Saints,0.000,4.340
3,2:06,3,2,CLE 12,15,7,"Drew Brees pass complete short right to Marques Colston for 12 yards, touchdown",4.340,7.000
3,,,,CLE 2,16,7,John Carney kicks extra point good,0.000,0.000
3,,,,NOR 30,16,7,"John Carney kicks off 55 yards, returned by Josh Cribbs for 11 yards (tackle by Danny Clark)",0.000,0.670
3,1:53,1,10,CLE 26,16,7,Charlie Frye pass complete short middle to Dennis Northcutt for 11 yards (tackle by Josh Bullocks),0.670,1.400
3,1:11,1,10,CLE 37,16,7,"Reuben Droughns left tackle for 5 yards (tackle by Josh Bullocks and Scott Shanle). Penalty on Dennis Northcutt: Offensive Holding, 10 yards",1.400,1.070
3,0:42,1,15,CLE 32,16,7,Charlie Frye pass complete short right to Terrelle Smith for 2 yards (tackle by Roman Harper and Mike McKenzie),1.070,0.450
3,0:04,2,13,CLE 34,16,7,Charlie Frye pass complete short right to Braylon Edwards for 18 yards (tackle by Mike McKenzie),0.450,2.390
Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NOR 48,16,7,Charlie Frye pass incomplete deep left intended for Braylon Edwards,2.390,1.850
4,14:54,2,10,NOR 48,16,7,Charlie Frye pass complete short left to Kellen Winslow for 9 yards (tackle by Roman Harper),1.850,2.340
4,14:10,,,,16,7,Timeout #1 by Cleveland Browns,0.000,2.340
4,14:10,3,1,NOR 39,16,7,Charlie Frye pass complete short middle to Steve Heiden for 7 yards (tackle by Scott Shanle and Mark Simoneau),2.340,3.450
4,13:30,1,10,NOR 32,16,7,Charlie Frye pass complete short left to Kellen Winslow for 9 yards (tackle by Fred Thomas),3.450,4.120
4,13:05,2,1,NOR 23,16,7,Reuben Droughns right guard for 1 yard (tackle by Will Smith and Mark Simoneau),4.120,4.110
4,12:21,1,10,NOR 22,16,7,Charlie Frye pass incomplete short right intended for Steve Heiden,4.110,3.560
4,12:13,2,10,NOR 22,16,7,Charlie Frye pass complete short left to Dennis Northcutt for 12 yards (tackle by Josh Bullocks),3.560,4.910
4,11:39,1,10,NOR 10,16,7,Charlie Frye pass incomplete short right intended for Braylon Edwards,4.910,4.190
4,11:31,2,10,NOR 10,16,7,"Charlie Frye pass incomplete short right intended for Kellen Winslow. Penalty on Roman Harper: Defensive Pass Interfere, 9 yards (no play)",4.190,6.970
4,11:25,1,1,NOR 1,16,13,"Charlie Frye right end for 1 yard, touchdown. Penalty on Roman Harper: Defensive Holding (Declined)",6.970,7.000
4,,,,NOR 2,16,14,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,16,14,"Phil Dawson kicks off 69 yards, returned by Jamal Jones for 27 yards (tackle by Mason Unck)",0.000,0.810
4,11:13,1,10,NOR 28,16,14,Deuce McAllister right guard for 5 yards (tackle by Orpheus Roye and Kamerion Wimbley),0.810,0.940
4,10:38,2,5,NOR 33,16,14,Drew Brees pass complete short right to Reggie Bush for 7 yards (tackle by Leigh Bodden),0.940,1.600
4,10:06,1,10,NOR 40,16,14,Drew Brees pass complete deep left to Joe Horn for 20 yards (tackle by Gary Baxter),1.600,2.920
4,9:43,1,10,CLE 40,16,14,Reggie Bush left tackle for -7 yards (tackle by Kamerion Wimbley),2.920,1.430
4,9:02,2,17,CLE 47,16,14,Drew Brees pass complete short middle to Reggie Bush for 9 yards (tackle by Kamerion Wimbley and D'Qwell Jackson),1.430,1.950
4,8:22,3,8,CLE 38,16,14,Drew Brees pass complete deep left to Devery Henderson for 19 yards (tackle by Sean Jones),1.950,4.310
4,7:55,1,10,CLE 19,16,14,Deuce McAllister left guard for 17 yards (tackle by Leigh Bodden),4.310,6.740
4,7:08,1,2,CLE 2,16,14,Drew Brees middle for 1 yard (tackle by Ted Washington),6.740,5.910
4,6:35,2,1,CLE 1,16,14,Deuce McAllister left guard for -1 yards (tackle by Ethan Kelley and Andra Davis),5.910,4.950
4,5:48,,,,16,14,Timeout #3 by New Orleans Saints,0.000,4.950
4,5:48,3,2,CLE 2,16,14,Drew Brees pass incomplete short right intended for Marques Colston,4.950,3.250
4,5:45,4,2,CLE 2,19,14,John Carney 20 yard field goal good,3.250,3.000
4,,,,NOR 30,19,14,"John Carney kicks off 69 yards, returned by Josh Cribbs for 26 yards (tackle by Steve Gleason)",0.000,0.740
4,5:36,1,10,CLE 27,19,14,Charlie Frye sacked by Brian Young and Hollis Thomas for -10 yards,0.740,-1.290
4,5:10,2,20,CLE 17,19,14,Charlie Frye pass complete short middle to Kellen Winslow for 12 yards (tackle by Scott Fujita and Mark Simoneau),-1.290,-0.230
4,4:24,3,8,CLE 29,19,14,Charlie Frye sacked by Roman Harper for -9 yards,-0.230,-2.030
4,3:50,4,17,CLE 20,19,14,Dave Zastudil punts 56 yards,-2.030,-0.540
4,3:42,1,10,NOR 24,19,14,Deuce McAllister right guard for 5 yards (tackle by Sean Jones),0.540,0.670
4,3:00,2,5,NOR 29,19,14,Deuce McAllister right guard for 4 yards (tackle by Ted Washington),0.670,0.500
4,2:50,,,,19,14,Timeout #2 by Cleveland Browns,0.000,0.500
4,2:50,3,1,NOR 33,19,14,Deuce McAllister left guard for -2 yards (tackle by Andra Davis),0.500,-1.310
4,2:06,4,3,NOR 31,19,14,"Steve Weatherford punts 44 yards, returned by Dennis Northcutt for 10 yards (tackle by Terrence Melton). Penalty on Terrence Melton: Face Mask (15 Yards), 15 yards",-1.310,-2.260
4,1:57,1,10,,19,14,Charlie Frye pass incomplete short left intended for Josh Cribbs,2.260,1.710
4,1:53,2,10,,19,14,Charlie Frye pass incomplete short right intended for Braylon Edwards,1.710,1.030
4,1:49,3,10,,19,14,"Charlie Frye pass incomplete short left intended for Jerome Harrison. Penalty on Fred Thomas: Illegal Contact, 5 yards (no play)",1.030,2.590
4,1:43,1,10,NOR 45,19,14,Charlie Frye pass incomplete intended for Braylon Edwards is intercepted by Josh Bullocks at NOR-30 and returned for 14 yards,2.590,-1.860
4,1:36,1,10,NOR 44,19,14,Deuce McAllister right guard for -2 yards (tackle by D'Qwell Jackson),1.860,1.050
4,1:32,,,,19,14,Timeout #3 by Cleveland Browns,0.000,1.050
4,1:32,2,12,NOR 42,19,14,Deuce McAllister right tackle for 3 yards (tackle by Alvin McKinley),1.050,0.760
4,0:48,3,9,NOR 45,19,14,Deuce McAllister left tackle for 2 yards (tackle by D'Qwell Jackson and Brian Russell),0.760,-0.260
4,0:48,4,7,NOR 47,19,14,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",-0.260,-0.590
4,0:01,4,12,NOR 42,19,14,Drew Brees kneels for -2 yards,-0.590,1.860
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
