Quarter,Time,Tm,Detail,NOR,CLE
1.0,9:37,Saints,John Carney 43 yard field goal,3,0
2.0,14:28,Saints,John Carney 25 yard field goal,6,0
,8:25,Saints,John Carney 21 yard field goal,9,0
3.0,9:05,Browns,Kellen Winslow 18 yard pass from Charlie Frye (Phil Dawson kick),9,7
,2:00,Saints,Marques Colston 12 yard pass from Drew Brees (John Carney kick),16,7
4.0,11:20,Browns,Charlie Frye 1 yard rush (Phil Dawson kick),16,14
,5:42,Saints,John Carney 20 yard field goal,19,14
