Unnamed: 0,NOR,CLE
First Downs,17,15
Rush-Yds-TDs,41-156-0,22-85-1
Cmp-Att-Yd-TD-INT,16-30-170-1-1,16-27-132-1-2
Sacked-Yards,0-0,5-31
Net Pass Yards,170,101
Total Yards,326,186
Fumbles-Lost,1-1,1-1
Turnovers,2,3
Penalties-Yards,6-44,4-35
Third Down Conv.,9-18,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,32:46,27:14
