Quarter,Time,Tm,Detail,SEA,BAL
2,11:49,Seahawks,Josh Brown 45 yard field goal,3,0
,3:32,Ravens,Matt Stover 21 yard field goal,3,3
,0:23,Seahawks,Darrell Jackson 2 yard pass from Matt Hasselbeck (Josh Brown kick),10,3
,0:01,Seahawks,Bobby Engram 10 yard pass from Matt Hasselbeck (Josh Brown kick),17,3
3,12:07,Ravens,Marcus Robinson 13 yard pass from Anthony Wright (Matt Stover kick),17,10
,10:38,Seahawks,Koren Robinson 38 yard pass from Matt Hasselbeck (Josh Brown kick),24,10
,7:59,Seahawks,Josh Brown 46 yard field goal,27,10
,5:26,Ravens,Marcus Robinson 50 yard pass from Anthony Wright (Matt Stover kick),27,17
,5:06,Seahawks,Darrell Jackson 80 yard pass from Matt Hasselbeck (Josh Brown kick),34,17
,3:18,Ravens,Marcus Robinson 25 yard pass from Anthony Wright (Matt Stover kick),34,24
4,14:16,Seahawks,Bobby Engram 5 yard pass from Matt Hasselbeck (Josh Brown kick),41,24
,6:41,Ravens,Ed Reed 16 yard blocked punt return (Matt Stover kick),41,31
,1:12,Ravens,Marcus Robinson 9 yard pass from Anthony Wright (Matt Stover kick),41,38
,0:00,Ravens,Matt Stover 40 yard field goal,41,41
OT,6:32,Ravens,Matt Stover 42 yard field goal,41,44
