Unnamed: 0,DET,MIN
First Downs,18,15
Rush-Yds-TDs,28-100-1,18-69-0
Cmp-Att-Yd-TD-INT,19-33-185-1-0,23-37-188-0-3
Sacked-Yards,4-30,8-45
Net Pass Yards,155,143
Total Yards,255,212
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,5-40,9-60
Third Down Conv.,1-13,3-14
Fourth Down Conv.,1-2,0-1
Time of Possession,32:21,27:39
