Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,Matthew Stafford pass complete short right to Eric Ebron for 12 yards (tackle by Gerald Hodges),0.280,1.070
1,14:35,1,10,DET 32,0,0,Theo Riddick left end for 1 yard (tackle by Linval Joseph),1.070,0.660
1,14:00,2,9,DET 33,0,0,Joique Bell up the middle for 10 yards (tackle by Robert Blanton and Harrison Smith),0.660,1.800
1,13:21,1,10,DET 43,0,0,Matthew Stafford pass complete short right to Golden Tate for 7 yards (tackle by Josh Robinson),1.800,2.200
1,12:42,2,3,,0,0,Matthew Stafford pass complete short right to Theo Riddick for 41 yards (tackle by Anthony Barr),2.200,5.140
1,11:53,1,9,MIN 9,0,0,Joique Bell right tackle for no gain (tackle by Gerald Hodges),5.140,4.380
1,11:11,2,9,MIN 9,6,0,"Matthew Stafford pass complete short right to Theo Riddick for 9 yards, touchdown",4.380,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
1,11:11,,,MIN 2,7,0,Matt Prater kicks extra point good,0.000,0.000
1,11:11,,,DET 35,7,0,"Sam Martin kicks off 38 yards, returned by Jerome Felton for 14 yards (tackle by George Winn)",0.000,-1.660
1,11:02,1,10,MIN 41,7,0,Jerick McKinnon right guard for -1 yards (tackle by Tahir Whitehead),1.660,0.990
1,10:31,2,11,MIN 40,7,0,Jerick McKinnon right end for 9 yards (tackle by Ashlee Palmer),0.990,1.490
1,9:57,3,2,MIN 49,7,0,Teddy Bridgewater up the middle for 4 yards (tackle by Glover Quin),1.490,2.460
1,9:27,1,10,DET 47,7,0,Jerick McKinnon up the middle for 9 yards (tackle by James Ihedigbo),2.460,3.130
1,9:02,2,1,DET 38,7,0,Jerick McKinnon up the middle for 2 yards (tackle by Darryl Tapp and DeAndre Levy),3.130,3.180
1,8:25,1,10,DET 36,7,0,Jarius Wright left end for 21 yards (tackle by Glover Quin),3.180,4.580
1,7:42,1,10,DET 15,7,0,Teddy Bridgewater pass incomplete deep middle intended for Cordarrelle Patterson is intercepted by Glover Quin at DET--2 and returned for 20 yards,4.580,-0.040
1,7:34,1,10,DET 18,7,0,George Winn right guard for 3 yards (tackle by Jasper Brinkley),0.040,0.010
1,6:57,2,7,DET 21,7,0,Matthew Stafford pass complete short middle to Corey Fuller for 7 yards (tackle by Anthony Barr),0.010,0.810
1,6:14,1,10,DET 28,7,0,"Matthew Stafford pass incomplete short right intended for Golden Tate. Penalty on Captain Munnerlyn: Illegal Use of Hands, 5 yards (no play)",0.810,1.140
1,6:09,1,10,DET 33,7,0,Theo Riddick up the middle for 3 yards (tackle by Anthony Barr),1.140,1.000
1,5:30,2,7,DET 36,7,0,Joique Bell left tackle for 4 yards (tackle by Jasper Brinkley),1.000,0.830
1,4:47,3,3,DET 40,7,0,Matthew Stafford pass incomplete short left intended for Eric Ebron,0.830,-0.720
1,4:42,4,3,DET 40,7,0,"Sam Martin punts 46 yards, returned by Marcus Sherels for 16 yards (tackle by Jed Collins). Penalty on Antone Exum: Offensive Holding, 10 yards",-0.720,-0.280
1,4:30,1,10,MIN 20,7,0,Jerick McKinnon left tackle for -1 yards (tackle by Ezekiel Ansah),0.280,-0.460
1,3:55,2,11,MIN 19,7,0,Cordarrelle Patterson right end for 2 yards (tackle by Tahir Whitehead),-0.460,-0.820
1,3:22,3,9,MIN 21,7,0,Teddy Bridgewater sacked by Ndamukong Suh for -1 yards,-0.820,-2.030
1,2:45,4,10,MIN 20,7,0,"Jeff Locke punts 45 yards, returned by Jeremy Ross for 10 yards (tackle by Adam Thielen)",-2.030,-1.930
1,2:35,1,10,DET 45,7,0,Matthew Stafford pass complete short right to Golden Tate for 15 yards (tackle by Captain Munnerlyn),1.930,2.920
1,2:00,1,10,MIN 40,7,0,Joique Bell right end for no gain (tackle by Jasper Brinkley),2.920,2.370
1,1:19,2,10,MIN 40,7,0,Matthew Stafford pass complete short left to Theo Riddick for 7 yards (tackle by Robert Blanton and Anthony Barr),2.370,2.610
1,0:37,3,3,MIN 33,7,0,Matthew Stafford right tackle for 1 yard (tackle by Tom Johnson and Everson Griffen),2.610,1.300
Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,MIN 32,7,0,Matt Prater 50 yard field goal no good,1.300,-1.600
2,14:55,1,10,MIN 40,7,0,Teddy Bridgewater pass complete short right to Jerick McKinnon for 2 yards (tackle by DeAndre Levy),1.600,1.320
2,14:28,2,8,MIN 42,7,0,Teddy Bridgewater pass incomplete short right intended for Jarius Wright,1.320,0.630
2,14:24,3,8,MIN 42,7,0,"Teddy Bridgewater sacked by Ezekiel Ansah for -6 yards. Teddy Bridgewater fumbles (forced by Ezekiel Ansah), recovered by Phil Loadholt at MIN-36",0.630,-0.980
2,13:40,4,14,MIN 36,7,0,"Jeff Locke punts 37 yards, fair catch by Jeremy Ross",-0.980,-0.740
2,13:35,1,10,DET 27,7,0,"Joique Bell up the middle for -2 yards (tackle by Gerald Hodges). Penalty on Rob Sims: Offensive Holding, 10 yards (no play)",0.740,-0.170
2,13:13,1,20,DET 17,7,0,Matthew Stafford pass incomplete short middle intended for Corey Fuller (defended by Xavier Rhodes),-0.170,-1.290
2,13:10,2,20,DET 17,7,0,Matthew Stafford pass incomplete short middle intended for Golden Tate (defended by Gerald Hodges),-1.290,-2.100
2,13:07,3,20,DET 17,7,0,Matthew Stafford pass complete short left to Theo Riddick for 15 yards (tackle by Brian Robison and Sharrif Floyd),-2.100,-1.240
