Unnamed: 0,NWE,ATL
First Downs,20,11
Rush-Yds-TDs,30-134-0,16-40-0
Cmp-Att-Yd-TD-INT,22-26-207-1-1,20-32-158-0-4
Sacked-Yards,3-33,4-33
Net Pass Yards,174,125
Total Yards,308,165
Fumbles-Lost,0-0,0-0
Turnovers,1,4
Penalties-Yards,5-59,9-72
Third Down Conv.,4-12,2-11
Fourth Down Conv.,0-0,1-2
Time of Possession,32:43,27:17
