Quarter,Time,Tm,Detail,NWE,ATL
1.0,5:14,Patriots,Nick Folk 32 yard field goal,3,0
2.0,13:44,Patriots,Nelson Agholor 19 yard pass from Mac Jones (Nick Folk kick),10,0
,0:00,Patriots,Nick Folk 44 yard field goal,13,0
4.0,6:39,Patriots,Nick Folk 53 yard field goal,16,0
,1:55,Patriots,Nick Folk 33 yard field goal,19,0
,1:22,Patriots,Kyle Van Noy 35 yard interception return (Nick Folk kick failed),25,0
