Unnamed: 0,TEN,JAX
First Downs,19,25
Rush-Yds-TDs,20-58-0,28-84-1
Cmp-Att-Yd-TD-INT,21-44-223-2-1,27-39-345-2-0
Sacked-Yards,3-18,2-14
Net Pass Yards,205,331
Total Yards,263,415
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,6-49,4-45
Third Down Conv.,5-14,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,27:29,32:31
