Quarter,Time,Down,ToGo,Location,SDG,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Steve Christie kicks off 68 yards, returned by Charlie Rogers for 16 yards",0.000,0.040
1,14:53,1,10,BUF 18,0,0,Travis Henry middle for 2 yards (tackle by Jason Fisk),0.040,-0.130
1,14:14,2,8,BUF 20,0,0,Travis Henry left tackle for 5 yards (tackle by Rodney Harrison and Donnie Edwards),-0.130,-0.270
1,13:34,3,3,BUF 25,0,0,Drew Bledsoe pass incomplete intended for Larry Centers,-0.270,-1.700
1,13:28,4,3,BUF 25,0,0,"Brian Moorman punts 37 yards, out of bounds",-1.700,-1.470
1,13:20,1,10,SDG 38,0,0,LaDainian Tomlinson middle for 2 yards (tackle by Pat Williams and Coy Wire),1.470,1.190
1,12:40,2,8,SDG 40,0,0,Drew Brees pass incomplete intended for Josh Norman,1.190,0.500
1,12:35,3,8,SDG 40,0,0,Drew Brees sacked by Coy Wire for -7 yards,0.500,-1.180
1,12:09,4,15,SDG 33,0,0,"Darren Bennett punts 45 yards, returned by Charlie Rogers for no gain. Penalty on Jason Bostic: Defensive Holding, 10 yards",-1.180,0.350
1,11:57,1,10,BUF 12,0,0,Drew Bledsoe pass complete to Dave Moore for 7 yards (tackle by Donnie Edwards),-0.350,0.100
1,11:21,2,3,BUF 19,0,0,Drew Bledsoe pass complete to Eric Moulds for 12 yards (tackle by Ben Leber and Donnie Edwards),0.100,1.000
1,10:42,1,10,BUF 31,0,0,Travis Henry right tackle for 7 yards (tackle by Keith Lyle and Rodney Harrison),1.000,1.410
1,10:09,2,3,BUF 38,0,0,Drew Bledsoe pass incomplete intended for Travis Henry,1.410,0.700
1,10:03,2,3,BUF 38,,,Timeout #1 by Los Angeles Chargers,1.410,0.700
1,10:03,3,3,BUF 38,0,0,Drew Bledsoe sacked by Junior Seau and Leonardo Carson for -5 yards,0.700,-1.180
1,9:30,4,8,BUF 33,0,0,"Brian Moorman punts 31 yards, returned by Tim Dwight for 3 yards (tackle by Jason Bostic)",-1.180,-1.530
1,9:20,1,10,SDG 39,0,0,LaDainian Tomlinson left guard for 31 yards (tackle by Pierson Prioleau),1.530,3.580
