Quarter,Time,Tm,Detail,SDG,BUF
1.0,6:49,Chargers,Steve Christie 39 yard field goal,3,0
,3:13,Bills,Travis Henry 4 yard rush (Mike Hollis kick),3,7
2.0,9:05,Bills,Mike Hollis 42 yard field goal,3,10
,3:21,Chargers,LaDainian Tomlinson 2 yard rush (Steve Christie kick),10,10
,1:08,Bills,Mike Hollis 36 yard field goal,10,13
4.0,5:45,Chargers,Steve Christie 53 yard field goal,13,13
,0:52,Bills,Travis Henry 26 yard rush (Mike Hollis kick),13,20
