Player,Pos
Drew Brees,QB
LaDainian Tomlinson,RB
Fred McCrary,FB
Curtis Conway,WR
Tim Dwight,WR
Stephen Alexander,TE
Sammy Williams,LT
Kelvin Garmon,LG
Jason Ball,C
Toniu Fonoti,RG
Vaughn Parker,RT
Marcellus Wiley,LDE
Leonardo Carson,LDT
Jason Fisk,RDT
Raylee Johnson,RDE
Ben Leber,SLB
Donnie Edwards,MLB
Junior Seau,WLB
Alex Molden,LCB
Ryan McNeil,RCB
Rodney Harrison,SS
Keith Lyle,FS
