Unnamed: 0,SDG,BUF
First Downs,14,17
Rush-Yds-TDs,30-116-1,25-155-2
Cmp-Att-Yd-TD-INT,16-35-212-0-0,11-33-107-0-0
Sacked-Yards,3-20,2-6
Net Pass Yards,192,101
Total Yards,308,256
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,9-121,4-60
Third Down Conv.,5-18,2-12
Fourth Down Conv.,0-1,0-0
Time of Possession,33:10,26:50
