Unnamed: 0,NOR,DEN
First Downs,14,29
Rush-Yds-TDs,17-51-0,41-225-1
Cmp-Att-Yd-TD-INT,22-42-213-2-1,22-30-305-3-0
Sacked-Yards,1-12,0-0
Net Pass Yards,201,305
Total Yards,252,530
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,3-15,5-34
Third Down Conv.,1-12,5-13
Fourth Down Conv.,2-3,0-0
Time of Possession,24:46,35:14
