Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Bradley Pinion kicks off 63 yards, returned by Chris Evans for 14 yards (tackle by KhaDarel Hodge and DeAngelo Malone)",0.000,-0.140
1,14:56,1,10,CIN 16,0,0,Joe Burrow pass complete short left to Tyler Boyd for 11 yards (tackle by Darren Hall),-0.140,0.740
1,14:22,1,10,CIN 27,0,0,Joe Mixon left guard for 6 yards (tackle by Mykal Walker and Rashaan Evans),0.740,1.010
1,13:44,2,4,CIN 33,0,0,Joe Burrow pass complete short left to Hayden Hurst for 7 yards (tackle by AJ Terrell),1.010,1.600
1,13:07,1,10,CIN 40,0,6,"Joe Burrow pass complete deep middle to Tyler Boyd for 60 yards, touchdown",1.600,7.000
1,13:00,,,ATL 15,0,7,Evan McPherson kicks extra point good,0.000,0.000
1,13:00,,,CIN 35,0,7,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,13:00,1,10,ATL 25,0,7,Marcus Mariota scrambles up the middle for 4 yards (tackle by Akeem Davis-Gaither),0.610,0.600
1,12:23,2,6,ATL 29,0,7,Tyler Allgeier left end for 9 yards (tackle by Chidobe Awuzie and Trey Hendrickson),0.600,1.470
1,11:41,1,10,ATL 38,0,7,Tyler Allgeier left tackle for 3 yards (tackle by Jay Tufele and Germaine Pratt),1.470,1.330
1,11:01,2,7,ATL 41,0,7,Marcus Mariota pass complete short left to Kyle Pitts for 2 yards (tackle by Jessie Bates),1.330,0.890
1,10:18,3,5,ATL 43,0,7,Marcus Mariota pass incomplete short left intended for Avery Williams,0.890,-0.520
1,10:15,4,5,ATL 43,0,7,"Bradley Pinion punts 49 yards, returned by Trent Taylor for 21 yards (tackle by Nick Kwiatkoski)",-0.520,-0.870
1,10:04,1,10,CIN 29,0,7,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Jaylinn Hawkins),0.870,0.330
1,9:59,2,10,CIN 29,0,7,Joe Burrow pass complete short middle to Hayden Hurst for 11 yards (tackle by Jaylinn Hawkins),0.330,1.600
1,9:31,1,10,CIN 40,0,7,Joe Mixon left guard for 5 yards (tackle by Jaylinn Hawkins),1.600,1.730
1,8:52,2,5,CIN 45,0,7,Joe Burrow pass complete short right to Joe Mixon for 22 yards (tackle by Jaylinn Hawkins),1.730,3.380
1,8:26,1,10,ATL 33,0,7,Joe Burrow pass incomplete deep right intended for Hayden Hurst,3.380,2.840
1,8:23,2,10,ATL 33,0,7,Joe Burrow pass complete short right to Ja'Marr Chase for 15 yards (tackle by Cornell Armstrong),2.840,4.370
1,7:56,1,10,ATL 18,0,7,Joe Mixon right tackle for 3 yards (tackle by Rashaan Evans and Isaiah Oliver),4.370,4.250
1,7:21,2,7,ATL 15,0,7,Joe Burrow pass complete short left to Tyler Boyd for 14 yards (tackle by Darren Hall),4.250,6.970
1,6:44,1,1,ATL 1,0,7,"Penalty on Cordell Volson: False Start, 4 yards (accepted) (no play)",6.970,6.060
1,6:20,1,5,ATL 5,0,7,Joe Burrow pass complete short left to Joe Mixon for 3 yards (tackle by Cornell Armstrong),6.060,5.720
1,5:35,2,2,ATL 2,0,7,Joe Mixon right guard for 1 yard (tackle by Jaylinn Hawkins),5.720,5.170
1,4:55,3,1,ATL 1,0,13,"Joe Mixon left tackle for 1 yard, touchdown",5.170,7.000
1,4:51,,,ATL 15,0,14,Evan McPherson kicks extra point good,0.000,0.000
1,4:51,,,CIN 35,0,14,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,4:51,1,10,ATL 25,0,14,Caleb Huntley right tackle for 2 yards (tackle by Germaine Pratt and Jay Tufele),0.610,0.330
1,4:11,2,8,ATL 27,0,14,Caleb Huntley left tackle for 5 yards (tackle by B.J. Hill and Mike Hilton),0.330,0.300
1,3:25,3,3,ATL 32,0,14,"Marcus Mariota pass incomplete short right intended for Kyle Pitts (defended by Sam Hubbard). Penalty on Olamide Zaccheaus: Offensive Pass Interference, 10 yards (declined)",0.300,-1.240
1,3:22,4,3,ATL 32,0,14,"Bradley Pinion punts 43 yards, fair catch by Trent Taylor at CIN-25",-1.240,-0.610
1,3:15,1,10,CIN 25,0,14,Joe Burrow pass complete short left to Joe Mixon for 8 yards (tackle by Jaylinn Hawkins and Cornell Armstrong),0.610,1.140
1,2:52,2,2,CIN 33,0,14,Joe Burrow pass complete short left to Joe Mixon for no gain (tackle by Cornell Armstrong) (no play),1.140,0.470
1,2:24,2,7,CIN 28,0,14,"Penalty on Hayden Hurst: False Start, 5 yards (accepted) (no play)",0.470,-0.210
1,2:02,2,12,CIN 23,0,14,Joe Burrow pass complete short left to Samaje Perine for 2 yards (tackle by Troy Andersen and Rashaan Evans),-0.210,-0.620
1,1:18,3,10,CIN 25,0,14,Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by Cornell Armstrong),-0.620,1.330
1,0:50,1,10,CIN 36,0,14,Joe Burrow pass complete deep left to Tyler Boyd for 20 yards (tackle by Cornell Armstrong),1.330,2.650
1,0:06,1,10,ATL 44,0,14,Joe Burrow pass complete short right to Tee Higgins for 12 yards (tackle by Darren Hall),2.650,3.450
Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 32,0,20,"Joe Burrow pass complete deep right to Ja'Marr Chase for 32 yards, touchdown",3.450,7.000
2,14:55,,,ATL 15,0,21,Evan McPherson kicks extra point good,0.000,0.000
2,14:55,,,CIN 35,0,21,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,14:55,1,10,ATL 25,0,21,Marcus Mariota pass complete short right to Drake London for 9 yards (tackle by Cam Taylor-Britt),0.610,1.280
2,14:15,2,1,ATL 34,0,21,Tyler Allgeier right end for no gain (tackle by B.J. Hill and Zachary Carter),1.280,0.560
2,13:36,3,1,ATL 34,0,21,"Marcus Mariota aborted snap, recovered by Marcus Mariota at ATL-33 Marcus Mariota for 2 yards (tackle by Akeem Davis-Gaither)",0.560,1.330
2,13:01,1,10,ATL 36,0,21,Tyler Allgeier right tackle for 1 yard (tackle by Jay Tufele and Germaine Pratt),1.330,0.930
2,12:25,2,9,ATL 37,0,21,Marcus Mariota pass complete short left to Olamide Zaccheaus for 10 yards (tackle by Chidobe Awuzie),0.930,2.060
2,11:46,1,10,ATL 47,0,21,Tyler Allgeier left tackle for 5 yards (tackle by Markus Bailey),2.060,2.190
2,11:05,2,5,CIN 48,0,21,Marcus Mariota right end for 11 yards (tackle by Markus Bailey),2.190,3.120
