Unnamed: 0,ATL,CIN
First Downs,13,29
Rush-Yds-TDs,29-107-1,21-78-2
Cmp-Att-Yd-TD-INT,8-13-124-1-0,34-42-481-3-0
Sacked-Yards,3-17,3-22
Net Pass Yards,107,459
Total Yards,214,537
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,3-22,5-17
Third Down Conv.,4-10,7-11
Fourth Down Conv.,0-0,0-1
Time of Possession,26:55,33:05
