Unnamed: 0,HOU,BAL
First Downs,16,25
Rush-Yds-TDs,20-122-1,37-256-1
Cmp-Att-Yd-TD-INT,18-30-169-0-1,20-27-235-4-0
Sacked-Yards,7-59,0-0
Net Pass Yards,110,235
Total Yards,232,491
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,5-60,8-65
Third Down Conv.,2-10,5-9
Fourth Down Conv.,1-4,0-1
Time of Possession,23:41,36:19
