Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Kai Forbath kicks off 66 yards, returned by Preston Parker for 24 yards (tackle by Bashaud Breeland)",0.000,-0.480
1,14:56,1,10,NYG 23,0,0,"Rashad Jennings left guard for 3 yards (tackle by William Compton). Penalty on Bashaud Breeland: Unnecessary Roughness, 15 yards",0.480,1.660
1,14:30,1,10,NYG 41,0,0,Eli Manning pass complete short left to Odell Beckham for 6 yards (tackle by E.J. Biggers and David Amerson),1.660,1.930
1,13:49,2,4,NYG 47,0,0,Andre Williams left tackle for 2 yards (tackle by Perry Riley and William Compton),1.930,1.490
1,13:16,3,2,NYG 49,0,0,Eli Manning pass incomplete short right intended for Odell Beckham,1.490,-0.130
1,13:07,4,2,NYG 49,0,0,Steve Weatherford punts 47 yards,-0.130,0.380
1,12:58,1,10,WAS 4,0,0,Colt McCoy pass complete short left to DeSean Jackson for 6 yards (tackle by Dominique Rodgers-Cromartie),-0.380,-0.340
1,12:32,2,4,WAS 10,0,0,"Alfred Morris right end for -1 yards (tackle by Devon Kennard). Penalty on Mark Herzlich: Illegal Use of Hands, 5 yards",-0.340,-0.280
1,12:06,1,10,WAS 14,0,0,Colt McCoy right tackle for 20 yards (tackle by Stevie Brown),-0.280,1.200
1,11:29,1,10,WAS 34,0,0,Colt McCoy pass complete short left to Jordan Reed for 7 yards (tackle by Jameel McClain),1.200,1.600
1,10:56,2,3,WAS 41,0,0,Alfred Morris left end for 14 yards (tackle by Mark Herzlich),1.600,2.590
1,10:19,1,10,NYG 45,0,0,Colt McCoy pass incomplete short left intended for Pierre Garcon,2.590,2.040
1,10:09,2,10,NYG 45,0,0,Colt McCoy pass complete short right to Logan Paulsen for 9 yards (tackle by Jameel McClain),2.040,2.540
1,9:32,3,1,NYG 36,0,0,Darrel Young up the middle for 3 yards (tackle by Devon Kennard and Cullen Jenkins),2.540,3.380
1,8:51,1,10,NYG 33,0,0,"Penalty on Shawn Lauvao: False Start, 5 yards (no play)",3.380,3.050
1,8:34,1,15,NYG 38,0,0,Colt McCoy pass complete short left to Silas Redd for 17 yards (tackle by Kerry Wynn),3.050,4.170
1,7:51,1,10,NYG 21,0,0,Colt McCoy pass incomplete short right intended for DeSean Jackson,4.170,3.630
1,7:42,2,10,NYG 21,0,0,Colt McCoy up the middle for 4 yards (tackle by Jameel McClain and Jay Bromley),3.630,3.460
1,6:57,3,6,NYG 17,0,0,Colt McCoy pass incomplete short left intended for Pierre Garcon,3.460,2.340
1,6:51,4,6,NYG 17,3,0,Kai Forbath 35 yard field goal good,2.340,3.000
1,6:51,,,WAS 35,3,0,"Kai Forbath kicks off 66 yards, returned by Preston Parker for 45 yards (tackle by Trevardo Williams)",0.000,-1.860
1,6:38,1,10,NYG 44,3,0,Eli Manning pass incomplete short right intended for Odell Beckham (defended by Bashaud Breeland),1.860,1.320
1,6:33,2,10,NYG 44,3,0,Eli Manning pass complete short middle to Larry Donnell for 6 yards (tackle by William Compton),1.320,1.420
1,5:58,3,4,,3,0,Eli Manning pass complete short middle to Kevin Ogletree for 15 yards (tackle by Phillip Thomas and David Amerson),1.420,3.250
1,5:30,1,10,WAS 35,3,0,Andre Williams up the middle for no gain (tackle by Stephen Bowen),3.250,2.700
1,4:58,2,10,WAS 35,3,0,Eli Manning pass complete short left to Preston Parker for 12 yards (tackle by David Amerson),2.700,4.040
1,4:17,1,10,WAS 23,3,0,Eli Manning pass incomplete short right intended for Preston Parker,4.040,3.500
1,4:08,2,10,WAS 23,3,0,Andre Williams left end for 5 yards (tackle by Perry Riley and William Compton),3.500,3.490
1,3:29,3,5,WAS 18,3,0,--,3.490,2.660
1,3:07,4,1,WAS 14,3,0,Henry Hynoski up the middle for 2 yards (tackle by Kedric Golston and Perry Riley),2.660,4.780
1,2:29,1,10,WAS 12,3,0,Andre Williams left guard for 2 yards (tackle by Perry Riley and Ryan Clark),4.780,4.450
1,1:56,2,8,WAS 10,3,0,Eli Manning pass incomplete short right intended for Andre Williams,4.450,3.480
1,1:45,3,8,WAS 10,3,6,"Eli Manning pass complete short right to Odell Beckham for 10 yards, touchdown. Penalty on David Amerson: Illegal Use of Hands (Declined)",3.480,7.000
1,1:45,,,WAS 2,3,7,Josh Brown kicks extra point good,0.000,0.000
1,1:45,,,NYG 35,3,7,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
