Quarter,Time,Tm,Detail,WAS,NYG
1.0,6:47,Redskins,Kai Forbath 35 yard field goal,3,0
,1:40,Giants,Odell Beckham Jr. 10 yard pass from Eli Manning (Josh Brown kick),3,7
2.0,8:19,Redskins,Chris Thompson 9 yard pass from Robert Griffin III (Kai Forbath kick),10,7
3.0,13:18,Giants,Josh Brown 32 yard field goal,10,10
,3:27,Redskins,Kai Forbath 38 yard field goal,13,10
,1:22,Giants,Odell Beckham Jr. 35 yard pass from Eli Manning (Josh Brown kick),13,17
4.0,4:41,Giants,Odell Beckham Jr. 6 yard pass from Eli Manning (Josh Brown kick),13,24
