Unnamed: 0,WAS,NYG
First Downs,21,17
Rush-Yds-TDs,27-144-0,22-49-0
Cmp-Att-Yd-TD-INT,22-34-275-1-0,23-34-250-3-0
Sacked-Yards,7-47,1-12
Net Pass Yards,228,238
Total Yards,372,287
Fumbles-Lost,4-1,1-1
Turnovers,1,1
Penalties-Yards,10-135,9-60
Third Down Conv.,4-14,4-13
Fourth Down Conv.,0-1,1-2
Time of Possession,32:31,27:29
